window_id,run_slug,arm,zero_action,comparison_applicable,klt_file_bytes,candidate_file_bytes,file_size_equal,klt_total_messages,candidate_total_messages,total_message_count_equal,klt_feature_messages,candidate_feature_messages,feature_message_count_equal,klt_topic_identity_json,candidate_topic_identity_json,topic_identity_equal,klt_sha256,candidate_sha256,byte_identical,exact_fallback_pass,klt_feature_bag,candidate_feature_bag
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,False,False,12210090,12210090,True,8533,8533,True,400,400,True,"[{""messages"": 41, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 400, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 8092, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 41, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 400, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 8092, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,dfdfaa516dbad164f503f82b7d82bc666a73d9d7e900cf2fedcac4b3fb4f08b2,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a09_6000_6800_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat/features.bag
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,False,False,12210090,12210090,True,8533,8533,True,400,400,True,"[{""messages"": 41, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 400, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 8092, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 41, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 400, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 8092, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,80d09e1b952efc76da8b933bd88cd80839907584b9d48c7fb38f2f7d8f097d9f,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a09_6000_6800_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg/features.bag
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,False,False,13711531,13711531,True,9542,9542,True,450,450,True,"[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9046, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9046, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,536ab12d1536c90419064f08ea8c1ec995a241d37d804dbb5a9005f482a9cf57,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a02_0_900_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat/features.bag
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,False,False,13711531,13711531,True,9542,9542,True,450,450,True,"[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9046, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9046, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a02_0_900_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/features.bag
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,False,False,8536660,8536660,True,5347,5347,True,282,282,True,"[{""messages"": 564, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 282, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4501, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 564, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 282, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4501, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]",True,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,4cef717519a16f87f6e4da37c7456bbb0e4048ac74d4733704146474b75c5e00,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_bus_s180_d045_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_bus_s180_d045_router_xfeat/features.bag
afrl:bus_outside:0004,afrl_bus_s180_d045,router_splg,False,False,8536660,8536660,True,5347,5347,True,282,282,True,"[{""messages"": 564, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 282, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4501, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 564, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 282, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4501, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]",True,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,b8ea9621538fc9909f90072ed3e2519a237af786a632eb3e972e7f052cfb0697,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_bus_s180_d045_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_bus_s180_d045_router_splg/features.bag
aqualoc_archaeology:A08:0003,a08_2700_3600,router_xfeat,True,True,13728676,13728676,True,9587,9587,True,450,450,True,"[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9091, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9091, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,True,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a08_2700_3600_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a08_2700_3600_router_xfeat/features.bag
aqualoc_archaeology:A08:0003,a08_2700_3600,router_splg,True,True,13728676,13728676,True,9587,9587,True,450,450,True,"[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9091, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 46, ""topic"": ""/aqualoc/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 450, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 9091, ""topic"": ""/rtimulib_node/imu"", ""type"": ""sensor_msgs/Imu""}]",True,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,True,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a08_2700_3600_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a08_2700_3600_router_splg/features.bag
afrl:cemetery:0003,afrl_cemetery_s135_d045,router_xfeat,False,False,10346064,10346064,True,5561,5561,True,357,357,True,"[{""messages"": 704, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 357, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4500, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 704, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 357, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4500, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]",True,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,df8eece8ad79fccf9d1d954b86b6ac63a8c49d51671ff300840ea705e2b07741,False,Not applicable: action-positive,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_cemetery_s135_d045_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_cemetery_s135_d045_router_xfeat/features.bag
afrl:cemetery:0003,afrl_cemetery_s135_d045,router_splg,True,True,10346064,10346064,True,5561,5561,True,357,357,True,"[{""messages"": 704, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 357, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4500, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]","[{""messages"": 704, ""topic"": ""/afrl/colmap_gt"", ""type"": ""nav_msgs/Odometry""}, {""messages"": 357, ""topic"": ""/feature_tracker/feature"", ""type"": ""sensor_msgs/PointCloud""}, {""messages"": 4500, ""topic"": ""/imu/imu"", ""type"": ""sensor_msgs/Imu""}]",True,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,True,True,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_cemetery_s135_d045_klt/features.bag,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_cemetery_s135_d045_router_splg/features.bag
