order,window_id,run_slug,role,arm,cell_status,integrity_pass,feature_messages,frontend_coverage,max_features,feature_bag_sha256,byte_identical_to_klt,input_sidecars,source_eligible_sidecars,source_suppressed,kept_sidecars,replacement_count,action_frames,max_sidecars_per_frame,max_replaced_gftt_age,min_actual_age_advantage,cell_mismatches,same_cell_suppressed,per_frame_cap_suppressed,horizon_blocked_frames,churn_guard_decision,churn_guard_ratio,learned_lineages,max_lineage_observations,lineage_observations_json,run_dir,notes,coverage_monotone_active,coverage_monotone_suppressed,grid_action_min_delta,cross_cell_replacements,donor_cell_min_remaining,global_ratio_active_frames
1,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,klt,PASS,True,400,0.9975062344139651,350,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a09_6000_6800_klt,,True,0,0,0,-1,0
1,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,PASS,True,400,0.9975062344139651,350,dfdfaa516dbad164f503f82b7d82bc666a73d9d7e900cf2fedcac4b3fb4f08b2,False,2,2,0,2,2,2,1,1,16,0,0,0,0,-1,,2,1,"{""10000000"": 1, ""10000001"": 1}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat,,True,0,0,2,44,0
1,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,PASS,True,400,0.9975062344139651,350,80d09e1b952efc76da8b933bd88cd80839907584b9d48c7fb38f2f7d8f097d9f,False,3,3,0,3,3,3,1,1,60,0,0,0,0,-1,,1,3,"{""10000000"": 3}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg,,True,0,0,0,15,0
2,aqualoc_archaeology:A02:0000,a02_0_900,harm_control,klt,PASS,True,450,0.9977827050997783,350,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a02_0_900_klt,,True,0,0,0,-1,0
2,aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_xfeat,PASS,True,450,0.9977827050997783,350,536ab12d1536c90419064f08ea8c1ec995a241d37d804dbb5a9005f482a9cf57,False,50,50,0,7,7,3,3,1,63,0,0,0,0,-1,,5,2,"{""10000000"": 1, ""10000005"": 2, ""10000006"": 1, ""10000008"": 1, ""10000012"": 2}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat,,True,43,0,6,7,0
2,aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_splg,PASS,True,450,0.9977827050997783,350,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,False,50,50,0,5,5,2,3,1,63,0,0,0,0,-1,,3,2,"{""10000001"": 2, ""10000014"": 1, ""10000016"": 2}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg,,True,45,1,4,7,0
3,afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,klt,PASS,True,282,1.0,350,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_bus_s180_d045_klt,,True,0,0,0,-1,0
3,afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,router_xfeat,PASS,True,282,1.0,350,4cef717519a16f87f6e4da37c7456bbb0e4048ac74d4733704146474b75c5e00,False,3,3,0,3,3,3,1,1,32,0,0,0,0,-1,,1,3,"{""10000000"": 3}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_bus_s180_d045_router_xfeat,,True,0,0,1,15,0
3,afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,router_splg,PASS,True,282,1.0,350,b8ea9621538fc9909f90072ed3e2519a237af786a632eb3e972e7f052cfb0697,False,9,9,0,9,9,3,3,1,32,0,0,0,0,-1,,3,3,"{""10000000"": 3, ""10000001"": 3, ""10000002"": 3}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_bus_s180_d045_router_splg,,True,0,0,9,32,0
4,aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,klt,PASS,True,450,0.9977827050997783,350,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_dnr3_a08_2700_3600_klt,,True,0,0,0,-1,0
4,aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,router_xfeat,PASS,True,450,0.9977827050997783,350,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,50,50,0,0,0,0,0,-1,-1,0,0,0,5,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a08_2700_3600_router_xfeat,,True,0,0,0,-1,0
4,aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,router_splg,PASS,True,450,0.9977827050997783,350,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,True,50,50,0,0,0,0,0,-1,-1,0,0,0,5,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a08_2700_3600_router_splg,,True,0,0,0,-1,0
5,afrl:cemetery:0003,afrl_cemetery_s135_d045,stability_control,klt,PASS,True,357,1.0,350,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_dnr3_afrl_cemetery_s135_d045_klt,,True,0,0,0,-1,0
5,afrl:cemetery:0003,afrl_cemetery_s135_d045,stability_control,router_xfeat,PASS,True,357,1.0,350,df8eece8ad79fccf9d1d954b86b6ac63a8c49d51671ff300840ea705e2b07741,False,50,50,0,30,30,5,6,1,9,0,0,11,2,-1,,9,5,"{""10000000"": 5, ""10000001"": 5, ""10000002"": 5, ""10000003"": 3, ""10000004"": 2, ""10000005"": 2, ""10000006"": 2, ""10000007"": 3, ""10000008"": 3}",${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_cemetery_s135_d045_router_xfeat,,True,0,0,11,4,0
5,afrl:cemetery:0003,afrl_cemetery_s135_d045,stability_control,router_splg,PASS,True,357,1.0,350,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,True,50,50,0,0,0,0,0,-1,-1,0,0,0,8,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_cemetery_s135_d045_router_splg,,True,0,0,0,-1,0
6,aqualoc_harbor:H07:historical_0_1000,h07_0_1000,stability_control,klt,PASS,True,500,0.998003992015968,350,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,True,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,,0,0,{},${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_dnr3_h07_0_1000_klt,,True,0,0,0,-1,0
