window_id,run_slug,role,arm,candidate_source,raw_candidate_observations,raw_candidate_distinct_ids,survived_candidate_observations,source_eligible_candidate_observations,action_frames,promoted_observations,promoted_distinct_ids,promoted_id_max_output_observations,deleted_distinct_ids,deleted_klt_counterfactual_full_streak_max,deleted_klt_counterfactual_future_frames_max,output_visible_age2_cell_delta_max,output_visible_age3_cell_delta_max,output_visible_age5_cell_delta_max,feature_bag,feature_bag_sha256,frontend_metrics,frontend_metrics_sha256,receipt,receipt_profile,receipt_schema
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_xfeat,xfeat,24,Not available,17,2,2,2,2,1,2,1,0,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat/features.bag,dfdfaa516dbad164f503f82b7d82bc666a73d9d7e900cf2fedcac4b3fb4f08b2,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat/frontend_metrics.csv,231830fdeb6c4c15cdc83577484b3052c83dc953059ae856e9aa9b2b9bf3e851,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a09_6000_6800_router_xfeat/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,router_splg,superpoint_lightglue,13,Not available,5,3,3,3,1,3,3,1,0,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg/features.bag,80d09e1b952efc76da8b933bd88cd80839907584b9d48c7fb38f2f7d8f097d9f,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg/frontend_metrics.csv,366ab547193bffc0700970675275d77098fb4138a3b9a43a29ce53c7063cecab,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a09_6000_6800_router_splg/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_xfeat,xfeat,195,Not available,72,50,3,7,5,2,7,135,134,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat/features.bag,536ab12d1536c90419064f08ea8c1ec995a241d37d804dbb5a9005f482a9cf57,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat/frontend_metrics.csv,0fed5623ffa114b6404835072c363aa6d4a74e16d87339faee44ce23e1fabb45,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a02_0_900_router_xfeat/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,router_splg,superpoint_lightglue,195,Not available,78,50,2,5,3,2,5,132,131,1,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/features.bag,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/frontend_metrics.csv,084d2e99347946568f54cc2618d8939814fb817278bcd362cdad7fa00fc9be73,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a02_0_900_router_splg/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,router_xfeat,xfeat,282,Not available,50,3,3,3,1,3,3,20,19,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_bus_s180_d045_router_xfeat/features.bag,4cef717519a16f87f6e4da37c7456bbb0e4048ac74d4733704146474b75c5e00,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_bus_s180_d045_router_xfeat/frontend_metrics.csv,d78591455302deab221bce76042ffac39d9e4607d8811bbde06cdbbc2a063a96,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_bus_s180_d045_router_xfeat/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,router_splg,superpoint_lightglue,265,Not available,58,9,3,9,3,3,9,18,17,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_bus_s180_d045_router_splg/features.bag,b8ea9621538fc9909f90072ed3e2519a237af786a632eb3e972e7f052cfb0697,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_bus_s180_d045_router_splg/frontend_metrics.csv,05286570355e6215978b16ed1c64c48daf69029181dfa9046cff1b40776b2e8b,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_bus_s180_d045_router_splg/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,router_xfeat,xfeat,15,Not available,12,50,0,0,0,0,0,0,0,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a08_2700_3600_router_xfeat/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a08_2700_3600_router_xfeat/frontend_metrics.csv,2aec3b986a3f4da741bea6e66dd3e94b3763b0722f94535897460fac5a012063,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_dnr3_a08_2700_3600_router_xfeat/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,router_splg,superpoint_lightglue,0,Not available,0,50,0,0,0,0,0,0,0,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a08_2700_3600_router_splg/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a08_2700_3600_router_splg/frontend_metrics.csv,59338c4ea41f26b990d714e7cc1c86260827cfebbcf4ecd1d13bc7341b31baca,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_dnr3_a08_2700_3600_router_splg/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
afrl:cemetery:0003,afrl_cemetery_s135_d045,stability_control,router_xfeat,xfeat,353,Not available,119,50,5,30,9,5,30,22,21,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_cemetery_s135_d045_router_xfeat/features.bag,df8eece8ad79fccf9d1d954b86b6ac63a8c49d51671ff300840ea705e2b07741,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_cemetery_s135_d045_router_xfeat/frontend_metrics.csv,51a9676e14879351e9371d6042026600659fb6bf3d2f862ad312146549c4be34,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_dnr3_afrl_cemetery_s135_d045_router_xfeat/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
afrl:cemetery:0003,afrl_cemetery_s135_d045,stability_control,router_splg,superpoint_lightglue,243,Not available,71,50,0,0,0,0,0,0,0,0,0,0,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_cemetery_s135_d045_router_splg/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_cemetery_s135_d045_router_splg/frontend_metrics.csv,bb45b95f6ffde61046c6ebcee312ecff7db30cf9aa13a3f920a1f47abd4c8343,${AQUA_FE_OFFLOAD}/frontend_delayed_newborn_slot_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_dnr3_afrl_cemetery_s135_d045_router_splg/frontend_receipt.json,lineage_delayed_newborn_slot_v3,aqua-fe-delayed-newborn-slot-v3-cell-v1
