window_id,run_slug,arm,role,frontend_action,feature_bag_sha256,backend_execution,mapped_backend_cell,independent_replays,mapped_replays,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,coverage_median,coverage_range,accuracy_role
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,frontend_primary,False,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,frontend_primary,True,dfdfaa516dbad164f503f82b7d82bc666a73d9d7e900cf2fedcac4b3fb4f08b2,INDEPENDENT_NEW_V3_REPLAY,router_xfeat,3,0,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,frontend_primary,True,80d09e1b952efc76da8b933bd88cd80839907584b9d48c7fb38f2f7d8f097d9f,INDEPENDENT_NEW_V3_REPLAY,router_splg,3,0,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A02:0000,a02_0_900,klt,frontend_primary,False,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,421.0,421–421,0.933359848,0.933359848–0.933359848,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,frontend_primary,True,536ab12d1536c90419064f08ea8c1ec995a241d37d804dbb5a9005f482a9cf57,INDEPENDENT_NEW_V3_REPLAY,router_xfeat,3,0,3/3,PASS,3,421.0,421–421,0.933359848,0.933359848–0.933359848,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,frontend_primary,True,b219416a425cefe5494cd7986e4bd1a84ffe4c67786e10092cf46c734f5b7eb6,INDEPENDENT_NEW_V3_REPLAY,router_splg,3,0,3/3,PASS,3,421.0,421–421,0.933359848,0.933359848–0.933359848,EVALUATE_IF_COMMON_SUPPORT
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,frontend_primary,False,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,267.0,267–267,0.944903697,0.944903697–0.944903697,EXACT_TIE_NO_ACTION
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,frontend_primary,True,4cef717519a16f87f6e4da37c7456bbb0e4048ac74d4733704146474b75c5e00,INDEPENDENT_NEW_V3_REPLAY,router_xfeat,3,0,3/3,PASS,3,266.0,266–267,0.941357082,0.941357082–0.944903697,EVALUATE_IF_COMMON_SUPPORT
afrl:bus_outside:0004,afrl_bus_s180_d045,router_splg,frontend_primary,True,b8ea9621538fc9909f90072ed3e2519a237af786a632eb3e972e7f052cfb0697,INDEPENDENT_NEW_V3_REPLAY,router_splg,3,0,3/3,PASS,3,267.0,266–267,0.944903697,0.941357082–0.944903697,EVALUATE_IF_COMMON_SUPPORT
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,frontend_primary,False,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
