stage,sequence,case,base_offset,arm,input_points,visible_input_points,invisible_input_points,accepted,correct,wrong_accepted,invisible_accepted,accepted_error_median_px,accepted_error_p95_px,wall_s,xfeat_matching_s,chains_ge4_outputs,continuation_outputs_median,continuation_outputs_max
controlled,A02,small,0,B,350,348,2,346,346,0,0,0.027536983433539372,0.06876250862590857,0.04203487100312486,0.0,,,
controlled,A02,small,0,C,4,2,2,0,0,0,0,,,0.005136506981216371,0.0,,,
controlled,A02,small,0,L,4,2,2,0,0,0,0,,,5.403508530027466,5.401626687002135,,,
controlled,A02,large,0,B,350,337,13,44,42,2,0,0.19729812571702676,0.5435421335320582,0.04737293400103226,0.0,,,
controlled,A02,large,0,C,306,293,13,125,125,0,0,0.19458940789141882,0.40781635729265797,0.0458082560217008,0.0,,,
controlled,A02,large,0,L,306,293,13,54,54,0,0,0.19273634462258535,0.3844602796519026,0.15993083498324268,0.02291366900317371,,,
controlled,A02,illumination_blur,0,B,350,347,3,267,263,4,0,0.21719066802635395,1.1264286118027191,0.03997427099966444,0.0,,,
controlled,A02,illumination_blur,0,C,83,80,3,41,41,0,0,0.1932603130507886,1.2492131969448026,0.020452093973290175,0.0,,,
controlled,A02,illumination_blur,0,L,83,80,3,5,5,0,0,0.05320603213559264,0.12804678866876415,0.05677394798840396,0.02286304099834524,,,
controlled,A02,outside_occluded,0,B,350,247,103,73,72,1,0,0.14516010913013858,0.8737683312822261,0.05171145897475071,0.0,,,
controlled,A02,outside_occluded,0,C,277,174,103,164,163,1,1,0.12322889517093027,0.4088409483903897,0.060204351000720635,0.0,,,
controlled,A02,outside_occluded,0,L,277,174,103,59,59,0,0,0.12748912654714126,0.3537543996739476,0.12872964798589237,0.022664634976536036,,,
controlled,A02,small,50,B,350,350,0,348,348,0,0,0.02398526462008977,0.05986728554038307,0.040205793018685654,0.0,,,
controlled,A02,small,50,C,2,2,0,0,0,0,0,,,0.004029014002298936,0.0,,,
controlled,A02,small,50,L,2,2,0,0,0,0,0,,,0.024044896970735863,0.022720804990967736,,,
controlled,A02,large,50,B,350,332,18,32,29,3,0,0.19974994480391922,73.89491634365912,0.0493716650235001,0.0,,,
controlled,A02,large,50,C,318,300,18,111,111,0,0,0.20124644150102342,0.48957379177268756,0.0633831309969537,0.0,,,
controlled,A02,large,50,L,318,300,18,68,68,0,0,0.21112102050390677,0.47451069012718683,0.17757079799775966,0.022624617005931213,,,
controlled,A02,illumination_blur,50,B,350,348,2,277,276,1,0,0.233902465035455,1.1497799101381272,0.04111969197401777,0.0,,,
controlled,A02,illumination_blur,50,C,73,71,2,45,44,1,1,0.1145148967119579,0.5304738142325175,0.015856571000767872,0.0,,,
controlled,A02,illumination_blur,50,L,73,71,2,3,3,0,0,0.08776617602393949,0.4615240116938059,0.05556773400167003,0.023468055995181203,,,
controlled,A02,outside_occluded,50,B,350,259,91,41,37,4,1,0.13266556032062543,46.58896415146019,0.0489141880243551,0.0,,,
controlled,A02,outside_occluded,50,C,309,219,90,203,202,1,1,0.10723990627893726,0.33025767798949723,0.06615851999958977,0.0,,,
controlled,A02,outside_occluded,50,L,309,219,90,83,83,0,0,0.10163252508324226,0.22245651818870285,0.14191500601009466,0.0225506900169421,,,
controlled,A02,small,100,B,350,348,2,348,348,0,0,0.027222102775917537,0.06293335759525116,0.03912089398363605,0.0,,,
controlled,A02,small,100,C,2,0,2,0,0,0,0,,,0.002484896016540006,0.0,,,
controlled,A02,small,100,L,2,0,2,0,0,0,0,,,0.030748128017876297,0.029699233011342585,,,
controlled,A02,large,100,B,350,335,15,24,23,1,0,0.18217987470353825,0.38364830063307237,0.049116102018160746,0.0,,,
controlled,A02,large,100,C,326,311,15,140,140,0,0,0.210837329591116,0.4635667131569162,0.05296423801337369,0.0,,,
controlled,A02,large,100,L,326,311,15,57,57,0,0,0.21045906413753684,0.4428493198755447,0.1820394709939137,0.027098830993054435,,,
controlled,A02,illumination_blur,100,B,350,349,1,275,275,0,0,0.24364134165634524,0.9406299748772183,0.04015262602479197,0.0,,,
controlled,A02,illumination_blur,100,C,75,74,1,23,22,1,0,0.22468163691404044,1.863388410829439,0.01580679600010626,0.0,,,
controlled,A02,illumination_blur,100,L,75,74,1,4,4,0,0,0.5581555913591357,0.8646748796414582,0.06603347297641449,0.030681802978506312,,,
controlled,A02,outside_occluded,100,B,350,258,92,37,36,1,0,0.14019605342519703,0.6292010363333451,0.052245253988076,0.0,,,
controlled,A02,outside_occluded,100,C,313,221,92,188,188,0,0,0.1122240988724712,0.2646392538695152,0.0700901229865849,0.0,,,
controlled,A02,outside_occluded,100,L,313,221,92,75,75,0,0,0.11152349172673888,0.22089920765194454,0.15131972802919336,0.027925763017265126,,,
controlled,A02,small,150,B,350,349,1,348,348,0,0,0.025832554448676173,0.05972078649321797,0.040087160014081746,0.0,,,
controlled,A02,small,150,C,2,1,1,0,0,0,0,,,0.0026128540048375726,0.0,,,
controlled,A02,small,150,L,2,1,1,0,0,0,0,,,0.02959165198262781,0.028594684990821406,,,
controlled,A02,large,150,B,350,328,22,8,7,1,0,0.1346439218017373,64.58363556505023,0.05148351102252491,0.0,,,
controlled,A02,large,150,C,342,320,22,112,112,0,0,0.22821396143140624,0.50535130829809,0.0539158980245702,0.0,,,
controlled,A02,large,150,L,342,320,22,54,54,0,0,0.2612332267863634,0.4351414706301895,0.1835821720014792,0.02716473600594327,,,
controlled,A02,illumination_blur,150,B,350,350,0,288,288,0,0,0.21495896922380212,0.822450820038003,0.039920768002048135,0.0,,,
controlled,A02,illumination_blur,150,C,62,62,0,21,21,0,0,0.15240940244683707,0.4389311132393665,0.015178377972915769,0.0,,,
controlled,A02,illumination_blur,150,L,62,62,0,5,5,0,0,0.09800124705516,0.24398012940080235,0.062276709970319644,0.02956320598605089,,,
controlled,A02,outside_occluded,150,B,350,245,105,69,69,0,0,0.15023711105098617,0.5564712161608462,0.049191176978638396,0.0,,,
controlled,A02,outside_occluded,150,C,281,176,105,150,148,2,2,0.11321156052868867,0.34779256397037883,0.0628913959953934,0.0,,,
controlled,A02,outside_occluded,150,L,281,176,105,62,62,0,0,0.1132256792658759,0.2740498887281727,0.13661973699345253,0.027056610997533426,,,
natural_paired,A02,real_adjacent,,C,485,,,9,Unknown,Unknown,,,,,,1,1.0,67
natural_stream,A02,real_adjacent,,C,491,,,9,Unknown,Unknown,,,,,,2,1.0,67
natural_paired,A02,real_adjacent,,L,485,,,3,Unknown,Unknown,,,,,,0,1.0,3
