run_slug,arm,cohort,observations,q_n,q_min,q_p10,q_median,q_p90,q_max,q_mean,raw_quality_n,age_so_far_n,age_so_far_min,age_so_far_p10,age_so_far_median,age_so_far_p90,age_so_far_max,age_so_far_mean,public_streak_so_far_n,public_streak_so_far_min,public_streak_so_far_p10,public_streak_so_far_median,public_streak_so_far_p90,public_streak_so_far_max,public_streak_so_far_mean,fb_n,ncc_n,distance_to_KLT_px_n,distance_to_KLT_px_min,distance_to_KLT_px_p10,distance_to_KLT_px_median,distance_to_KLT_px_p90,distance_to_KLT_px_max,distance_to_KLT_px_mean,bearing_novelty_rad_n,bearing_novelty_rad_min,bearing_novelty_rad_p10,bearing_novelty_rad_median,bearing_novelty_rad_p90,bearing_novelty_rad_max,bearing_novelty_rad_mean,jacobian_perturbation_sensitivity_per_rad_n,jacobian_perturbation_sensitivity_per_rad_min,jacobian_perturbation_sensitivity_per_rad_p10,jacobian_perturbation_sensitivity_per_rad_median,jacobian_perturbation_sensitivity_per_rad_p90,jacobian_perturbation_sensitivity_per_rad_max,jacobian_perturbation_sensitivity_per_rad_mean,displacement_px_n,rotation_compensated_parallax_norm_n,triangulation_angle_rad_n,triangulation_condition_proxy_n,local_motion_residual_norm_n,patch_mean_abs_delta_n,global_corrected_patch_abs_delta_n,patch_gradient_abs_delta_n,parallax_so_far_rad_n,parallax_so_far_rad_min,parallax_so_far_rad_p10,parallax_so_far_rad_median,parallax_so_far_rad_p90,parallax_so_far_rad_max,parallax_so_far_rad_mean,displacement_px_min,displacement_px_p10,displacement_px_median,displacement_px_p90,displacement_px_max,displacement_px_mean,rotation_compensated_parallax_norm_min,rotation_compensated_parallax_norm_p10,rotation_compensated_parallax_norm_median,rotation_compensated_parallax_norm_p90,rotation_compensated_parallax_norm_max,rotation_compensated_parallax_norm_mean,triangulation_angle_rad_min,triangulation_angle_rad_p10,triangulation_angle_rad_median,triangulation_angle_rad_p90,triangulation_angle_rad_max,triangulation_angle_rad_mean,triangulation_condition_proxy_min,triangulation_condition_proxy_p10,triangulation_condition_proxy_median,triangulation_condition_proxy_p90,triangulation_condition_proxy_max,triangulation_condition_proxy_mean,local_motion_residual_norm_min,local_motion_residual_norm_p10,local_motion_residual_norm_median,local_motion_residual_norm_p90,local_motion_residual_norm_max,local_motion_residual_norm_mean,patch_mean_abs_delta_min,patch_mean_abs_delta_p10,patch_mean_abs_delta_median,patch_mean_abs_delta_p90,patch_mean_abs_delta_max,patch_mean_abs_delta_mean,global_corrected_patch_abs_delta_min,global_corrected_patch_abs_delta_p10,global_corrected_patch_abs_delta_median,global_corrected_patch_abs_delta_p90,global_corrected_patch_abs_delta_max,global_corrected_patch_abs_delta_mean,patch_gradient_abs_delta_min,patch_gradient_abs_delta_p10,patch_gradient_abs_delta_median,patch_gradient_abs_delta_p90,patch_gradient_abs_delta_max,patch_gradient_abs_delta_mean,raw_quality_min,raw_quality_p10,raw_quality_median,raw_quality_p90,raw_quality_max,raw_quality_mean,fb_min,fb_p10,fb_median,fb_p90,fb_max,fb_mean,ncc_min,ncc_p10,ncc_median,ncc_p90,ncc_max,ncc_mean
a09_6000_6800,B,first_publication_or_readmission,19477,19477,0.800000011920929,0.800000011920929,0.8512006402015686,0.8555235385894775,0.8729279041290283,0.8401525364970196,0,19477,1.0,1.0,1.0,1.0,1.0,1.0,19477,1.0,1.0,1.0,1.0,1.0,1.0,0,0,19477,13.882727001251062,18.110770276274835,19.88459639448673,27.97606563166643,269.1958846328345,23.105328165555612,19477,0.018530670145963,0.0301331953679787,0.0342368737191889,0.04687219795844957,0.3703434352525376,0.03855602550472341,19477,0.7071388832779943,0.724245485577895,0.8328290429526336,1.0432480729773792,1.61604425843059,0.8709324883974875,0,0,0,0,0,0,0,0,19477,4.1096336140784e-11,1.9023201841095277e-09,4.041127125180551e-09,6.381078949383234e-09,7.247148684028613e-09,4.076946136761208e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a09_6000_6800,B,continuation,120523,120523,0.800000011920929,0.8287103652954102,0.897621214389801,0.937510097026825,0.9580644965171814,0.888990005908135,0,120523,2.0,4.0,39.0,152.0,268.0,60.1991321158617,120523,2.0,4.0,39.0,152.0,268.0,60.1991321158617,0,0,120523,3.2484778773746568,16.86721671649303,19.979360337989775,29.320678202454083,229.6366321926761,22.221847334392955,120523,0.0057795840244968,0.0275769726986501,0.0339683517903429,0.047820614256354504,0.307906644960954,0.036781178854097894,120523,0.7071092034269397,0.7347133863824543,0.8641001735323145,1.0868567473164408,1.588568266999117,0.8942747735266281,120523,120523,120523,120523,120523,120523,120523,120523,120523,0.0026782952575402,0.03353641789876486,0.344968255533134,1.2107419319977621,2.366258250801617,0.49557508593466865,0.0127637923569892,1.0270509095030633,2.58547135398546,7.739661694985342,46.14135442901434,3.5736045510287,0.0046671878501207,0.008522783068358379,0.0102955578422046,0.014949086943236663,0.0994335076014183,0.011097855515871469,0.0026782952575402,0.0073085049622777795,0.0087935756289728,0.01286757263528592,0.0675362512220171,0.009498861477371586,14.818124747543315,77.71687983562036,113.72084919019468,136.82810747482864,373.3722757899585,110.4464539930394,3.701741181703417e-08,5.1715088578646895e-05,0.0001971591993811,0.0006813409509726801,0.0887392467988709,0.0003392440660068553,0.0,0.0005325376987457,0.002856433391571,0.0087146162986755,0.0820624530315399,0.00398222713663927,2.1019700036095657e-08,0.00048833187337078,0.0026712229313291,0.00729559991792096,0.0815183718986518,0.0034503352125595257,5.960464477539064e-08,0.0006808280944824,0.0036902129650115,0.010174988210201179,0.1067299544811248,0.004843241488276233,,,,,,,,,,,,,,,,,,
a09_6000_6800,L-all,first_publication_or_readmission,2555,2555,0.8670217394828796,0.8697667360305786,0.8855059742927551,0.9192531704902649,0.9200000166893004,0.8896995212000643,2555,2555,5.0,5.0,5.0,159.0,483.0,49.06418786692759,2555,1.0,1.0,1.0,1.0,1.0,1.0,2555,2555,2555,18.00120283724046,18.584222001118853,29.5474233835969,73.43447243017121,196.49735832048464,39.18476200065157,2555,0.0182424210046269,0.03011567428949712,0.045159681389145,0.10892425729347995,0.2941475690684706,0.05823162088598374,2555,0.7074382543168057,0.8059903761915332,1.0273677458326065,1.4533003809312612,1.5975599969129564,1.0922566734002062,0,0,0,0,0,0,0,0,2555,3.420691064424985e-10,5.2404833484709115e-09,7.110009901412083e-09,0.45938427323227154,1.7353652956610086,0.12106963118677104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1003103777766227,0.13425995111465447,0.2977622151374817,0.7036165475845336,0.8762404322624207,0.3615536761522993,8.63167442730628e-05,0.0029762608930467803,0.0176201425492763,0.07951508611440654,0.6548481583595276,0.03519959357247782,0.6509441137313843,0.7093229651451111,0.8342034220695496,0.9542534351348877,0.9966563582420348,0.8332686936085472
a09_6000_6800,L-all,continuation,39463,39463,0.8770968914031982,0.8898680329322814,0.9124898314476012,0.9200000166893004,0.9200000166893004,0.9086241079298714,39463,39463,7.0,15.0,77.0,257.0,489.0,108.89235486404986,39463,2.0,3.0,18.0,63.0,192.0,26.673567645642756,39463,39463,39463,18.000959252527824,19.672379497436523,29.62068545960708,72.93010889563521,208.14346757872076,38.805495595903984,39463,0.0185228766571288,0.03130790750361964,0.0455500604093129,0.10706960969269816,0.344623765394986,0.05815470242124985,39463,0.7071598374502384,0.8182283115114842,1.0273759936982785,1.4138264613146398,1.5911182494408624,1.0815399788985742,39463,39463,39463,39463,39463,39463,39463,39463,39463,0.0017685236331207,0.028277504544800165,0.2229328437407695,0.8201496422574581,1.834551887654658,0.33235610765230406,0.0022967518956741,0.5984473769994091,1.483581962699955,3.0213511289491803,13.392978295062091,1.7832146542194183,0.0033045929655142,0.00776128540735986,0.0094467592603338,0.012521125280848682,0.025791715050114,0.009826039639513343,0.0017685236331207,0.0058104535495878,0.0070889521148546,0.00859787825607316,0.0166157163852089,0.0071828039582627285,60.18675282903728,116.30919756305008,141.06575406172766,172.1045729724697,565.4436856548535,142.79531008720758,2.605036708181459e-06,0.00013804789670282,0.0004356402843656,0.0011626024978132008,0.0098553050467924,0.0005756417134545837,0.0,0.0002904832363128,0.0015008524060249,0.0047930181026458,0.0283224433660507,0.0021692247982899996,1.019692424386598e-07,0.00029190585060034,0.0016629796776025,0.0049232494723516216,0.0290147267224119,0.0022471336011907084,9.685754776000977e-08,0.0004047285765409,0.00230423361063,0.006845571845769822,0.0645941495895385,0.003151855804516956,0.1013843119144439,0.2838290274143219,0.6069976091384888,0.8041367173194885,0.8860633373260498,0.573104634650307,2.15791860682657e-05,0.0017222840106114,0.0079437345266342,0.038228910416364684,0.9941532611846924,0.017446675403674096,0.6500335335731506,0.7751304388046265,0.9058013558387756,0.9713839173316955,0.9983767867088318,0.8877629282881538
a09_6000_6800,C-all,first_publication_or_readmission,1474,1474,0.800000011920929,0.800000011920929,0.800000011920929,0.8079930365085602,0.8812077045440674,0.8045560466466798,1474,1474,5.0,5.0,5.0,61.0,459.0,25.652645861601087,1474,1.0,1.0,1.0,1.0,1.0,1.0,1474,1474,1474,18.001440588919536,18.262876998397715,23.367248861452495,44.86975153571184,160.37297002570284,28.610347992978525,1474,0.0200693615828905,0.02999967472349898,0.0381939202543062,0.06847764925784668,0.2237592599680574,0.04577790626101995,1474,0.707164657092129,0.7470527508344919,0.9247400940617769,1.2126780544767164,1.5899269290858302,0.9584141048495171,0,0,0,0,0,0,0,0,1474,4.495544180998412e-10,2.8412993972693216e-09,5.838523955196032e-09,0.03154305632867539,1.3397961731398904,0.03278298728337313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100379854440689,0.14863250851631157,0.2697300165891647,0.5192239344120025,0.8687818646430969,0.32111917009508917,0.0001258271950064,0.0029731203103437404,0.0216984003782272,0.08014505505561823,0.8585291504859924,0.03752578439226046,0.6500229239463806,0.6789679110050202,0.7703527212142944,0.9587589383125306,0.997383177280426,0.7984432123571109
a09_6000_6800,C-all,continuation,20918,20918,0.800000011920929,0.800000011920929,0.8475894033908844,0.8731407880783081,0.8841984272003174,0.8401710924602783,20918,20918,7.0,13.0,61.0,197.0,467.0,84.71067979730375,20918,2.0,4.0,22.0,77.0,188.0,32.19810689358447,20918,20918,20918,18.003078508971186,19.137459069808163,24.70097266506631,44.335813510524076,160.20335357633058,28.875533879318873,20918,0.0202912963884638,0.03095794844964503,0.03960910032284175,0.06763554978113047,0.2229301097333557,0.0457461132207102,20918,0.7071982468618182,0.7752537872622999,0.9541308245044987,1.270771410418976,1.587060505905372,0.985515718734887,20918,20918,20918,20918,20918,20918,20918,20918,20918,0.0052590227842893,0.024847151431020748,0.1777323849088755,0.6444542220422464,1.6087979817534286,0.2646187528811018,0.0272350919722697,0.704934336318453,1.5497618651529692,2.890207388247722,19.10027172823985,1.8068247905002173,0.005646704934501,0.00807322097750747,0.00963318583915055,0.01201336971886229,0.0466443596759785,0.009921492762012075,0.0047514668104875,0.00659102411447426,0.0077273576269671004,0.008929981126781639,0.0323429673952425,0.00783806784801769,30.924013670331348,111.98380788129359,129.41163077442556,151.72258865157886,210.4621167808976,130.04347802717788,3.0160561847780706e-06,0.00010449866568443001,0.0003236740610498,0.0008865282722373399,0.0362378295416004,0.0004419472065459521,0.0,0.0003389120101928,0.0019365772604942,0.0058581233024597,0.0328249931335449,0.0027166771011388983,1.317715648263551e-07,0.00035400938310185,0.00194008789101815,0.00542281581201638,0.0333594526491911,0.002544485326706825,5.960464477539064e-08,0.0005738355219363701,0.0031337924301624003,0.008334847539663279,0.0868156254291534,0.003961907833449844,0.1040852963924408,0.3283004343509674,0.6853004097938538,0.8242604017257691,0.8872105479240417,0.6253978273847247,3.0517578125e-05,0.0013323291204869,0.006376828067004649,0.040358418226242,0.9261250495910645,0.017190133089219115,0.6500262022018433,0.7491869688034057,0.9211860597133636,0.9767325401306152,0.9968765377998352,0.88821153712724
a02_0_900,B,first_publication_or_readmission,2221,2221,0.800000011920929,0.800000011920929,0.8752273917198181,0.8764932155609131,0.877175509929657,0.8399657109254977,0,2221,1.0,1.0,1.0,1.0,1.0,1.0,2221,1.0,1.0,1.0,1.0,1.0,1.0,0,0,2221,17.36464432263631,17.980284642319997,20.77445664161841,35.12833614050059,184.23237191305515,24.890815091817778,2221,0.0216209926976375,0.029085354215881,0.0342105415313719,0.0576263660048451,0.2311810380539236,0.040635925199531166,2221,0.7073035781931984,0.7305016666489866,0.9156981805187324,1.0945543372378788,1.5588416918334966,0.9289486704738551,0,0,0,0,0,0,0,0,2221,7.572330153386366e-11,3.517400701600205e-09,5.4659972106746e-09,6.919040549410953e-09,7.23438578154968e-09,5.261517370621355e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a02_0_900,B,continuation,155279,155279,0.800000011920929,0.9337273120880127,0.9573965668678284,0.9650973796844481,0.9686366319656372,0.9505945760872008,0,155279,2.0,11.0,52.0,121.0,220.0,59.6936288873576,155279,2.0,11.0,52.0,121.0,220.0,59.6936288873576,0,0,155279,5.997709035597651,18.509032889475677,20.83433274957439,27.00215757464523,203.19467013340568,22.434339219024157,155279,0.0092193309513577,0.0294123094232666,0.0345716133744481,0.044368637004914425,0.3199825302084624,0.03663171235409174,155279,0.7071072148457319,0.7324897881837902,0.8893420875262862,1.208057309958909,1.570193973091314,0.9313475798997504,155279,155279,155279,155279,155279,155279,155279,155279,155279,0.0016669663572103,0.05234931778588283,0.300399221471094,0.7244560292000024,1.2920407121088124,0.3491623473071532,0.6589312103191682,2.4214956184937035,3.5255449801491965,4.465693702483688,20.509280045775345,3.481190208379029,0.0013612473645805,0.00541415853643742,0.0075032404552698,0.010229815500347522,0.0468961361527711,0.007676210740111306,0.0011176539657155,0.00474646760882072,0.00633083431053,0.007362050084760621,0.0285989664567562,0.006195692011930634,34.97106552206099,135.83295710326598,157.95811908683862,210.6837836970888,894.7314990749855,166.13022007301385,1.7711127402093565e-07,2.495773392023712e-05,8.141871439099242e-05,0.0002954189207538606,0.0373035711965836,0.00014006170890611155,0.0,0.0009198784828186,0.0051319301128387,0.0148632526397705,0.153280109167099,0.006825717363187736,2.651414120480311e-07,0.0008878097061283,0.0049336290072071,0.014104038756994104,0.1525768515700192,0.006513673200884448,1.341104507446289e-07,0.0011493623256682802,0.0064720213413238,0.01919996738433838,0.314007043838501,0.008828948593240205,,,,,,,,,,,,,,,,,,
a02_0_900,L-all,first_publication_or_readmission,11740,11740,0.8682885766029358,0.8927672922611236,0.9200000166893004,0.9200000166893004,0.9200000166893004,0.9124642311917456,11740,11740,5.0,5.0,53.0,185.0,437.0,76.58483816013629,11740,1.0,1.0,1.0,1.0,1.0,1.0,11740,11740,11740,18.000702679747885,22.180416813336596,77.88501563056698,233.00573188116286,426.4366945940095,104.2836815799928,11740,0.0180563795793424,0.033336261849285065,0.1140435333749879,0.35761923000897616,0.6177656824797279,0.15696152090176455,11740,0.7071761880243626,0.8545977509129845,1.1813884337700005,1.4878625134917796,1.599391285982541,1.174604384074952,0,0,0,0,0,0,0,0,11740,4.411206966622871e-10,6.61082883216508e-09,0.11414076591642436,0.4827503071855134,1.287078765538633,0.18317682443304295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1184081584215164,0.45550884604454034,0.7354558110237122,0.8088737428188324,0.8425154685974121,0.6705867249423438,0.0,0.0004658306133933,0.0018096306594088,0.0101820090785622,0.892500102519989,0.007671279989308118,0.6548420786857605,0.8933579623699188,0.9632909893989563,0.9883670747280121,0.9991400837898254,0.9494261912430368
a02_0_900,L-all,continuation,104389,104389,0.8797964453697205,0.911773955821991,0.9200000166893004,0.9200000166893004,0.9200000166893004,0.9179439529478091,104389,104389,7.0,17.0,75.0,199.0,443.0,93.6215980610984,104389,2.0,3.0,11.0,47.0,182.0,19.256233894375843,104389,104389,104389,18.000080571329573,20.18966903804903,42.28140061489805,138.90211838341392,426.9693418125108,64.05928421937651,104389,0.0181133107101051,0.03271712036433254,0.0671605315776609,0.21496093738282507,0.6184686548286719,0.09975081053623776,104389,0.7071140200839453,0.7659359612801383,0.9760182144591698,1.4041398025785026,1.6013380279137557,1.033460013543741,104389,104389,104389,104389,104389,104389,104389,104389,104389,0.0025616285620692,0.02812677025126156,0.1766540839914049,0.5249202491693409,1.3050742859872817,0.23349635022746554,0.5026197676018194,2.239279764694944,3.1823913814029696,4.202036427435204,6.615988664746837,3.196140208347332,0.0030306822898951,0.00520897212276064,0.0073575502210057,0.01001182063765964,0.0154378678022773,0.007465162120984735,0.0025616285620692,0.00451531161831558,0.005760691411218,0.0069619392892394,0.0089069836900664,0.005742464661057686,112.27293742894472,143.63929885041017,173.5912340316742,221.46940954845826,390.3770860713144,179.11385475287662,1.2242627988142115e-06,9.719006152106768e-05,0.000428102936146,0.00171439823686536,0.0061087200388038,0.0006970893012367107,0.0,0.0004841536283493,0.0027112066745758,0.0078431367874145,0.0656983852386474,0.003625852468875584,4.3439320529525816e-08,0.00048550670760576003,0.0026278520627527,0.00728921574700718,0.0548399370855715,0.0034149140735444438,7.450580596923828e-09,0.0006153583526611001,0.0034524202346801,0.010162949562072676,0.0804167687892913,0.0046894307921691416,0.13994961977005,0.5967711806297302,0.7644224762916565,0.8131788969039917,0.8440415859222412,0.7320959769251952,0.0,0.0003662109375,0.001258271979168,0.005330526456236799,0.9169921278953552,0.003831842519578216,0.6511954665184021,0.8976829886436463,0.9642359614372252,0.9889884233474731,0.9992828965187072,0.9518009095059076
