run_slug,arm,first_publication_rows,two_frame_motion_available,first_admission_true_private_parallax,parallax_so_far_at_first_publication
a09_6000_6800,B,19477,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a09_6000_6800,L-all,2555,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a09_6000_6800,C-all,1474,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a02_0_900,B,2221,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a02_0_900,L-all,11740,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a02_0_900,C-all,1725,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_bus_s180_d045,B,23809,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_bus_s180_d045,L-all,891,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_bus_s180_d045,C-all,752,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a08_2700_3600,B,2376,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a08_2700_3600,L-all,7762,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
a08_2700_3600,C-all,3019,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_cemetery_s135_d045,B,25827,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_cemetery_s135_d045,L-all,3449,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
afrl_cemetery_s135_d045,C-all,2182,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
h07_0_1000,B,30173,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
h07_0_1000,L-all,3563,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
h07_0_1000,C-all,1299,0,Unknown: only previously eligible source observations saved,recorded-history lower bound; not complete private age displacement
