run_slug,arm,repeat,kind,log_line,wall_clock_s,ros_clock_s,feature_timestamp_ns,before_accept,value_json,scale,gravity,normal_spectrum,source,run_dir
a09_6000_6800,B,1,low_excitation_warning,27,1788794404.814455908,1542889047.074748375,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,1,gyro_bias_delta,25,1788794404.882365563,1542889047.135096094,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,1,alignment_reject,28,1788794404.883910849,1542889047.135096094,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,1,low_excitation_warning,29,1788794405.014053191,1542889047.265879583,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,1,gyro_bias_delta,26,1788794405.124601057,1542889047.376487569,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,1,accepted,30,1788794405.161949545,1542889047.416713875,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat1
a09_6000_6800,B,2,low_excitation_warning,27,1788794465.436957297,1542889047.075048467,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,2,gyro_bias_delta,25,1788794465.507003972,1542889047.135394320,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,2,alignment_reject,28,1788794465.508466998,1542889047.145450546,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,2,low_excitation_warning,29,1788794465.636519472,1542889047.266184333,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,2,gyro_bias_delta,26,1788794465.744644786,1542889047.376751833,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,2,accepted,30,1788794465.781912607,1542889047.416974655,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat2
a09_6000_6800,B,3,low_excitation_warning,27,1788794526.350923054,1542889047.074869604,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
