run_slug,arm,phase,repeat,observation_rows,local_motion_residual_norm_n,local_motion_residual_norm_min,local_motion_residual_norm_p10,local_motion_residual_norm_median,local_motion_residual_norm_p90,local_motion_residual_norm_max,local_motion_residual_norm_mean,patch_mean_abs_delta_n,patch_mean_abs_delta_min,patch_mean_abs_delta_p10,patch_mean_abs_delta_median,patch_mean_abs_delta_p90,patch_mean_abs_delta_max,patch_mean_abs_delta_mean,global_corrected_patch_abs_delta_n,global_corrected_patch_abs_delta_min,global_corrected_patch_abs_delta_p10,global_corrected_patch_abs_delta_median,global_corrected_patch_abs_delta_p90,global_corrected_patch_abs_delta_max,global_corrected_patch_abs_delta_mean,patch_gradient_abs_delta_n,patch_gradient_abs_delta_min,patch_gradient_abs_delta_p10,patch_gradient_abs_delta_median,patch_gradient_abs_delta_p90,patch_gradient_abs_delta_max,patch_gradient_abs_delta_mean,fb_n,fb_min,fb_p10,fb_median,fb_p90,fb_max,fb_mean,ncc_n,ncc_min,ncc_p10,ncc_median,ncc_p90,ncc_max,ncc_mean,physical_label,interpretation_label,causal_per_point_harm_label
a02_0_900,B,all,not_applicable,157500,155279,1.7711127402093565e-07,2.495773392023712e-05,8.141871439099242e-05,0.000295418920753906,0.03730357119658362,0.00014006170890613193,155279,0.0,0.0009198784828186035,0.005131930112838745,0.014863252639770508,0.153280109167099,0.006825717363187788,155279,2.651414120480311e-07,0.0008878097061283396,0.004933629007207119,0.014104038756994158,0.15257685157001927,0.006513673200884497,155279,1.341104507446289e-07,0.001149362325668335,0.0064720213413238525,0.0191999673843384,0.314007043838501,0.008828948593240257,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,L-all,all,not_applicable,116129,104389,1.2242627988142117e-06,9.719006152106768e-05,0.0004281029361460578,0.001714398236865379,0.006108720038803899,0.0006970893012367554,104389,0.0,0.0004841536283493042,0.0027112066745758057,0.00784313678741455,0.06569838523864746,0.0036258524688756325,104389,4.3439320529525816e-08,0.00048550670760576513,0.002627852062752789,0.007289215747007216,0.054839937085571555,0.0034149140735444923,104389,7.450580596923828e-09,0.0006153583526611328,0.0034524202346801758,0.010162949562072749,0.08041676878929138,0.00468943079216919,116129,0.0,0.00036906087188981473,0.0013012088602408767,0.005736269894987343,0.9169921278953552,0.004219988425378099,116129,0.6511954665184021,0.8972977638244629,0.964140772819519,0.9889330983161926,0.9992828965187073,0.9515608386157243,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,C-all,all,not_applicable,41339,39614,5.117969982044278e-07,6.982962510190581e-05,0.0002571923992377552,0.000913342047298396,0.00420846907352996,0.0003927409981627246,39614,0.0,0.0006293952465057373,0.003437429666519165,0.009537667036056519,0.062018901109695435,0.00448070331853493,39614,7.324164291722113e-08,0.0005960753842383927,0.0033086356287290453,0.00892409556278996,0.06302112181093816,0.0042133210198672,39614,3.2782554626464844e-07,0.0008219897747039795,0.004547491669654846,0.012632045149803164,0.13883420825004578,0.005936483287621545,41339,0.0,0.00027980224695056677,0.000892997719347477,0.0030859896913170834,0.9909343123435974,0.003506396604275251,41339,0.6578088998794556,0.9161681890487671,0.9709490537643433,0.9914984226226806,0.9993011951446533,0.9605223727983517,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,B,pre_init,1,10500,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,B,pre_init,2,10500,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,B,pre_init,3,10500,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,L-all,pre_init,1,7921,7046,3.839714081104742e-06,0.00011239017942133528,0.0004846545643212828,0.0015380113628640987,0.004047888613179303,0.0006726937418159038,7046,0.0,0.0004841536283493042,0.0024691224098205566,0.006535947322845459,0.022367477416992188,0.0031387882982334427,7046,1.3337321507211897e-06,0.000414467741261082,0.0021947614929506143,0.006193032519227287,0.02073265165363808,0.0028436427056493627,7046,3.8743019104003906e-07,0.0005650259554386139,0.003025350160896778,0.00843125581741333,0.04357749968767166,0.003957363150076977,7921,7.62939453125e-06,0.0005743874935433269,0.0020289025269448757,0.011092837899923325,0.892500102519989,0.007493757900963827,7921,0.6511954665184021,0.8637903928756714,0.9472783803939819,0.9815991520881653,0.9971708655357361,0.9327462458532276,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,L-all,pre_init,2,7921,7046,3.839714081104742e-06,0.00011239017942133528,0.0004846545643212828,0.0015380113628640987,0.004047888613179303,0.0006726937418159038,7046,0.0,0.0004841536283493042,0.0024691224098205566,0.006535947322845459,0.022367477416992188,0.0031387882982334427,7046,1.3337321507211897e-06,0.000414467741261082,0.0021947614929506143,0.006193032519227287,0.02073265165363808,0.0028436427056493627,7046,3.8743019104003906e-07,0.0005650259554386139,0.003025350160896778,0.00843125581741333,0.04357749968767166,0.003957363150076977,7921,7.62939453125e-06,0.0005743874935433269,0.0020289025269448757,0.011092837899923325,0.892500102519989,0.007493757900963827,7921,0.6511954665184021,0.8637903928756714,0.9472783803939819,0.9815991520881653,0.9971708655357361,0.9327462458532276,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,L-all,pre_init,3,13038,11843,3.839714081104742e-06,0.00010894207088442966,0.0004902171177614621,0.001588231018107213,0.004178136536532192,0.0006808725124217207,11843,0.0,0.0005325525999069214,0.0026627928018569946,0.00735899806022644,0.028516054153442383,0.0034680762111556837,11843,1.316892055458485e-06,0.00042964240224803164,0.0023177657807850194,0.006508163215361675,0.02073265165363808,0.0030272651812147666,11843,3.8743019104003906e-07,0.000580848753452301,0.003169834613800049,0.009006455540657045,0.04357749968767166,0.0041557907722220375,13038,0.0,0.0005072256317362189,0.0018213652074337006,0.009606638085097088,0.892500102519989,0.006495002181316108,13038,0.6511954665184021,0.8692735433578491,0.9508684873580933,0.9836906433105469,0.9982776045799255,0.9365988058086772,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,C-all,pre_init,1,1663,1532,7.19343080189025e-06,7.36978574565748e-05,0.0002779086593942394,0.0010229665218687038,0.0029080593872873577,0.00041855630607136215,1532,0.0,0.0005809694528579711,0.003001689910888672,0.008424103260040283,0.019365757703781128,0.0038903466287231944,1532,1.644568550729364e-06,0.0004885840735306069,0.002611235594248029,0.00737054343616491,0.019882232687728707,0.0033996318790408884,1532,1.1608004570007324e-05,0.0006576806306838989,0.004159979522228241,0.010593037307262423,0.03054642677307129,0.005041663865643911,1663,4.31583721365314e-05,0.0004105720145162195,0.0012926815543323755,0.005625321250408886,0.8360974192619324,0.006698586377047374,1663,0.7563766837120056,0.9008496761322021,0.9620197415351868,0.9864874482154846,0.9957098960876465,0.9516460948583955,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,C-all,pre_init,2,1663,1532,7.19343080189025e-06,7.36978574565748e-05,0.0002779086593942394,0.0010229665218687038,0.0029080593872873577,0.00041855630607136215,1532,0.0,0.0005809694528579711,0.003001689910888672,0.008424103260040283,0.019365757703781128,0.0038903466287231944,1532,1.644568550729364e-06,0.0004885840735306069,0.002611235594248029,0.00737054343616491,0.019882232687728707,0.0033996318790408884,1532,1.1608004570007324e-05,0.0006576806306838989,0.004159979522228241,0.010593037307262423,0.03054642677307129,0.005041663865643911,1663,4.31583721365314e-05,0.0004105720145162195,0.0012926815543323755,0.005625321250408886,0.8360974192619324,0.006698586377047374,1663,0.7563766837120056,0.9008496761322021,0.9620197415351868,0.9864874482154846,0.9957098960876465,0.9516460948583955,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,C-all,pre_init,3,1663,1532,7.19343080189025e-06,7.36978574565748e-05,0.0002779086593942394,0.0010229665218687038,0.0029080593872873577,0.00041855630607136215,1532,0.0,0.0005809694528579711,0.003001689910888672,0.008424103260040283,0.019365757703781128,0.0038903466287231944,1532,1.644568550729364e-06,0.0004885840735306069,0.002611235594248029,0.00737054343616491,0.019882232687728707,0.0033996318790408884,1532,1.1608004570007324e-05,0.0006576806306838989,0.004159979522228241,0.010593037307262423,0.03054642677307129,0.005041663865643911,1663,4.31583721365314e-05,0.0004105720145162195,0.0012926815543323755,0.005625321250408886,0.8360974192619324,0.006698586377047374,1663,0.7563766837120056,0.9008496761322021,0.9620197415351868,0.9864874482154846,0.9957098960876465,0.9516460948583955,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
a02_0_900,B,post_init,1,147000,145198,1.7711127402093565e-07,2.4953055967928635e-05,8.133417490272427e-05,0.0002951393613996822,0.03730357119658362,0.00013984821697757017,145198,0.0,0.0009198784828186035,0.005228757858276367,0.01510530710220337,0.153280109167099,0.006931550227734,145198,2.651414120480311e-07,0.0009090270702536874,0.005026842595861947,0.01432811813132987,0.15257685157001927,0.006620038030537333,145198,1.341104507446289e-07,0.001174972951412201,0.006582237780094147,0.019469571113586426,0.314007043838501,0.008959504095763968,,,,,,,,,,,,,,,Unknown,UNDERWATER_RELIABILITY_HYPOTHESIS,Unknown
