window,selected_feature_index,track_id,source_code_at_birth,p_u,p_v
a09_6000_6800,2,944,2,836.0,374.0
a09_6000_6800,3,1158,2,200.0,476.0
a09_6000_6800,4,1354,2,480.0,210.0
a06_s045_d045,2,729,2,144.0,560.0
a06_s045_d045,3,896,2,956.0,94.0
a06_s045_d045,3,901,2,914.0,203.0
a06_s045_d045,3,905,2,557.0,327.0
a06_s045_d045,3,912,2,754.0,259.0
a06_s045_d045,3,916,2,761.0,319.0
a06_s045_d045,4,1003,2,638.0,198.0
a06_s045_d045,4,1014,2,450.0,286.0
a06_s045_d045,4,1021,2,673.0,127.0
a06_s045_d045,4,1030,2,912.0,374.0
a06_s045_d045,4,1037,2,747.0,597.0
a06_s045_d045,4,1040,2,365.0,254.0
