window,arm,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800,klt,1,38,37,1296.253955078017,156.96495550102372,0.0014146980490183441,1.2665059529506135,0.22379836800828326,4.989762771856476e-07
a09_6000_6800,klt,2,38,37,1234.1315792872176,150.0564940756865,0.0014824091384514498,1.2725772230949295,0.22481342579506627,4.257950662611698e-07
a09_6000_6800,klt,3,38,37,1230.939397181932,149.6789145808134,0.0014862719951744803,1.2725341161801986,0.22482660373870894,4.1918659121620294e-07
a09_6000_6800,persistence_replace,1,38,37,0.7310659349352957,0.07343653622539242,0.753526450624301,0.04767347379167302,0.0185029627361661,4.737916730196412e-07
a09_6000_6800,persistence_replace,2,38,37,0.732646324669052,0.07355253983892288,0.7531240215429734,0.047711269264735734,0.01847907328699943,4.601610771176601e-07
a09_6000_6800,persistence_replace,3,38,37,0.7328277430823652,0.07350139320592254,0.753080959273359,0.04792491814127706,0.018455279768903633,3.9320592254421527e-07
a06_s045_d045,klt,1,42,41,0.2576787898519761,0.03104267602740729,0.8246781679184071,0.041084584278650776,0.013487169854562145,4.157213492270162e-07
a06_s045_d045,klt,2,42,41,0.25771463408599476,0.031055992115549422,0.8246581863408378,0.041092055500094676,0.013502519883848586,4.801161514137592e-07
a06_s045_d045,klt,3,42,41,0.2577554399996261,0.031072808122449308,0.8246376832796458,0.04112614776988771,0.01352689585752858,4.3999962606733334e-07
a06_s045_d045,persistence_replace,1,42,41,0.2128289566160142,0.025003236716278757,0.8541688296056934,0.06015799229570175,0.015538055423995483,2.3671627875573864e-07
a06_s045_d045,persistence_replace,2,42,41,0.2127602883993551,0.02498581669617741,0.8542111625848126,0.06015026261745801,0.015525582814068862,4.171859311376258e-07
a06_s045_d045,persistence_replace,3,42,41,0.21276905128254417,0.024984676269595697,0.8542076082667563,0.06016183236167973,0.015526312135837468,3.2373040430300204e-07
a06_s000_d045,klt,1,40,39,2.6427389543053867,0.31909869514343875,1.855541867060204,1.5546891762268895,0.3080898660197449,3.048565612728815e-07
a06_s000_d045,klt,2,40,39,2.5195471527851065,0.35061113949318484,1.4959327408459466,2.0447208495811937,0.37797772351121267,2.7648878730968107e-07
a06_s000_d045,klt,3,40,39,3.0245726404259803,0.33859072809666557,2.2301432933081897,1.642184977056467,0.3194155631917962,4.3680820377423046e-07
a06_s000_d045,persistence_replace,1,40,39,132.50111544637335,16.027494656068896,0.029082797742020113,2.8556558464770103,0.5447631998449957,4.4637334895014646e-07
a06_s000_d045,persistence_replace,2,40,39,2.5203307333690668,0.35247013249583875,1.4709666390138958,2.085123464131566,0.3808925897791035,4.641315660691703e-07
a06_s000_d045,persistence_replace,3,40,39,130.6512519968869,15.802498355347804,0.029458333313577736,2.8603349754915643,0.5446715208249341,4.79175065959403e-07
h07_s000_d050,klt,1,48,47,1.3234818518744282,0.2571979071447823,0.7224009035565525,0.819356255240385,0.18571179912646196,2.5524038504975977e-07
h07_s000_d050,klt,2,48,47,1.2296692243162102,0.21111151069018144,0.7396155232661914,0.7720410884687008,0.15371626186384763,4.893098185521083e-07
h07_s000_d050,klt,3,48,47,1.2211950574671535,0.21984797092151956,0.7405962317054463,0.7635228985938708,0.15847430385829867,3.038582986614191e-07
h07_s000_d050,persistence_replace,1,48,47,1.3234818518744282,0.2571979071447823,0.7224009035565525,0.819356255240385,0.18571179912646196,2.5524038504975977e-07
h07_s000_d050,persistence_replace,2,48,47,1.2296692243162102,0.21111151069018144,0.7396155232661914,0.7720410884687008,0.15371626186384763,4.893098185521083e-07
h07_s000_d050,persistence_replace,3,48,47,1.2211950574671535,0.21984797092151956,0.7405962317054463,0.7635228985938708,0.15847430385829867,3.038582986614191e-07
