window,arm,repeat,status,feature_bag,feature_bag_sha256,config,config_sha256,normalized_backend_config_sha256,vins_node_sha256,libvins_sha256,vio_csv,vio_csv_sha256
a09_6000_6800,klt,1,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_aqualoc_archaeo_external.yaml,d49846fd26e793b54985d0289055e84785dfd4d05f0589082a243442f332f0f0,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_output/vio.csv,fcb665a77358740232e43309488507b1e29bf1adb6dd61e2310ff05046ad8cd7
a09_6000_6800,klt,2,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_aqualoc_archaeo_external.yaml,9ea8ce2b4e1def27f894a6440a1c06704f34d98f69c372f6a55017dcc762f043,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_output/vio.csv,22e33668dc6e4a61de92bf63c6a8c82f5e1dfe03b452dae9f882c85e63eb679e
a09_6000_6800,klt,3,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins_aqualoc_archaeo_external.yaml,110fe4c263b17862fb69ce849ea95e126c4a2dde232caa10882f8f309976b34f,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins_output/vio.csv,d2aa1cc9b08ec6d02a4e817846fadaf556c8c5241d466a4190338bb380ea603c
a09_6000_6800,persistence_replace,1,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pcrv1_a09_6000_6800/features.bag,c39083fa5b2941d458da577ba25d25924e4d2eb194428dce9719374c5d62718a,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/backend_canonical/a09_6000_6800/vins_same_backend.yaml,1ad94202a590693147c33f1f996b8cab20ed75887deece00162866344c303564,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/replays/a09_6000_6800/persistence_replace/repeat1/vins_output/vio.csv,fb1f12a85588a1e5ef76594eefb98f8de5a0b50a7e682c3bfee23cc6dee64daf
a09_6000_6800,persistence_replace,2,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pcrv1_a09_6000_6800/features.bag,c39083fa5b2941d458da577ba25d25924e4d2eb194428dce9719374c5d62718a,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/backend_canonical/a09_6000_6800/vins_same_backend.yaml,1ad94202a590693147c33f1f996b8cab20ed75887deece00162866344c303564,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/replays/a09_6000_6800/persistence_replace/repeat2/vins_output/vio.csv,72636e3f62eb380ffc707053619993adc0c013be7b3cc92b0ad6dbfd1acd1bf6
a09_6000_6800,persistence_replace,3,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pcrv1_a09_6000_6800/features.bag,c39083fa5b2941d458da577ba25d25924e4d2eb194428dce9719374c5d62718a,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/backend_canonical/a09_6000_6800/vins_same_backend.yaml,1ad94202a590693147c33f1f996b8cab20ed75887deece00162866344c303564,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/replays/a09_6000_6800/persistence_replace/repeat3/vins_output/vio.csv,236fe0bffbcc37f8b0bb79e06529f671f093780f41c87e1858577c4e4a83acee
a06_s045_d045,klt,1,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s045_d045_klt_frontend/features.bag,5dd08d82f0e516d21934e5af68c61e436ec96d010073f1ee5857a717a2bf6d5a,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s045_d045/vins_same_backend.yaml,eeb48b1fbc3d60c54ace8db0792d371388190f661909436d37d7523852b21e39,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s045_d045/klt/repeat1/vins_output/vio.csv,6d9587cecc05c91e74bcdd40437513f0eaf3aa015a7d069bfeff0578353296a4
a06_s045_d045,klt,2,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s045_d045_klt_frontend/features.bag,5dd08d82f0e516d21934e5af68c61e436ec96d010073f1ee5857a717a2bf6d5a,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s045_d045/vins_same_backend.yaml,eeb48b1fbc3d60c54ace8db0792d371388190f661909436d37d7523852b21e39,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s045_d045/klt/repeat2/vins_output/vio.csv,a3bd99325dcb03da744bc7f109b880b2d887b8fea5e3ff58b02a4d3eef7760d6
a06_s045_d045,klt,3,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s045_d045_klt_frontend/features.bag,5dd08d82f0e516d21934e5af68c61e436ec96d010073f1ee5857a717a2bf6d5a,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s045_d045/vins_same_backend.yaml,eeb48b1fbc3d60c54ace8db0792d371388190f661909436d37d7523852b21e39,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s045_d045/klt/repeat3/vins_output/vio.csv,72bf4ff461da0fd7aeed416ba0f6d47d4e550c9aa74750acf0ab93f93f3327ce
a06_s045_d045,persistence_replace,1,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pcrv1_a06_s045_d045/features.bag,adc9836f92eecf872558e144a2f10414aa453b93acbf8a044ea9899381dd7e6f,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/backend_canonical/a06_s045_d045/vins_same_backend.yaml,00cd86701132fa8f01f59fd4663debf3cd5dc8f0c1899f661e198de98d5497f1,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_conditioned_replacement_v1/replays/a06_s045_d045/persistence_replace/repeat1/vins_output/vio.csv,5bb1878401aa8acddcd56f81479d1a7c0dfe9d984714eff44f98cd09341f291a
