timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,persistence_replace_r1_valid,persistence_replace_r2_valid,persistence_replace_r3_valid,common_valid,segment_id
1542883357.7729912,1,0,0,0,0,0,0,0,-1
1542883358.7729912,1,0,0,0,0,0,0,0,-1
1542883359.7729912,1,1,1,1,1,1,1,1,0
1542883360.7729912,1,1,1,1,1,1,1,1,0
1542883361.7729912,1,1,1,1,1,1,1,1,0
1542883362.7729912,1,1,1,1,1,1,1,1,0
1542883363.7729912,1,1,1,1,1,1,1,1,0
1542883364.7729912,1,1,1,1,1,1,1,1,0
1542883365.7729912,1,1,1,1,1,1,1,1,0
1542883366.7729912,1,1,1,1,1,1,1,1,0
1542883367.7729912,1,1,1,1,1,1,1,1,0
1542883368.7729912,1,1,1,1,1,1,1,1,0
1542883369.7729912,1,1,1,1,1,1,1,1,0
1542883370.7729912,1,1,1,1,1,1,1,1,0
1542883371.7729912,1,1,1,1,1,1,1,1,0
1542883372.7729912,1,1,1,1,1,1,1,1,0
1542883373.7729912,1,1,1,1,1,1,1,1,0
1542883374.7729912,1,1,1,1,1,1,1,1,0
1542883375.7729912,1,1,1,1,1,1,1,1,0
1542883376.7729912,1,1,1,1,1,1,1,1,0
1542883377.7729912,1,1,1,1,1,1,1,1,0
1542883378.7729912,1,1,1,1,1,1,1,1,0
1542883379.7729912,1,1,1,1,1,1,1,1,0
1542883380.7729912,1,1,1,1,1,1,1,1,0
1542883381.7729912,1,1,1,1,1,1,1,1,0
1542883382.7729912,1,1,1,1,1,1,1,1,0
1542883383.7729912,1,1,1,1,1,1,1,1,0
1542883384.7729912,1,1,1,1,1,1,1,1,0
1542883385.7729912,1,1,1,1,1,1,1,1,0
1542883386.7729912,1,1,1,1,1,1,1,1,0
1542883387.7729912,1,1,1,1,1,1,1,1,0
1542883388.7729912,1,1,1,1,1,1,1,1,0
1542883389.7729912,1,1,1,1,1,1,1,1,0
1542883390.7729912,1,1,1,1,1,1,1,1,0
1542883391.7729912,1,1,1,1,1,1,1,1,0
1542883392.7729912,1,1,1,1,1,1,1,1,0
1542883393.7729912,1,1,1,1,1,1,1,1,0
1542883394.7729912,1,1,1,1,1,1,1,1,0
1542883395.7729912,1,1,1,1,1,1,1,1,0
1542883396.7729912,1,1,1,1,1,1,1,1,0
1542883397.7729912,1,1,1,1,1,1,1,1,0
1542883398.7729912,1,1,1,1,1,1,1,1,0
1542883399.7729912,1,1,1,1,1,1,1,1,0
1542883400.7729912,1,1,1,1,1,1,1,1,0
