window,selected_feature_index,track_id,source_code,age_at_replacement,full_klt_counterfactual_lifetime,backend_quality
a09_6000_6800,2,944,2,1,1,0.8474114537239075
a09_6000_6800,3,1158,2,1,1,0.8478879928588867
a09_6000_6800,4,1354,2,1,1,0.8480269312858582
a06_s045_d045,2,729,2,1,3,0.8485137224197388
a06_s045_d045,3,896,2,1,1,0.849216639995575
a06_s045_d045,3,901,2,1,1,0.849057674407959
a06_s045_d045,3,905,2,1,1,0.8503103256225586
a06_s045_d045,3,912,2,1,1,0.8499048352241516
a06_s045_d045,3,916,2,1,1,0.8503916263580322
a06_s045_d045,4,1003,2,1,2,0.850507915019989
a06_s045_d045,4,1014,2,1,1,0.8502543568611145
a06_s045_d045,4,1021,2,1,1,0.8505544066429138
a06_s045_d045,4,1030,2,1,1,0.8501452803611755
a06_s045_d045,4,1037,2,1,134,0.8508318662643433
a06_s045_d045,4,1040,2,1,1,0.8487170338630676
a06_s000_d045,1,367,2,1,1,0.8630776405334473
a06_s000_d045,1,368,2,1,1,0.8630776405334473
a06_s000_d045,1,369,2,1,1,0.8630776405334473
a06_s000_d045,1,370,2,1,16,0.8630776405334473
a06_s000_d045,1,371,2,1,10,0.8630776405334473
a06_s000_d045,2,379,2,1,1,0.867176353931427
a06_s000_d045,2,380,2,1,2,0.867176353931427
a06_s000_d045,2,381,2,1,10,0.867176353931427
a06_s000_d045,2,382,2,1,28,0.867176353931427
a06_s000_d045,2,383,2,1,1,0.867176353931427
a06_s000_d045,2,384,2,1,1,0.867176353931427
a06_s000_d045,2,385,2,1,3,0.867176353931427
a06_s000_d045,2,386,2,1,1,0.867176353931427
a06_s000_d045,2,387,2,1,48,0.867176353931427
a06_s000_d045,2,388,2,1,31,0.867176353931427
a06_s000_d045,2,389,2,1,1,0.867176353931427
a06_s000_d045,2,390,2,1,13,0.867176353931427
a06_s000_d045,2,391,2,1,3,0.867176353931427
a06_s000_d045,2,392,2,1,3,0.867176353931427
a06_s000_d045,2,393,2,1,8,0.867176353931427
a06_s000_d045,3,397,2,1,41,0.8674651384353638
a06_s000_d045,3,398,2,1,1,0.8674651384353638
a06_s000_d045,3,399,2,1,11,0.8674651384353638
a06_s000_d045,3,400,2,1,31,0.8674651384353638
a06_s000_d045,3,401,2,1,12,0.8674651384353638
a06_s000_d045,3,402,2,1,1,0.8674651384353638
a06_s000_d045,3,403,2,1,23,0.8674651384353638
