window,arm,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a06_s000_d045,klt,1,40,39,2.6427389543053867,0.31909869514343875,1.855541867060204,1.5546891762268895,0.3080898660197449,3.048565612728815e-07
a06_s000_d045,klt,2,40,39,2.5195471527851065,0.35061113949318484,1.4959327408459466,2.0447208495811937,0.37797772351121267,2.7648878730968107e-07
a06_s000_d045,klt,3,40,39,3.0245726404259803,0.33859072809666557,2.2301432933081897,1.642184977056467,0.3194155631917962,4.3680820377423046e-07
a06_s000_d045,singlechain,1,40,39,254.5065042290392,30.103547721692628,0.015427959623458635,2.827956505811811,0.5394822200826791,4.941881890374589e-07
a06_s000_d045,singlechain,2,40,39,1.5984185556434856,0.3184593859484713,0.8420023776802347,1.332645288480795,0.2928224621558143,4.6215581428477037e-07
a06_s000_d045,singlechain,3,40,39,254.50675948318224,30.10364739244983,0.015427937543755096,2.8279590398220265,0.5394832091069836,4.831822479900438e-07
a09_6000_6800,klt,1,38,37,1296.253955078017,156.96495550102372,0.0014146980490183441,1.2665059529506135,0.22379836800828326,4.989762771856476e-07
a09_6000_6800,klt,2,38,37,1234.1315792872176,150.0564940756865,0.0014824091384514498,1.2725772230949295,0.22481342579506627,4.257950662611698e-07
a09_6000_6800,klt,3,38,37,1230.939397181932,149.6789145808134,0.0014862719951744803,1.2725341161801986,0.22482660373870894,4.1918659121620294e-07
a09_6000_6800,singlechain,1,38,37,0.7319677098973111,0.07348205922008089,0.7532979954060746,0.047777544706512125,0.018482428496903125,4.5529348787626267e-07
a09_6000_6800,singlechain,2,38,37,0.7326905542938852,0.0735200863211803,0.7531145729133184,0.04783421634277252,0.01847081784039419,4.4570611479333166e-07
a09_6000_6800,singlechain,3,38,37,0.7324893332181179,0.07352197412689937,0.7531647869805772,0.0477620498426402,0.018471963824052164,3.3321811798714407e-07
a06_s045_d045,klt,1,42,41,0.2576787898519761,0.03104267602740729,0.8246781679184071,0.041084584278650776,0.013487169854562145,4.157213492270162e-07
a06_s045_d045,klt,2,42,41,0.25771463408599476,0.031055992115549422,0.8246581863408378,0.041092055500094676,0.013502519883848586,4.801161514137592e-07
a06_s045_d045,klt,3,42,41,0.2577554399996261,0.031072808122449308,0.8246376832796458,0.04112614776988771,0.01352689585752858,4.3999962606733334e-07
a06_s045_d045,singlechain,1,42,41,0.2918559109691491,0.0375119369370542,0.8044451507536029,0.02238162399305869,0.012507708047824117,3.7600694130848766e-07
a06_s045_d045,singlechain,2,42,41,0.29185381056545195,0.037506479564780704,0.8044462821202487,0.022381433049585255,0.012500328435511028,4.795647807059877e-07
a06_s045_d045,singlechain,3,42,41,0.2918587408738131,0.03751213111080396,0.8044437661950526,0.022385452912664743,0.012509704979697335,4.529126647438708e-07
