window,arm,repeat,status,feature_bag,feature_bag_sha256,config,config_sha256,normalized_backend_config_sha256,vins_node_sha256,libvins_sha256,vio_csv,vio_csv_sha256
a06_s000_d045,klt,1,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s000_d045_klt_frontend/features.bag,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s000_d045/vins_same_backend.yaml,0e9ccedc8b994f68cdbb9b9211a78eeb26320b562c9cd330b6145a7db1d70bb7,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat1/vins_output/vio.csv,40e6efa0df7c8323921abf5e1b7eb71caaa59c0e360f2bdb348762abe29a20aa
a06_s000_d045,klt,2,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s000_d045_klt_frontend/features.bag,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s000_d045/vins_same_backend.yaml,0e9ccedc8b994f68cdbb9b9211a78eeb26320b562c9cd330b6145a7db1d70bb7,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat2/vins_output/vio.csv,18c4ed36fe112bbb10eae9a7bc74533dfc5f7f31707e140a811fa9907ea6b230
a06_s000_d045,klt,3,FROZEN_RESULT_REUSE,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s000_d045_klt_frontend/features.bag,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/backend_canonical/a06_s000_d045/vins_same_backend.yaml,0e9ccedc8b994f68cdbb9b9211a78eeb26320b562c9cd330b6145a7db1d70bb7,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat3/vins_output/vio.csv,47e545eedc44a0965e6759367b80e1c8adf7a8106c8d0f9d67e6f5c7407208f0
a06_s000_d045,singlechain,1,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pscv2_a06_s000_d045/features.bag,bfd26be98651c495a1e6158a83b00c22e6bd796938523e74ca40c65118293f1e,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/backend_canonical/a06_s000_d045/vins_same_backend.yaml,02fe8feb0071ec1b70cce1e7e33da60dc90cbe4a0b01e80c50b99dfaa65996f2,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat1/vins_output/vio.csv,bff2c69bcfd806e31a7072162f6dc683c665da1f77e152046ed2c08def681db1
a06_s000_d045,singlechain,2,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pscv2_a06_s000_d045/features.bag,bfd26be98651c495a1e6158a83b00c22e6bd796938523e74ca40c65118293f1e,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/backend_canonical/a06_s000_d045/vins_same_backend.yaml,02fe8feb0071ec1b70cce1e7e33da60dc90cbe4a0b01e80c50b99dfaa65996f2,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat2/vins_output/vio.csv,453634172ea04269b677f1768942b62c50ccb21bcd2ea00f25af7b2f25994378
a06_s000_d045,singlechain,3,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pscv2_a06_s000_d045/features.bag,bfd26be98651c495a1e6158a83b00c22e6bd796938523e74ca40c65118293f1e,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/backend_canonical/a06_s000_d045/vins_same_backend.yaml,02fe8feb0071ec1b70cce1e7e33da60dc90cbe4a0b01e80c50b99dfaa65996f2,4450aa91fbd8c5290dcd287401492bdf0d9db8cdd3009086d695099a1a67ebc2,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat3/vins_output/vio.csv,b11b0caea64f3ad50420c1dbce29a79f1bf497bf84454fe62c95ac148cf9aa36
a09_6000_6800,klt,1,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_aqualoc_archaeo_external.yaml,d49846fd26e793b54985d0289055e84785dfd4d05f0589082a243442f332f0f0,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_output/vio.csv,fcb665a77358740232e43309488507b1e29bf1adb6dd61e2310ff05046ad8cd7
a09_6000_6800,klt,2,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_aqualoc_archaeo_external.yaml,9ea8ce2b4e1def27f894a6440a1c06704f34d98f69c372f6a55017dcc762f043,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_output/vio.csv,22e33668dc6e4a61de92bf63c6a8c82f5e1dfe03b452dae9f882c85e63eb679e
a09_6000_6800,klt,3,FROZEN_RESULT_REUSE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins_aqualoc_archaeo_external.yaml,110fe4c263b17862fb69ce849ea95e126c4a2dde232caa10882f8f309976b34f,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins_output/vio.csv,d2aa1cc9b08ec6d02a4e817846fadaf556c8c5241d466a4190338bb380ea603c
a09_6000_6800,singlechain,1,COMPLETE,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_pscv2_a09_6000_6800/features.bag,c39083fa5b2941d458da577ba25d25924e4d2eb194428dce9719374c5d62718a,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/backend_canonical/a09_6000_6800/vins_same_backend.yaml,55948c8f7b748ac92c69b3b4699d2453020f8b9ba3f38eae54091f125f016b06,13b6107086e475166d08ec5e1bc272d6edd0ce53a24a411a853d670936136750,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat1/vins_output/vio.csv,cee28fad9cdcae87e5c678f4eef9ad4b7482c56780d60e774dd32e5ae8dab95c
