window,arm,repeat,status,initialized,pose_count,span_s,reference_span_s,coverage,reuse_exact_klt_input,vio_csv,vins_log
a06_s000_d045,klt,1,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat1/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat1/vins.log
a06_s000_d045,klt,2,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat2/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat2/vins.log
a06_s000_d045,klt,3,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat3/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/replays/a06_s000_d045/klt/repeat3/vins.log
a06_s000_d045,singlechain,1,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat1/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat1/vins.log
a06_s000_d045,singlechain,2,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat2/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat2/vins.log
a06_s000_d045,singlechain,3,PASS,True,406,40.49456810951233,44.99415874481201,0.8999961159220806,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat3/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a06_s000_d045/singlechain/repeat3/vins.log
a09_6000_6800,klt,1,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins.log
a09_6000_6800,klt,2,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins.log
a09_6000_6800,klt,3,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3/vins.log
a09_6000_6800,singlechain,1,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat1/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat1/vins.log
a09_6000_6800,singlechain,2,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat2/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat2/vins.log
a09_6000_6800,singlechain,3,PASS,True,388,38.69351124763489,39.99340629577637,0.9674972659610952,False,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat3/vins_output/vio.csv,/home/ma/AQUA-FE_WS/artifacts/frontend_persistence_singlechain_v2/replays/a09_6000_6800/singlechain/repeat3/vins.log
