comparison_id,window_id,run_slug,learned_arm,role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,klt,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,1.270537020–1.270550508,0.2245001479064606,0.224499138–0.224502329,4.915092439716773e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,learned,3,38,37,0.732686053397017,0.732122024–0.732810780,0.07355900126453054,0.073459627–0.073610634,0.7531113699714781,0.753082630–0.753260640,0.047746290399592925,0.047540385–0.047911279,0.018475546377587145,0.018472150–0.018499750,4.536224128548483e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,matched,3,38,37,1.0823820062464307,1.082354210–1.082493907,0.11694641062941315,0.116943276–0.116949404,0.6734159112159499,0.673392955–0.673421558,0.0385119671295195,0.038479019–0.038513546,0.02633508347700499,0.026315069–0.026336203,4.540567518501737e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,learned,3,42,41,1.0941700251620385,1.093757553–1.095054148,0.10463964640217926,0.104491040–0.104733062,0.5086606913041979,0.508458496–0.508754884,0.04786782042793802,0.047541420–0.047956229,0.019173364885948643,0.019027131–0.019191021,4.465608414161437e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,matched,3,42,41,1.0943983689798336,1.093230360–1.094415212,0.1046406725339557,0.104586831–0.104661651,0.5086084066586564,0.508604587–0.508875807,0.04783756196557533,0.047818512–0.047870507,0.019193070536645908,0.019170883–0.019205998,4.929769910275161e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,learned,3,42,41,1.1297746695531818,1.114017251–1.132486199,0.10432735340598358,0.104268719–0.104723249,0.5006410199387021,0.500040785–0.504158151,0.045332813069762716,0.044770006–0.045544761,0.01734474441056235,0.017016581–0.019077476,4.761195344683833e-07
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,matched,3,42,41,1.133935717833909,1.129584290–1.134124129,0.10481751852679792,0.104817157–0.105281045,0.4997204939157538,0.499678891–0.500683216,0.04518607742397338,0.044739824–0.045246273,0.017323186283129337,0.017288443–0.018479854,4.814732020713697e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,klt,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,learned,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,matched,3,42,41,0.06010874666198525,0.060108747–0.060108747,0.03721830922592327,0.037218309–0.037218309,0.9561064464308695,0.956106446–0.956106446,0.04528840980910515,0.045288410–0.045288410,0.03582772009289516,0.035827720–0.035827720,4.098091051507602e-07
