comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,klt,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,klt,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,klt,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,learned,1,38,37,0.732686053397017,0.0736106342794714,0.7531113699714781,0.04754038514827315,0.01849974966989576,3.851482731492828e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,learned,2,38,37,0.7321220244314914,0.07345962747990376,0.7532606398560514,0.047911279487640665,0.01847214987397215,3.7252009624233473e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,learned,3,38,37,0.7328107796120025,0.07355900126453054,0.7530826301631756,0.047746290399592925,0.018475546377587145,4.536224128548483e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,matched,1,38,37,1.0823820062464307,0.11694940365018876,0.6734159112159499,0.03851354594324815,0.026336203235187806,4.540567518501737e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,matched,2,38,37,1.0823542097976788,0.11694641062941315,0.673421557583899,0.0385119671295195,0.02633508347700499,4.1062941313896317e-07
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,matched,3,38,37,1.0824939065375065,0.11694327550511285,0.6733929553539613,0.03847901929815891,0.026315069085103997,2.755051128622288e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,learned,1,42,41,1.0937575534391586,0.10449103960718671,0.5087548838245418,0.04754141997052018,0.019027131432547677,4.465608414161437e-07
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,learned,2,42,41,1.0941700251620385,0.10463964640217926,0.5086606913041979,0.04786782042793802,0.019173364885948643,3.648859486435341e-07
