window_id,run_slug,cell_id,source_arm,backend_role,backend_replays_completed,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,trajectory_span_median_s,trajectory_span_range_s,coverage_median,coverage_range,failure_classes,feature_bag,feature_bag_sha256,canonical_config_sha256
aqualoc_archaeology:A02:0000,a02_0_900,klt,klt,fresh_klt,3,3/3,PASS,3,421.0,421–421,41.994505882,41.994505882–41.994505882,0.933359848,0.933359848–0.933359848,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_slot_splg,slot_splg,matched_classical,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/matched_controls/a02_0_900/slot_splg/features_matched_gftt.bag,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_slot_xfeat,slot_xfeat,matched_classical,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/matched_controls/a02_0_900/slot_xfeat/features_matched_gftt.bag,006b63bfbfaebbdd96fbdbfaaef15d984cbc2d447527b7c545057d6c3c2a57ed,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,slot_splg,learned_active,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_ppsv1_a02_0_900_slot_splg/features.bag,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,slot_xfeat,learned_active,3,3/3,PASS,3,430.0,430–430,42.892948627,42.892948627–42.892948627,0.953328421,0.953328421–0.953328421,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_ppsv1_a02_0_900_slot_xfeat/features.bag,ce364493e963963cac968d5bf796e0b365b1d6a20ba97753cc870a12360e5051,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,3,3/3,PASS,3,440.0,440–440,43.893621445,43.893621445–43.893621445,0.975551477,0.975551477–0.975551477,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,klt,klt,fresh_klt,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_slot_xfeat,slot_xfeat,matched_classical,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/matched_controls/a09_6000_6800/slot_xfeat/features_matched_gftt.bag,9ac5040f91cbfcd980cf4262d8cb14c84f3b860ccfe012e8505acbb9e8cbafc7,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,slot_xfeat,learned_active,3,3/3,PASS,3,388.0,388–388,38.693511248,38.693511248–38.693511248,0.967497266,0.967497266–0.967497266,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_ppsv1_a09_6000_6800_slot_xfeat/features.bag,0a6bc1845b347b3105f1bb1b8a85499ceea9377fe6d3ce2d5c6eae712677de17,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,3,3/3,PASS,3,267.0,267–267,42.405874968,42.405874968–42.405874968,0.944903697,0.944903697–0.944903697,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1
