window_id,run_slug,arm,admitted_sidecars,byte_identical_to_klt,eligible_exact_fallback,klt_sha256,candidate_sha256
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,3,False,False,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,0a6bc1845b347b3105f1bb1b8a85499ceea9377fe6d3ce2d5c6eae712677de17
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_splg,0,True,True,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff
aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,8,False,False,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,ce364493e963963cac968d5bf796e0b365b1d6a20ba97753cc870a12360e5051
aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,8,False,False,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef
afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,2,False,False,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,ee4cd80ec33c955b3f133d2e2746239feb8d2199aff88e17d6238b079048905e
afrl:bus_outside:0004,afrl_bus_s180_d045,slot_splg,0,True,True,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84
aqualoc_archaeology:A08:0003,a08_2700_3600,slot_xfeat,0,True,True,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9
aqualoc_archaeology:A08:0003,a08_2700_3600,slot_splg,0,True,True,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9
afrl:cemetery:0003,afrl_cemetery_s135_d045,slot_xfeat,0,True,True,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e
afrl:cemetery:0003,afrl_cemetery_s135_d045,slot_splg,0,True,True,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,slot_xfeat,0,True,True,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,slot_splg,0,True,True,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358
