window_id,run_slug,role,arm,method,cell_status,integrity_pass,feature_messages,frontend_coverage,max_features,action_frames,admitted_sidecars,omitted_newborns,carried_observation_mismatches,structural_pass,byte_identical_to_klt,feature_bag,feature_bag_sha256,nonbirth_omissions,extra_classical_observations,source_violations,age_violations,action_frame_violations,count_violations,max_admitted_per_frame,published_source_counts_json
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,klt,klt,COMPLETE,True,400,0.9975062344139651,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_ppsv1_a09_6000_6800_klt/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,,,,,,,,
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,slot_xfeat,hybrid_xfeat,COMPLETE,True,400,0.9975062344139651,350,3,3,3,0,True,False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_ppsv1_a09_6000_6800_slot_xfeat/features.bag,0a6bc1845b347b3105f1bb1b8a85499ceea9377fe6d3ce2d5c6eae712677de17,0,0,0,0,0,0,1,"{""20"": 3}"
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,rescue_control,slot_splg,hybrid_superpoint_lightglue,COMPLETE,True,400,0.9975062344139651,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_ppsv1_a09_6000_6800_slot_splg/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,0,0,0,0,0,0,0,{}
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,klt,klt,COMPLETE,True,450,0.9977827050997783,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_ppsv1_a02_0_900_klt/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,,,,,,,,
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,slot_xfeat,hybrid_xfeat,COMPLETE,True,450,0.9977827050997783,350,3,8,8,0,True,False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_ppsv1_a02_0_900_slot_xfeat/features.bag,ce364493e963963cac968d5bf796e0b365b1d6a20ba97753cc870a12360e5051,0,0,0,0,0,0,3,"{""20"": 8}"
aqualoc_archaeology:A02:0000,a02_0_900,harm_control,slot_splg,hybrid_superpoint_lightglue,COMPLETE,True,450,0.9977827050997783,350,2,8,8,0,True,False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_ppsv1_a02_0_900_slot_splg/features.bag,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,0,0,0,0,0,0,5,"{""10"": 8}"
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,klt,klt,COMPLETE,True,282,1.0,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/afrl_cave_v31/external_klt_every2_ppsv1_afrl_bus_s180_d045_klt/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,,,,,,,,
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,slot_xfeat,hybrid_xfeat,COMPLETE,True,282,1.0,350,1,2,2,0,True,False,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_ppsv1_afrl_bus_s180_d045_slot_xfeat/features.bag,ee4cd80ec33c955b3f133d2e2746239feb8d2199aff88e17d6238b079048905e,0,0,0,0,0,0,2,"{""20"": 2}"
afrl:bus_outside:0004,afrl_bus_s180_d045,rescue_control,slot_splg,hybrid_superpoint_lightglue,COMPLETE,True,282,1.0,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_ppsv1_afrl_bus_s180_d045_slot_splg/features.bag,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,0,0,0,0,0,0,0,{}
aqualoc_archaeology:A08:0003,a08_2700_3600,stability_control,klt,klt,COMPLETE,True,450,0.9977827050997783,350,0,0,0,0,True,True,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_protected_prefill_slot_v1/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_ppsv1_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,,,,,,,,
