window,arm,repeat,config_path,normalized_config_sha256,window_same_backend_config
a02_4500_6300,klt,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,klt,2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,klt,3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,splg,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,splg,2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,splg,3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,xfeat_seed,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,xfeat_seed,2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a02_4500_6300,xfeat_seed,3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3/vins_aqualoc_archaeo_external.yaml,d1396bfff8aaf641134818687fdefc853d6a714918d76c88562a766c0f39469e,PASS
a09_4000_4400,klt,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,klt,2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,klt,3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,splg,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,splg,2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,splg,3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
a09_4000_4400,xfeat_seed,1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/vins_aqualoc_archaeo_external.yaml,b8f909c948b054ca1259c338151e378b3c77380769fbbb57b1e20a8555cb39e4,PASS
