window,arm,configured_feature_budget,feature_messages,points_min,points_median,points_max,messages_over_budget,max_budget_excess,budget_contract_status
a02_4500_6300,klt,350,900,350,350.0,350,0,0,PASS
a02_4500_6300,splg,350,900,350,350.0,350,0,0,PASS
a02_4500_6300,xfeat_seed,350,900,350,350.0,350,0,0,PASS
a09_4000_4400,klt,350,200,350,350.0,350,0,0,PASS
a09_4000_4400,splg,350,200,328,342.0,360,1,10,FAIL
a09_4000_4400,xfeat_seed,350,200,340,348.0,355,1,5,FAIL
a09_6000_6800,klt,350,400,350,350.0,350,0,0,PASS
a09_6000_6800,splg,350,400,349,350.0,350,0,0,PASS
a09_6000_6800,xfeat_seed,350,400,343,350.0,350,0,0,PASS
a10_2400_2800,klt,350,200,350,350.0,350,0,0,PASS
a10_2400_2800,splg,350,200,317,342.0,365,2,15,FAIL
a10_2400_2800,xfeat_seed,350,200,313,334.0,362,2,12,FAIL
a10_4800_5200,klt,350,200,350,350.0,350,0,0,PASS
a10_4800_5200,splg,350,200,333,348.0,350,0,0,PASS
a10_4800_5200,xfeat_seed,350,200,348,350.0,350,0,0,PASS
h07_1660_1720,klt,350,30,350,350.0,350,0,0,PASS
h07_1660_1720,splg,350,30,350,350.0,350,0,0,PASS
h07_1660_1720,xfeat_seed,350,30,334,342.0,353,1,3,FAIL
mclab1_s60_d15,klt,350,150,350,350.0,350,0,0,PASS
mclab1_s60_d15,splg,350,150,328,344.5,353,2,3,FAIL
mclab1_s60_d15,xfeat_seed,350,150,335,347.0,352,2,2,FAIL
