timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1542889036.0231996,1,0,0,0,0,0,0,0,0,0,0,-1
1542889037.0231996,1,0,0,0,0,0,0,0,0,0,0,-1
1542889038.0231996,1,1,1,1,0,1,1,1,1,1,0,-1
1542889039.0231996,1,1,1,1,0,1,1,1,1,1,0,-1
1542889040.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889041.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889042.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889043.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889044.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889045.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889046.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889047.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889048.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889049.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889050.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889051.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889052.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889053.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889054.0231996,1,1,1,1,1,1,1,1,1,1,1,0
1542889055.0231996,1,1,1,1,1,1,1,1,1,1,1,0
