timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1725639536.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639536.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639536.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639536.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639536.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639537.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639538.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639539.9344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.0344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.1344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.2344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.334496,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.4344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.5344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.6344962,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.7344961,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.834496,1,1,1,1,1,1,1,1,1,1,1,0
1725639540.9344962,1,1,1,1,1,1,1,1,1,1,1,0
