window,arm,arm_display,status,pass_repeats,required_repeats,poses_median,poses_range,coverage_median,coverage_range,failure_reasons,feature_bag,feature_bag_sha256,repeat_run_dirs
a02_4500_6300,klt,KLT,FAIL,0,3,423.0,207–436,0.450007,0.210–0.468,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3
a02_4500_6300,splg,SP+LG,PASS,3,3,811.0,809–888,0.899967,0.898–0.986,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3
a02_4500_6300,xfeat_seed,XFeat-seed,PASS,3,3,888.0,888–888,0.985528,0.986–0.986,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3
a09_4000_4400,klt,KLT,FAIL,2,3,161.0,143–180,0.800027,0.620–0.895,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/features.bag,76210599038aca1b5fb95d36926f4c6b65bacc10a3d954de45f0fd1ef576e4f9,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3
a09_4000_4400,splg,SP+LG,PASS,3,3,180.0,170–180,0.894982,0.845–0.895,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/features.bag,d654c26e177f6b7ac02b2b881cd6c5db8ef1e75c813a7447c26cf4440a288613,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3
a09_4000_4400,xfeat_seed,XFeat-seed,PASS,3,3,170.0,170–170,0.845027,0.845–0.845,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/features.bag,f7f2fac8ca34ece1677c99b6d82383cd517b95b8cfad7e7bbe15d1fb07feba56,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r3
a09_6000_6800,klt,KLT,PASS,3,3,388.0,388–388,0.967497,0.967–0.967,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r3
a09_6000_6800,splg,SP+LG,PASS,3,3,388.0,388–388,0.967497,0.967–0.967,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_6000_6800_splg_r1/features.bag,dcb29e971d6ff2e19ae97de46581de73f501a1da56c95bfc72174dad658ef6a1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_6000_6800_splg_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_6000_6800_splg_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_6000_6800_splg_r3
a09_6000_6800,xfeat_seed,XFeat-seed,PASS,3,3,388.0,388–388,0.967497,0.967–0.967,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_6000_6800_xfeat_seed_r1/features.bag,76452b8cbb4ff162b5880da660730d3adaa8a13a03944496e2350176b9664471,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_6000_6800_xfeat_seed_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_6000_6800_xfeat_seed_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_6000_6800_xfeat_seed_r3
a10_2400_2800,klt,KLT,PASS,3,3,157.0,157–159,0.779988,0.745–0.780,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_2400_2800_klt_r1/features.bag,ad94e3ffe7356c5d2b85316caba9f1026e460ea909405004a34830e11e2cd380,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_2400_2800_klt_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_2400_2800_klt_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_2400_2800_klt_r3
a10_2400_2800,splg,SP+LG,FAIL,1,3,99.0,99–157,0.489997,0.490–0.780,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a10_2400_2800_splg_r1/features.bag,134b86745ef75854d93b46fe546a22e0bc219f1d907a591b3dd082ceeef80b56,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a10_2400_2800_splg_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a10_2400_2800_splg_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a10_2400_2800_splg_r3
a10_2400_2800,xfeat_seed,XFeat-seed,FAIL,0,3,136.0,136–136,0.675038,0.675–0.675,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a10_2400_2800_xfeat_seed_r1/features.bag,cb15be6f958af6313656c668858a64a4da5a6831756f800585538eccef2555b1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a10_2400_2800_xfeat_seed_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a10_2400_2800_xfeat_seed_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a10_2400_2800_xfeat_seed_r3
a10_4800_5200,klt,KLT,PASS,3,3,190.0,190–190,0.944999,0.945–0.945,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_4800_5200_klt_r1/features.bag,5068c4bb35396ba4fd69c3891eec09b1c989bbe4e607f59b034a77790bc8a201,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_4800_5200_klt_r1;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_4800_5200_klt_r2;/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a10_4800_5200_klt_r3
