window,arm,arm_display,repeat,status,exit_code,init,poses,coverage,first_output_delay_s,expected_duration_s,failure_reason,run_dir,vio_csv,vins_log,frontend_metrics,feature_bag,feature_bag_sha256
a02_4500_6300,klt,KLT,1,FAIL,0,1,423,0.450007,1.250363,89.987075,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,klt,KLT,2,FAIL,0,1,436,0.467761,1.250363,89.987075,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,klt,KLT,3,FAIL,0,1,207,0.210003,14.746871,89.987075,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a02_4500_6300_klt_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,splg,SP+LG,1,PASS,0,1,809,0.897762,9.148167,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,splg,SP+LG,2,PASS,0,1,811,0.899967,8.94975,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,splg,SP+LG,3,PASS,0,1,888,0.985528,1.250363,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a02_4500_6300_splg_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,xfeat_seed,XFeat-seed,1,PASS,0,1,888,0.985528,1.250363,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,xfeat_seed,XFeat-seed,2,PASS,0,1,888,0.985528,1.250363,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a02_4500_6300,xfeat_seed,XFeat-seed,3,PASS,0,1,888,0.985528,1.250363,89.987075,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a02_4500_6300_xfeat_seed_r1/features.bag,a0d07a426614a5893f1fe1e22302225368637ad99bffc117c772abd214ffe0a7
a09_4000_4400,klt,KLT,1,FAIL,0,1,143,0.620001,4.149162,19.996068,COVERAGE_FAIL,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/features.bag,76210599038aca1b5fb95d36926f4c6b65bacc10a3d954de45f0fd1ef576e4f9
