window_id,arm,arm_display,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a06_s000_d045,klt,KLT,3,40,39,2.6427389543053867,2.519547153–3.024572640,0.33859072809666557,0.319098695–0.350611139,1.855541867060204,1.495932741–2.230143293,1.642184977056467,1.554689176–2.044720850,0.3194155631917962,0.308089866–0.377977724,4.3680820377423046e-07
a06_s000_d045,splg,SP+LG,3,40,39,4.716047133432555,4.705596718–11.426692971,1.2510300093847109,1.241597973–2.264153315,0.5133582950487724,0.249252117–0.514146285,2.745459402773425,2.735244699–3.268848795,0.6664575133773707,0.645590673–0.669979044,4.866226293032128e-07
a06_s000_d045,xfeat_seed,XFeat-seed,3,40,39,2.848403916327577,2.811302472–2.869976606,0.32222805375282554,0.319343531–0.323561145,2.0591847415367655,2.028353439–2.081751819,1.5601374908846186,1.539229271–1.562994140,0.2984705974145437,0.294752850–0.298838270,4.908846185092131e-07
a06_s045_d045,klt,KLT,3,42,41,0.25771463408599476,0.257678790–0.257755440,0.031055992115549422,0.031042676–0.031072808,0.8246581863408378,0.824637683–0.824678168,0.041092055500094676,0.041084584–0.041126148,0.013502519883848586,0.013487170–0.013526896,4.801161514137592e-07
a06_s045_d045,splg,SP+LG,3,42,41,0.2577460384358431,0.257744803–0.257873126,0.031068828385688824,0.031064951–0.031118551,0.8246412654951149,0.824573400–0.824641934,0.04111290322245014,0.041097162–0.041165629,0.013519305698331178,0.013510184–0.013581594,4.4921913277054526e-07
a06_s045_d045,xfeat_seed,XFeat-seed,3,42,41,0.20648331871430678,0.206447536–0.206496610,0.024420155234299735,0.024404991–0.024422265,0.8592331964594978,0.859225220–0.859255011,0.06539634808028674,0.065388953–0.065399724,0.0165809868190992,0.016568149–0.016582125,4.644369482054156e-07
afrl_fl_s180_d045,klt,KLT,3,43,42,0.277798548530341,0.277798204–0.277802073,0.031323647218098175,0.031323622–0.031329730,1.115291971462652,1.115291797–1.115293232,0.030988982475259563,0.030988729–0.030996282,0.017125102664979484,0.017125060–0.017135381,4.514696589907885e-07
afrl_fl_s180_d045,splg,SP+LG,3,43,42,0.2798458193175042,0.279765672–0.279847145,0.031534832833526955,0.031525942–0.031534914,1.1162116260589774,1.116175237–1.116212201,0.03176997304808397,0.031746359–0.031770879,0.017242647068252952,0.017236309–0.017242694,3.5889787078358104e-07
afrl_fl_s180_d045,xfeat_seed,XFeat-seed,3,43,42,0.2787606269061389,0.278737091–0.278763708,0.031414390524932626,0.031402399–0.031417084,1.1157306123142892,1.115719881–1.115733255,0.031223370745462182,0.031206262–0.031229316,0.017212770435855132,0.017189342–0.017214952,3.9853646705695356e-07
h07_s000_d050,klt,KLT,3,48,47,1.2296692243162102,1.221195057–1.323481852,0.21984797092151956,0.211111511–0.257197907,0.7396155232661914,0.722400904–0.740596232,0.7720410884687008,0.763522899–0.819356255,0.15847430385829867,0.153716262–0.185711799,4.893098185521083e-07
h07_s000_d050,splg,SP+LG,3,48,47,1.3834191481530718,1.298594654–1.675894569,0.27495156800322346,0.219825208–0.367946164,0.7113635806014798,0.662149970–0.726536551,0.8467399622277563,0.803991964–0.992993461,0.19729442883830425,0.160409953–0.254917371,4.6135631359689455e-07
h07_s000_d050,xfeat_seed,XFeat-seed,3,48,47,1.3346982067197466,1.258888472–1.385984708,0.25010674336110894,0.215977106–0.253944332,0.7198687901270537,0.710688787–0.734457532,0.8209839518372752,0.788723842–0.846186039,0.18130738911702082,0.157234927–0.182349117,4.715902661711624e-07
