window_id,arm,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,fixed_evo_ape_abs_diff_m,fixed_evo_rpe_abs_diff_m,sim3_evo_ape_abs_diff_m,sim3_evo_rpe_abs_diff_m
a06_s000_d045,klt,1,40,39,2.6427389543053867,0.31909869514343875,1.855541867060204,1.5546891762268895,0.3080898660197449,4.5694613426405795e-08,3.048565612728815e-07,1.7622688952556587e-07,1.3398025505706457e-07
a06_s000_d045,klt,2,40,39,2.5195471527851065,0.35061113949318484,1.4959327408459466,2.0447208495811937,0.37797772351121267,1.5278510634431086e-07,1.3949318483641449e-07,1.5041880629951265e-07,2.7648878730968107e-07
a06_s000_d045,klt,3,40,39,3.0245726404259803,0.33859072809666557,2.2301432933081897,1.642184977056467,0.3194155631917962,3.595740198925057e-07,2.7190333440341163e-07,2.2943533073416233e-08,4.3680820377423046e-07
a06_s000_d045,splg,1,40,39,4.716047133432555,1.2510300093847109,0.5133582950487724,2.745459402773425,0.6699790443965881,1.3343255567122014e-07,9.38471078626435e-09,4.0277342527872406e-07,4.439658807253721e-08
a06_s000_d045,splg,2,40,39,4.705596717587564,1.2415979732054407,0.5141462851424721,2.73524469861951,0.6664575133773707,2.824124356592961e-07,2.6794559238041415e-08,3.013804898976957e-07,4.866226293032128e-07
a06_s000_d045,splg,3,40,39,11.42669297113648,2.2641533147592843,0.2492521169819202,3.2688487945013174,0.6455906733005362,2.886351957442912e-08,3.147592844143787e-07,2.0549868251507064e-07,3.266994638151388e-07
a06_s000_d045,xfeat_seed,1,40,39,2.848403916327577,0.32222805375282554,2.0591847415367655,1.5601374908846186,0.2984705974145437,8.367242276818843e-08,5.3752825524000514e-08,4.908846185092131e-07,4.0258545630500464e-07
a06_s000_d045,xfeat_seed,2,40,39,2.8699766060088012,0.3235611451218458,2.0817518191497246,1.5629941397649256,0.2988382704622257,3.9399119877714384e-07,1.4512184581816356e-07,1.3976492563294585e-07,2.704622257265754e-07
a06_s000_d045,xfeat_seed,3,40,39,2.811302471890363,0.3193435305624885,2.0283534385272817,1.5392292714949416,0.2947528501269192,4.7189036322947686e-07,4.694375115299465e-07,2.7149494163936083e-07,1.498730807791837e-07
a06_s045_d045,klt,1,42,41,0.2576787898519761,0.03104267602740729,0.8246781679184071,0.041084584278650776,0.013487169854562145,2.1014802387142595e-07,3.2397259271121914e-07,4.157213492270162e-07,1.6985456214452244e-07
