order,window_id,role,family,sequence,camera,source,start_s,duration_s,index_semantics,image_count_input,proxy_support_count,proxy_support_semantics,eligibility,eligibility_reason
1,a06_s000_d045,low_texture,aqualoc_archaeo,Archaeo06,mono,"datasets/aqualoc/rosbags/archaeo06_0_400.bag;datasets/aqualoc/rosbags/archaeo06_400_800.bag;datasets/aqualoc/rosbags/archaeo06_800_1200.bag;datasets/aqualoc/rosbags/archaeo06_1200_1600.bag;datasets/aqualoc/rosbags/archaeo06_1600_2000.bag",0,45,half_open_seconds_from_first_image_stamp,901,44,raw_COLMAP_proxy_poses_within_half_open_window,ELIGIBLE,complete_45s_and_proxy_count_ge_40
2,a06_s045_d045,low_texture,aqualoc_archaeo,Archaeo06,mono,"datasets/aqualoc/rosbags/archaeo06_0_400.bag;datasets/aqualoc/rosbags/archaeo06_400_800.bag;datasets/aqualoc/rosbags/archaeo06_800_1200.bag;datasets/aqualoc/rosbags/archaeo06_1200_1600.bag;datasets/aqualoc/rosbags/archaeo06_1600_2000.bag",45,45,half_open_seconds_from_first_image_stamp,900,44,raw_COLMAP_proxy_poses_within_half_open_window,ELIGIBLE,complete_45s_and_proxy_count_ge_40
3,afrl_fl_s000_d045,low_texture_planar,afrl,cemetery,FL_cam0,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,0,45,half_open_seconds_from_first_FL_image_stamp,1089,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_even_lattice_interval_and_proxy_count_ge_40
4,afrl_fr_s045_d045,low_texture_planar,afrl,cemetery,FR_cam1,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,45,45,half_open_seconds_from_first_FL_image_stamp,709,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_odd_lattice_interval_and_proxy_count_ge_40
5,afrl_fl_s090_d045,low_texture_planar,afrl,cemetery,FL_cam0,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,90,45,half_open_seconds_from_first_FL_image_stamp,895,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_even_lattice_interval_and_proxy_count_ge_40
6,afrl_fr_s135_d045,low_texture_planar,afrl,cemetery,FR_cam1,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,135,45,half_open_seconds_from_first_FL_image_stamp,688,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_odd_lattice_interval_and_proxy_count_ge_40
7,afrl_fl_s180_d045,low_texture_planar,afrl,cemetery,FL_cam0,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,180,45,half_open_seconds_from_first_FL_image_stamp,676,45,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_even_lattice_interval_and_proxy_count_ge_40
8,afrl_fr_s225_d045,low_texture_planar,afrl,cemetery,FR_cam1,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,225,45,half_open_seconds_from_first_FL_image_stamp,834,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_odd_lattice_interval_and_proxy_count_ge_40
9,afrl_fl_s270_d045,low_texture_planar,afrl,cemetery,FL_cam0,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,270,45,half_open_seconds_from_first_FL_image_stamp,672,43,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_even_lattice_interval_and_proxy_count_ge_40
10,afrl_fr_s315_d045,low_texture_planar,afrl,cemetery,FR_cam1,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,315,45,half_open_seconds_from_first_FL_image_stamp,800,46,supported_1Hz_proxy_grid_points_from_input_reference_audit,ELIGIBLE,complete_odd_lattice_interval_and_proxy_count_ge_40
11,afrl_fl_s360_d045,low_texture_planar,afrl,cemetery,FL_cam0,/media/ma/Data/AQUA-FE_WS/datasets/full_downloads/afrl_hf/ros1_bags/cemetery.bag,360,45,half_open_seconds_from_first_FL_image_stamp,710,35,supported_1Hz_proxy_grid_points_from_input_reference_audit,INELIGIBLE_PROXY_SUPPORT,proxy_count_lt_40_retained_in_ledger_not_run
12,h07_s000_d050,no_harm_anchor,aqualoc_harbor,Harbor07,mono,datasets/aqualoc/rosbags/harbor07_0_1000.bag,0,50,half_open_seconds_from_first_image_stamp,1001,195,raw_COLMAP_proxy_poses_in_source_bag,ELIGIBLE,predeclared_earliest_Harbor07_anchor
