timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1535225042.1125774,1,0,0,0,0,0,0,0,0,0,0,-1
1535225043.1125774,1,0,0,0,0,0,0,0,0,0,0,-1
1535225044.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225045.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225046.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225047.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225048.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225049.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225050.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225051.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225052.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225053.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225054.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225055.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225056.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225057.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225058.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225059.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225060.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225061.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225062.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225063.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225064.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225065.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225066.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225067.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225068.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225069.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225070.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225071.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225072.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225073.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225074.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225075.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225076.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225077.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225078.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225079.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225080.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225081.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225082.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225083.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225084.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225085.1125774,1,1,1,1,1,1,1,1,1,1,1,0
1535225086.1125774,1,1,1,1,1,1,1,1,1,1,1,0
