window_id,role,arm,method,candidate_status,scheduled_feature_epochs,nonempty_feature_epochs,frontend_coverage,frontend_runable,feature_bag_path,feature_bag_sha256,all_three_bags_byte_identical,exclusion_status,repeat1_init,repeat1_pose_count,repeat1_span_s,repeat1_coverage,repeat2_init,repeat2_pose_count,repeat2_span_s,repeat2_coverage,repeat3_init,repeat3_pose_count,repeat3_span_s,repeat3_coverage,arm_window_pass,failure_class,notes
a06_s000_d045,low_texture,klt,klt,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s000_d045_klt_frontend/features.bag,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,false,INCLUDED,PASS,406,40.494568110,0.899996116,PASS,406,40.494568110,0.899996116,PASS,406,40.494568110,0.899996116,PASS,,"feature_messages=450;max_features=350;topic_counts={'/aqualoc/colmap_gt': 44, '/rtimulib_node/imu': 8993, '/feature_tracker/feature': 450};pairwise_byte_identity=none;reference_span_s=44.994158745;reference_start=1542883311.780022383;reference_end=1542883356.774181128;backend_repeats_pass=3/3"
a06_s000_d045,low_texture,splg,hybrid_superpoint_lightglue,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcsupp_a06_s000_d045_splg_frontend/features.bag,6e5a65964e3461a20c00f6522bbb45770eff5c24b6c1bf0011e22a7eb003675c,false,INCLUDED,PASS,411,40.994721413,0.911112077,PASS,411,40.994721413,0.911112077,PASS,411,40.994721413,0.911112077,PASS,,"feature_messages=450;max_features=350;topic_counts={'/aqualoc/colmap_gt': 44, '/rtimulib_node/imu': 8993, '/feature_tracker/feature': 450};pairwise_byte_identity=none;reference_span_s=44.994158745;reference_start=1542883311.780022383;reference_end=1542883356.774181128;backend_repeats_pass=3/3"
a06_s000_d045,low_texture,xfeat_seed,hybrid_xfeat,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcsupp_a06_s000_d045_xfeat_seed_frontend/features.bag,4c13df9d8aaedd047b446ac5141b30cca5122125e20f7ae427f5abb2605a51f9,false,INCLUDED,PASS,406,40.494568110,0.899996116,PASS,406,40.494568110,0.899996116,PASS,406,40.494568110,0.899996116,PASS,,"feature_messages=450;max_features=350;topic_counts={'/aqualoc/colmap_gt': 44, '/rtimulib_node/imu': 8993, '/feature_tracker/feature': 450};pairwise_byte_identity=none;reference_span_s=44.994158745;reference_start=1542883311.780022383;reference_end=1542883356.774181128;backend_repeats_pass=3/3"
a06_s045_d045,low_texture,klt,klt,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcsupp_a06_s045_d045_klt_frontend/features.bag,5dd08d82f0e516d21934e5af68c61e436ec96d010073f1ee5857a717a2bf6d5a,false,INCLUDED,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,,"feature_messages=450;max_features=350;topic_counts={'/rtimulib_node/imu': 8994, '/feature_tracker/feature': 450, '/aqualoc/colmap_gt': 44};pairwise_byte_identity=klt=splg;reference_span_s=43.991461277;reference_start=1542883357.772991180;reference_end=1542883401.764452457;backend_repeats_pass=3/3"
a06_s045_d045,low_texture,splg,hybrid_superpoint_lightglue,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcsupp_a06_s045_d045_splg_frontend/features.bag,5dd08d82f0e516d21934e5af68c61e436ec96d010073f1ee5857a717a2bf6d5a,false,INCLUDED,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,,"feature_messages=450;max_features=350;topic_counts={'/rtimulib_node/imu': 8994, '/feature_tracker/feature': 450, '/aqualoc/colmap_gt': 44};pairwise_byte_identity=klt=splg;reference_span_s=43.991461277;reference_start=1542883357.772991180;reference_end=1542883401.764452457;backend_repeats_pass=3/3"
a06_s045_d045,low_texture,xfeat_seed,hybrid_xfeat,FRONTEND_PASS,450,450,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcsupp_a06_s045_d045_xfeat_seed_frontend/features.bag,9f8da037ebe852ab2db6a73644cf759049771cc611d5a8a62728ededb3a0015a,false,INCLUDED,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,430,42.891873360,0.975004515,PASS,,"feature_messages=450;max_features=350;topic_counts={'/rtimulib_node/imu': 8994, '/feature_tracker/feature': 450, '/aqualoc/colmap_gt': 44};pairwise_byte_identity=klt=splg;reference_span_s=43.991461277;reference_start=1542883357.772991180;reference_end=1542883401.764452457;backend_repeats_pass=3/3"
afrl_fl_s000_d045,low_texture_planar,klt,klt,FRONTEND_FAIL,544,544,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbcsupp_afrl_fl_s000_d045_klt_frontend/features.bag,5b53cdaa3c544ca4057593a6e34cda4d83ee85bd06db11c1f30ef0b57c1c8169,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=544;max_features=350;topic_counts={'/afrl/colmap_gt': 1089, '/imu/imu': 4500, '/feature_tracker/feature': 544};pairwise_byte_identity=none"
afrl_fl_s000_d045,low_texture_planar,splg,hybrid_superpoint_lightglue,FRONTEND_FAIL,544,544,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbcsupp_afrl_fl_s000_d045_splg_frontend/features.bag,6a5c59aa41526acb7cb12ce7c9ead2390d3b017c67efdcfb837ae11a18869c45,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=544;max_features=376;topic_counts={'/afrl/colmap_gt': 1089, '/imu/imu': 4500, '/feature_tracker/feature': 544};pairwise_byte_identity=none"
afrl_fl_s000_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,FRONTEND_FAIL,544,544,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbcsupp_afrl_fl_s000_d045_xfeat_seed_frontend/features.bag,c2145818fb7f71c4340dcf3214142babbaecfaaabfcfda8b6c82d43b2567e1b9,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=544;max_features=376;topic_counts={'/afrl/colmap_gt': 1089, '/imu/imu': 4500, '/feature_tracker/feature': 544};pairwise_byte_identity=none"
afrl_fr_s045_d045,low_texture_planar,klt,klt,FRONTEND_FAIL,354,354,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbcsupp_afrl_fr_s045_d045_klt_frontend/features.bag,da4a03270ec95a8546710afd508151f68e2f97ba401f934d075c3ec653b1bbef,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=354;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 694, '/feature_tracker/feature': 354};pairwise_byte_identity=none"
afrl_fr_s045_d045,low_texture_planar,splg,hybrid_superpoint_lightglue,FRONTEND_FAIL,354,354,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbcsupp_afrl_fr_s045_d045_splg_frontend/features.bag,ab1235518e2d09b25b39aa508a00e08a7e161710b2eb53070edabf5f8486297f,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=354;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 694, '/feature_tracker/feature': 354};pairwise_byte_identity=none"
afrl_fr_s045_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,FRONTEND_FAIL,354,354,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbcsupp_afrl_fr_s045_d045_xfeat_seed_frontend/features.bag,05460463a2f66b4dd9182fc06f4981258d0f53c5262d0125909dc7e074f8ae81,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=354;max_features=353;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 694, '/feature_tracker/feature': 354};pairwise_byte_identity=none"
afrl_fl_s090_d045,low_texture_planar,klt,klt,FRONTEND_FAIL,447,447,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbcsupp_afrl_fl_s090_d045_klt_frontend/features.bag,1c568d2c109a5f9a247bd2dc1f05fe1b8e9e781d89b69c4035f6da0522b0c692,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=447;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 890, '/feature_tracker/feature': 447};pairwise_byte_identity=none"
