window,arm,arm_display,repeats,ape_rmse_median_m,ape_rmse_range_m,rpe_rmse_median_m,rpe_rmse_range_m,common_poses,rpe_pairs,max_evo_ape_abs_diff_m,max_evo_rpe_abs_diff_m
a03_5000_5900,klt,KLT,3,254.09975322567593,0.853661–254.109377,36.010374328188966,0.098418–36.012757,32,31,4.789783929481928e-07,3.2818896755770766e-07
a03_5000_5900,splg,SP+LG,3,254.09975322567593,254.099753–254.238510,36.010374328188966,36.010374–36.030959,32,31,4.0200580997407087e-07,3.2818896755770766e-07
a03_5000_5900,xfeat_seed,XFeat-seed,3,254.09975322567593,0.657827–254.183505,36.010374328188966,0.075886–36.023328,32,31,4.70603060742647e-07,3.407943012234682e-07
a01_16200_17100,klt,KLT,3,1.2353804272841105,1.076271–1.398591,0.10061606892069606,0.088104–0.113533,43,42,4.99904078132829e-07,4.71737248305959e-07
a01_16200_17100,splg,SP+LG,3,1.0703161381809372,1.052710–1.227635,0.0876733990345846,0.086322–0.100021,43,42,2.515885366705106e-07,3.990345845972243e-07
a01_16200_17100,xfeat_seed,XFeat-seed,3,1.1337433911705925,1.133304–1.133783,0.09258326231327339,0.092548–0.092587,43,42,4.4096225693124325e-07,3.1054216555193026e-07
a07_900_1800,klt,KLT,3,1.2884169765754603,1.288329–1928.105461,0.1309167356382439,0.130883–206.938069,38,36,2.956237494800007e-07,3.056343587104493e-07
a07_900_1800,splg,SP+LG,3,112.54979004057996,108.644594–2606.330808,13.460733016850114,12.828020–295.091660,38,36,2.1560981622315012e-07,2.523566298151536e-07
a07_900_1800,xfeat_seed,XFeat-seed,3,0.8891638128866086,0.888313–0.889216,0.0958697497558697,0.095656–0.095879,38,36,1.871133913367018e-07,3.770853596873902e-07
a07_1800_2700,klt,KLT,3,0.6162014232972463,0.613203–0.616862,0.12434410749823498,0.124248–0.124370,40,39,4.232972462547835e-07,3.603107836258612e-07
a07_1800_2700,splg,SP+LG,3,0.6054684931545102,0.536404–0.606622,0.12386696142300532,0.121143–0.123909,40,39,4.931545102282442e-07,2.2876759206424957e-07
a07_1800_2700,xfeat_seed,XFeat-seed,3,0.6169292766175148,0.549117–0.617406,0.12451834306923631,0.121789–0.124538,40,39,2.7976304095567173e-07,4.773261230162085e-07
h07_0_1000,klt,KLT,3,1.3066448104316206,1.262906–1.404769,0.204361727557023,0.199777–0.229323,94,90,4.862181066656035e-07,3.248394912225283e-07
h07_0_1000,splg,SP+LG,3,1.2801083942881204,1.195699–1.315807,0.21444784698041894,0.212582–0.226945,94,90,3.9428812037556327e-07,3.002736996826627e-07
h07_0_1000,xfeat_seed,XFeat-seed,3,1.3727805435267817,1.270438–1.411451,0.2406546552399818,0.196109–0.259814,94,90,4.564732183354181e-07,2.9626650330238924e-07
h01_0_900,klt,KLT,3,0.07158578689952898,0.071507–0.071762,0.011593105827312431,0.011540–0.011634,85,83,2.7445646677559665e-07,1.0582731243061194e-07
h01_0_900,splg,SP+LG,3,0.07174508800104876,0.071648–0.071759,0.011400073283943627,0.011376–0.011653,85,83,2.395779686859001e-07,1.24251879278503e-07
h01_0_900,xfeat_seed,XFeat-seed,3,0.07162963532204353,0.071591–0.071690,0.011447356945484228,0.011403–0.011668,85,83,3.646779564714375e-07,3.569454842273362e-07
fjord5_s60_d30,klt,KLT,3,0.1309757477253244,0.130975–0.130977,0.040597922060467806,0.040598–0.040598,289,279,3.0669606146394024e-07,3.6273183248725083e-07
fjord5_s60_d30,splg,SP+LG,3,0.13097681717788287,0.130974–0.130977,0.040598161811964115,0.040598–0.040601,289,279,1.8282211713960272e-07,4.2572877426150235e-07
fjord5_s60_d30,xfeat_seed,XFeat-seed,3,0.13172000265484313,0.131720–0.131720,0.04101573763469415,0.041016–0.041016,289,279,2.840964358208353e-07,2.713677305851703e-07
fjord6_s45_d45,klt,KLT,3,0.13542552022632184,0.135416–0.135426,0.03970153448672373,0.039701–0.039703,439,429,4.797736781469997e-07,4.655132762737546e-07
fjord6_s45_d45,splg,SP+LG,3,0.1355026028493475,0.135500–0.135510,0.03973472924699655,0.039734–0.039736,439,429,3.9715065250356396e-07,4.587615328177641e-07
fjord6_s45_d45,xfeat_seed,XFeat-seed,3,0.1352671654435328,0.135265–0.135279,0.039617620853351555,0.039615–0.039618,439,429,1.654435327902437e-07,3.791466484451278e-07
