window,arm,repeat,config_path,normalized_config_sha256,window_same_backend_config
a03_5000_5900,klt,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r1/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,klt,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r2/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,klt,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a03_5000_5900_klt_r3/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,splg,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r1/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,splg,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r2/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,splg,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a03_5000_5900_splg_r3/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,xfeat_seed,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r1/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,xfeat_seed,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r2/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a03_5000_5900,xfeat_seed,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a03_5000_5900_xfeat_seed_r3/vins_aqualoc_archaeo_external.yaml,d81ca4de0ff1a7afd3628d1ecc927836cb08d3eaf24d54e7c7ce6ca3546778f3,PASS
a01_16200_17100,klt,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r1/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,klt,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r2/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,klt,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a01_16200_17100_klt_r3/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,splg,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r1/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,splg,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r2/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,splg,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a01_16200_17100_splg_r3/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,xfeat_seed,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a01_16200_17100_xfeat_seed_r1/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,xfeat_seed,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a01_16200_17100_xfeat_seed_r2/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a01_16200_17100,xfeat_seed,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a01_16200_17100_xfeat_seed_r3/vins_aqualoc_archaeo_external.yaml,c7c4a376c904118eb1eba918941e4a366023e03f2cd0c22a062edb6e94c2ed45,PASS
a07_900_1800,klt,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_900_1800_klt_r1/vins_aqualoc_archaeo_external.yaml,42daf6b45e48c945d6a27e85238483bef4e9723039374e2a90978c3870c64011,PASS
a07_900_1800,klt,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_900_1800_klt_r2/vins_aqualoc_archaeo_external.yaml,42daf6b45e48c945d6a27e85238483bef4e9723039374e2a90978c3870c64011,PASS
a07_900_1800,klt,3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_900_1800_klt_r3/vins_aqualoc_archaeo_external.yaml,42daf6b45e48c945d6a27e85238483bef4e9723039374e2a90978c3870c64011,PASS
a07_900_1800,splg,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_900_1800_splg_r1/vins_aqualoc_archaeo_external.yaml,42daf6b45e48c945d6a27e85238483bef4e9723039374e2a90978c3870c64011,PASS
