window,arm,configured_feature_budget,feature_messages,points_min,points_median,points_max,messages_over_budget,max_budget_excess,budget_contract_status
a03_5000_5900,klt,350,450,350,350.0,350,0,0,PASS
a03_5000_5900,splg,350,450,350,350.0,350,0,0,PASS
a03_5000_5900,xfeat_seed,350,450,350,350.0,350,0,0,PASS
a01_16200_17100,klt,350,450,350,350.0,350,0,0,PASS
a01_16200_17100,splg,350,450,330,350.0,359,1,9,FAIL
a01_16200_17100,xfeat_seed,350,450,350,350.0,350,0,0,PASS
a07_900_1800,klt,350,450,350,350.0,350,0,0,PASS
a07_900_1800,splg,350,450,339,350.0,361,1,11,FAIL
a07_900_1800,xfeat_seed,350,450,338,350.0,361,1,11,FAIL
a07_1800_2700,klt,350,450,350,350.0,350,0,0,PASS
a07_1800_2700,splg,350,450,297,339.0,359,2,9,FAIL
a07_1800_2700,xfeat_seed,350,450,307,345.0,354,1,4,FAIL
h07_0_1000,klt,350,500,106,350.0,350,0,0,PASS
h07_0_1000,splg,350,500,106,350.0,350,0,0,PASS
h07_0_1000,xfeat_seed,350,500,106,350.0,350,0,0,PASS
h01_0_900,klt,350,450,350,350.0,350,0,0,PASS
h01_0_900,splg,350,450,350,350.0,350,0,0,PASS
h01_0_900,xfeat_seed,350,450,350,350.0,350,0,0,PASS
fjord5_s60_d30,klt,350,300,350,350.0,350,0,0,PASS
fjord5_s60_d30,splg,350,300,350,350.0,350,0,0,PASS
fjord5_s60_d30,xfeat_seed,350,300,339,349.0,350,0,0,PASS
fjord6_s45_d45,klt,350,450,350,350.0,350,0,0,PASS
fjord6_s45_d45,splg,350,450,338,350.0,350,0,0,PASS
fjord6_s45_d45,xfeat_seed,350,450,331,350.0,353,1,3,FAIL
