timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1542831298.0274134,1,0,0,0,0,0,0,0,0,0,0,-1
1542831299.0274134,1,0,0,0,0,0,0,0,0,0,0,-1
1542831300.0274134,1,0,0,0,0,0,0,0,0,0,0,-1
1542831301.0274134,1,0,0,0,0,0,0,0,0,0,0,-1
1542831302.0274134,1,0,0,0,0,0,0,0,0,0,0,-1
1542831303.0274134,1,1,0,1,1,1,1,1,1,1,0,-1
1542831304.0274134,0,1,0,1,1,1,1,1,1,1,0,-1
1542831305.0274134,0,1,0,1,1,1,1,1,1,1,0,-1
1542831306.0274134,0,1,1,1,1,1,1,1,1,1,0,-1
1542831307.0274134,0,1,1,1,1,1,1,1,1,1,0,-1
1542831308.0274134,0,1,1,1,1,1,1,1,1,1,0,-1
1542831309.0274134,0,1,1,1,1,1,1,1,1,1,0,-1
1542831310.0274134,0,1,1,1,1,1,1,1,1,1,0,-1
1542831311.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831312.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831313.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831314.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831315.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831316.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831317.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831318.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831319.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831320.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831321.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831322.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831323.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831324.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831325.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831326.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831327.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831328.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831329.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831330.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831331.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831332.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831333.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831334.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831335.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831336.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831337.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831338.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831339.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831340.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831341.0274134,1,1,1,1,1,1,1,1,1,1,1,0
1542831342.0274134,1,1,1,1,1,1,1,1,1,1,1,0
