timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1700603752.9078181,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.007818,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.1078181,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.207818,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.3078182,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.4078181,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.507818,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.6078181,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.707818,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.8078182,1,0,0,0,0,0,0,0,0,0,0,-1
1700603753.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603754.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603755.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603756.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603757.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603758.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603759.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603760.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603761.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603762.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603763.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603764.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.1078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.207818,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.3078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.4078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.507818,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.6078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.707818,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.8078182,1,1,1,1,1,1,1,1,1,1,1,0
1700603765.9078181,1,1,1,1,1,1,1,1,1,1,1,0
1700603766.007818,1,1,1,1,1,1,1,1,1,1,1,0
1700603766.1078181,1,1,1,1,1,1,1,1,1,1,1,0
