timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1523387546.1229303,1,0,0,0,0,0,0,0,0,0,0,-1
1523387546.6229303,1,0,0,0,0,0,0,0,0,0,0,-1
1523387547.1229303,1,0,0,0,0,0,0,0,0,0,0,-1
1523387547.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387548.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387548.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387549.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387549.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387550.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387550.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387551.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387551.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387552.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387552.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387553.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387553.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387554.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387554.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387555.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387555.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387556.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387556.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387557.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387557.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387558.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387558.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387559.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387559.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387560.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387560.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387561.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387561.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387562.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387562.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387563.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387563.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387564.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387564.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387565.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387565.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387566.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387566.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387567.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387567.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387568.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387568.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387569.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387569.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387570.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387570.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387571.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387571.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387572.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387572.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387573.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387573.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387574.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387574.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387575.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387575.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387576.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387576.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387577.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387577.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387578.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387578.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387579.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387579.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387580.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387580.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387581.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387581.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387582.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387582.6229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387583.1229303,1,1,1,1,1,1,1,1,1,1,1,0
1523387583.6229303,0,1,1,1,1,1,1,1,1,1,0,-1
1523387584.1229303,0,1,1,1,1,1,1,1,1,1,0,-1
1523387584.6229303,0,1,1,1,1,1,1,1,1,1,0,-1
1523387585.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387585.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387586.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387586.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387587.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387587.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387588.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387588.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387589.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387589.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387590.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387590.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387591.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387591.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387592.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387592.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387593.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387593.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387594.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387594.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387595.1229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387595.6229303,1,1,1,1,1,1,1,1,1,1,1,1
1523387596.1229303,1,0,0,0,0,0,0,0,0,0,0,-1
