window,arm,selected_frames,learned_candidate_count_total,learned_confirmed_count_total,exported_learned_features_total,exported_sp_lg_features_total,exported_xfeat_features_total,frames_with_exported_learned_features,feature_bag_sha256
a03_5000_5900,klt,450,0,0,0,0,0,0,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,splg,450,156,63,0,0,0,0,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a03_5000_5900,xfeat_seed,450,282,126,0,0,0,0,d34d9730d7496b03ccff18c58cc6e6badce748ca11a61d0042797a3532a1c6be
a01_16200_17100,klt,450,0,0,0,0,0,0,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b
a01_16200_17100,splg,450,29,14,50,50,0,5,270eb82d0640816937de993ed67d4ee49d8b442326fc1dc7c43b7c0d9efac9f2
a01_16200_17100,xfeat_seed,450,45,3,0,0,0,0,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b
a07_900_1800,klt,450,0,0,0,0,0,0,c5c68e001dd4e33edf80aecc3e7f7e51f172b066b79462243a657e10e5057f67
a07_900_1800,splg,450,15,11,50,50,0,5,fd752994587788e36194c9cf336bc942201ca4f9179ab21f2badab60e51e17c1
a07_900_1800,xfeat_seed,450,15,12,50,0,50,5,1c54028687d934ae55caae0e7403e715acec3d6f974e4691a7ceab644803c250
a07_1800_2700,klt,450,0,0,0,0,0,0,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19
a07_1800_2700,splg,450,292,123,50,50,0,5,a6c89894f0e9da0c0430eff10de21b091069c737d01e79d09e4ee3dce58b905f
a07_1800_2700,xfeat_seed,450,238,98,18,0,18,3,9c20283656e4fb2d892ea699ff0f47aeb57f89d6801ae2aca189a3dc44af95c8
h07_0_1000,klt,500,0,0,0,0,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358
h07_0_1000,splg,500,71,8,0,0,0,0,3f0367fac7701e1a6d82f5f587d293eb04b914aa5e94be512064be9abde26f88
h07_0_1000,xfeat_seed,500,45,9,50,0,50,6,2ae5c452af52321e4c62328312ab17819b132523275ab90a228231cbbd09b9b3
h01_0_900,klt,450,0,0,0,0,0,0,c36af68acfca37c233427b7b0183340d8bf367e5c996f2f79dcfe40d9601273c
h01_0_900,splg,450,0,0,0,0,0,0,c36af68acfca37c233427b7b0183340d8bf367e5c996f2f79dcfe40d9601273c
h01_0_900,xfeat_seed,450,0,0,0,0,0,0,c36af68acfca37c233427b7b0183340d8bf367e5c996f2f79dcfe40d9601273c
fjord5_s60_d30,klt,300,0,0,0,0,0,0,f307aec0d22887cfdc0dd05f477c4785c5e5ede3169b595f905fd64222431957
fjord5_s60_d30,splg,300,76,30,0,0,0,0,f307aec0d22887cfdc0dd05f477c4785c5e5ede3169b595f905fd64222431957
fjord5_s60_d30,xfeat_seed,300,115,64,0,0,0,0,234c04d886e5ff88e01e45690bc5754a8fa8f2bc63ca64c5713883246e6af955
fjord6_s45_d45,klt,450,0,0,0,0,0,0,696df2e5521633af96906179b4d59b8bf70d68cc5153faa96094be3574e0ed6c
fjord6_s45_d45,splg,450,107,29,50,50,0,5,e22f0e2a4130bd72a1eb1ff050501e147bf5fe35779b196ad99de515d286c736
fjord6_s45_d45,xfeat_seed,450,152,25,9,0,9,3,f00e7b8efae4367582b584c355c6953ef185f89fa10785a73347b9b217c9ebe0
