window,contrast,common_support,pairwise_backend_input_distinct,pairwise_budget_contract_pass,included_for_attribution,exclusion_reason,equality_relation,xfeat_points_max,comparator_points_max,xfeat_ape_m,comparator_ape_m,delta_ape_m,delta_ape_pct,xfeat_rpe_m,comparator_rpe_m,delta_rpe_m,delta_rpe_pct
a03_5000_5900,XFeat-seed − KLT,1,0,1,0,IDENTICAL_FEATURE_TOPIC_INPUT,KLT=SP+LG=XFeat-seed,350,350,254.09975322567593,254.09975322567593,0.0,0.0,36.010374328188966,36.010374328188966,0.0,0.0
a01_16200_17100,XFeat-seed − KLT,1,0,1,0,IDENTICAL_FEATURE_TOPIC_INPUT,KLT=XFeat-seed;SP+LG_distinct,350,350,1.1337433911705925,1.2353804272841105,-0.10163703611351793,-8.227185235317284,0.09258326231327339,0.10061606892069606,-0.008032806607422671,-7.9836219935744035
a07_900_1800,XFeat-seed − KLT,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,361,350,0.8891638128866086,1.2884169765754603,-0.39925316368885166,-30.987884430865233,0.0958697497558697,0.1309167356382439,-0.035046985882374204,-26.77043978488579
a07_1800_2700,XFeat-seed − KLT,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,354,350,0.6169292766175148,0.6162014232972463,0.00072785332026859,0.11811938316758554,0.12451834306923631,0.12434410749823498,0.00017423557100133824,0.14012370550314293
h07_0_1000,XFeat-seed − KLT,1,1,1,1,NONE,all_distinct,350,350,1.3727805435267817,1.3066448104316206,0.06613573309516108,5.061492807162693,0.2406546552399818,0.204361727557023,0.0362929276829588,17.759160737585756
h01_0_900,XFeat-seed − KLT,1,0,1,0,IDENTICAL_FEATURE_TOPIC_INPUT,KLT=SP+LG=XFeat-seed,350,350,0.07162963532204353,0.07158578689952898,4.3848422514550234e-05,0.061252972711037905,0.011447356945484228,0.011593105827312431,-0.00014574888182820357,-1.2572030653324224
fjord5_s60_d30,XFeat-seed − KLT,1,1,1,1,NONE,KLT=SP+LG;XFeat-seed_distinct,350,350,0.13172000265484313,0.1309757477253244,0.0007442549295187395,0.5682387330817555,0.04101573763469415,0.040597922060467806,0.000417815574226342,1.0291550725281815
fjord6_s45_d45,XFeat-seed − KLT,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,353,350,0.1352671654435328,0.13542552022632184,-0.00015835478278905524,-0.11693127153908231,0.039617620853351555,0.03970153448672373,-8.391363337217211e-05,-0.21136118403744067
a03_5000_5900,XFeat-seed − SP+LG,1,0,1,0,IDENTICAL_FEATURE_TOPIC_INPUT,KLT=SP+LG=XFeat-seed,350,350,254.09975322567593,254.09975322567593,0.0,0.0,36.010374328188966,36.010374328188966,0.0,0.0
a01_16200_17100,XFeat-seed − SP+LG,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,KLT=XFeat-seed;SP+LG_distinct,350,359,1.1337433911705925,1.0703161381809372,0.06342725298965535,5.926029770741713,0.09258326231327339,0.0876733990345846,0.004909863278688795,5.60017443461043
a07_900_1800,XFeat-seed − SP+LG,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,361,361,0.8891638128866086,112.54979004057996,-111.66062622769336,-99.20998181110242,0.0958697497558697,13.460733016850114,-13.364863267094243,-99.28778210194154
a07_1800_2700,XFeat-seed − SP+LG,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,354,359,0.6169292766175148,0.6054684931545102,0.011460783463004609,1.8928785878342835,0.12451834306923631,0.12386696142300532,0.0006513816462309918,0.5258719829305616
h07_0_1000,XFeat-seed − SP+LG,1,1,1,1,NONE,all_distinct,350,350,1.3727805435267817,1.2801083942881204,0.0926721492386613,7.239398605006188,0.2406546552399818,0.21444784698041894,0.02620680825956287,12.22059751523446
h01_0_900,XFeat-seed − SP+LG,1,0,1,0,IDENTICAL_FEATURE_TOPIC_INPUT,KLT=SP+LG=XFeat-seed,350,350,0.07162963532204353,0.07174508800104876,-0.00011545267900522904,-0.16092067376590488,0.011447356945484228,0.011400073283943627,4.728366154060047e-05,0.4147662945921312
fjord5_s60_d30,XFeat-seed − SP+LG,1,1,1,1,NONE,KLT=SP+LG;XFeat-seed_distinct,350,350,0.13172000265484313,0.13097681717788287,0.0007431854769602564,0.567417572799099,0.04101573763469415,0.040598161811964115,0.0004175758227300333,1.0285584472126899
fjord6_s45_d45,XFeat-seed − SP+LG,1,1,0,0,FEATURE_BUDGET_CONTRACT_FAIL,all_distinct,353,350,0.1352671654435328,0.1355026028493475,-0.00023543740581472017,-0.17375120541151573,0.039617620853351555,0.03973472924699655,-0.00011710839364499626,-0.2947255357323171
