window,arm,arm_display,repeat,proxy_end_to_end_displacement_m,aligned_estimate_end_to_end_displacement_m,scale_fit_applied
a01_16200_17100,klt,KLT,1,5.265301304569532,1.681414934958596,0
a01_16200_17100,klt,KLT,2,5.265301304569532,1.1581452472919873,0
a01_16200_17100,klt,KLT,3,5.265301304569532,0.6202368788668216,0
a01_16200_17100,splg,SP+LG,1,5.265301304569532,1.7015045770216501,0
a01_16200_17100,splg,SP+LG,2,5.265301304569532,1.183854566623558,0
a01_16200_17100,splg,SP+LG,3,5.265301304569532,1.7591505446212847,0
a01_16200_17100,xfeat_seed,XFeat-seed,1,5.265301304569532,1.492402018007936,0
a01_16200_17100,xfeat_seed,XFeat-seed,2,5.265301304569532,1.4938659598449477,0
a01_16200_17100,xfeat_seed,XFeat-seed,3,5.265301304569532,1.4922586261934097,0
a03_5000_5900,klt,KLT,1,4.800183947623792,851.7173808322264,0
a03_5000_5900,klt,KLT,2,4.800183947623792,2.02599599033771,0
a03_5000_5900,klt,KLT,3,4.800183947623792,851.7587794066308,0
a03_5000_5900,splg,SP+LG,1,4.800183947623792,851.7173808322264,0
a03_5000_5900,splg,SP+LG,2,4.800183947623792,852.1969844892175,0
a03_5000_5900,splg,SP+LG,3,4.800183947623792,851.7173808322264,0
a03_5000_5900,xfeat_seed,XFeat-seed,1,4.800183947623792,852.0122985441359,0
a03_5000_5900,xfeat_seed,XFeat-seed,2,4.800183947623792,2.636406027033869,0
a03_5000_5900,xfeat_seed,XFeat-seed,3,4.800183947623792,851.7173808322264,0
a07_1800_2700,klt,KLT,1,7.017910243261567,4.919801347841687,0
a07_1800_2700,klt,KLT,2,7.017910243261567,4.910301483492447,0
a07_1800_2700,klt,KLT,3,7.017910243261567,4.908171466243672,0
a07_1800_2700,splg,SP+LG,1,7.017910243261567,4.93686794979764,0
a07_1800_2700,splg,SP+LG,2,7.017910243261567,4.940476852275671,0
a07_1800_2700,splg,SP+LG,3,7.017910243261567,5.172488387764903,0
a07_1800_2700,xfeat_seed,XFeat-seed,1,7.017910243261567,4.900441117572965,0
a07_1800_2700,xfeat_seed,XFeat-seed,2,7.017910243261567,5.128234947401499,0
a07_1800_2700,xfeat_seed,XFeat-seed,3,7.017910243261567,4.898900967184365,0
a07_900_1800,klt,KLT,1,6.43373911917421,1.9961230768122586,0
a07_900_1800,klt,KLT,2,6.43373911917421,6076.648777658259,0
a07_900_1800,klt,KLT,3,6.43373911917421,1.9964313681234613,0
a07_900_1800,splg,SP+LG,1,6.43373911917421,7876.362952067752,0
a07_900_1800,splg,SP+LG,2,6.43373911917421,375.484819935446,0
a07_900_1800,splg,SP+LG,3,6.43373911917421,360.5920727024135,0
a07_900_1800,xfeat_seed,XFeat-seed,1,6.43373911917421,3.3569638043464387,0
a07_900_1800,xfeat_seed,XFeat-seed,2,6.43373911917421,3.3596899989741877,0
a07_900_1800,xfeat_seed,XFeat-seed,3,6.43373911917421,3.3570714389592395,0
fjord5_s60_d30,klt,KLT,1,9.63213163885762,9.184875473130395,0
fjord5_s60_d30,klt,KLT,2,9.63213163885762,9.184870671671234,0
fjord5_s60_d30,klt,KLT,3,9.63213163885762,9.184821772443511,0
fjord5_s60_d30,splg,SP+LG,1,9.63213163885762,9.184870654724504,0
fjord5_s60_d30,splg,SP+LG,2,9.63213163885762,9.184879448972845,0
fjord5_s60_d30,splg,SP+LG,3,9.63213163885762,9.184886002940967,0
fjord5_s60_d30,xfeat_seed,XFeat-seed,1,9.63213163885762,9.174116882485356,0
fjord5_s60_d30,xfeat_seed,XFeat-seed,2,9.63213163885762,9.174116884761412,0
fjord5_s60_d30,xfeat_seed,XFeat-seed,3,9.63213163885762,9.17411689950176,0
fjord6_s45_d45,klt,KLT,1,1.94536090083775,1.7981805556948627,0
fjord6_s45_d45,klt,KLT,2,1.94536090083775,1.7976126124227805,0
