sequence,initial_highest_candidate,initial_interval,current_history_status,decision,selected_candidate,evidence
bus_outside,afrl:bus_outside:0004,s180_d45,CLEAR,KEEP,afrl:bus_outside:0004,exact_id_and_slug_absent_outside_frozen_selection_audits
cemetery,afrl:cemetery:0003,s135_d45,CLEAR,KEEP,afrl:cemetery:0003,exact_id_and_slug_absent_outside_frozen_selection_audits
A01,aqualoc_archaeology:A01:0002,1800_2700,CLEAR,KEEP,aqualoc_archaeology:A01:0002,exact_id_and_slug_absent_outside_frozen_selection_audits
A02,aqualoc_archaeology:A02:0007,6300_7200,LATE_HISTORY_OVERLAP,EXCLUDE_AND_TAKE_NEXT,aqualoc_archaeology:A02:0000,papers/a02_4500_7200_hfnet_result_informed_extension_freeze_v1.json
A03,aqualoc_archaeology:A03:0000,0_900,CLEAR,KEEP,aqualoc_archaeology:A03:0000,exact_id_and_slug_absent_outside_frozen_selection_audits
A04,aqualoc_archaeology:A04:0006,5400_6300,CLEAR,KEEP,aqualoc_archaeology:A04:0006,exact_id_and_slug_absent_outside_frozen_selection_audits
A07,aqualoc_archaeology:A07:0007,6300_7200,CLEAR,KEEP,aqualoc_archaeology:A07:0007,exact_id_and_slug_absent_outside_frozen_selection_audits
A08,aqualoc_archaeology:A08:0003,2700_3600,CLEAR,KEEP,aqualoc_archaeology:A08:0003,exact_id_and_slug_absent_outside_frozen_selection_audits
A10,aqualoc_archaeology:A10:0012,10800_11700,CLEAR,KEEP,aqualoc_archaeology:A10:0012,exact_id_and_slug_absent_outside_frozen_selection_audits
H02,aqualoc_harbor:H02:0004,3600_4500,CLEAR,KEEP,aqualoc_harbor:H02:0004,exact_id_and_slug_absent_outside_frozen_selection_audits
H03,aqualoc_harbor:H03:0004,3600_4500,CLEAR,KEEP,aqualoc_harbor:H03:0004,exact_id_and_slug_absent_outside_frozen_selection_audits
H06,aqualoc_harbor:H06:0001,900_1800,CLEAR,KEEP,aqualoc_harbor:H06:0001,exact_id_and_slug_absent_outside_frozen_selection_audits
