order,window_id,run_slug,family,sequence,stratum,arm,method,cell_status,expected_feature_messages,feature_messages,frontend_coverage,max_features,frontend_integrity_pass,image_messages,imu_messages,proxy_messages,exported_xfeat_observations,exported_splg_observations,persistence_replaced_gftt_observations,dropped_classical_for_cap_observations,kept_sidecar_observations,churn_guard_decision,churn_guard_decision_frame,feature_bag_path,feature_bag_sha256,frontend_metrics_path,frontend_metrics_sha256,prepared_input_path,prepared_input_sha256,all_three_bags_byte_identical,pairwise_byte_identity,failure_class,notes,reference_pose_count,reference_span_s,repeat1_init,repeat1_pose_count,repeat1_span_s,repeat1_coverage,repeat1_pass,repeat2_init,repeat2_pose_count,repeat2_span_s,repeat2_coverage,repeat2_pass,repeat3_init,repeat3_pose_count,repeat3_span_s,repeat3_coverage,repeat3_pass,backend_repeats_pass,arm_window_pass,backend_failure_class,accuracy_exclusion
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_bus_s180_d045_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_bus_s180_d045_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_bus_s180_d045_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_bus_s180_d045_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
1,afrl:bus_outside:0004,afrl_bus_s180_d045,afrl,bus_outside,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_bus_s180_d045_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_bus_s180_d045_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_bus_s180_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_cemetery_s135_d045_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbccv3_afrl_cemetery_s135_d045_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_cemetery_s135_d045_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbccv3_afrl_cemetery_s135_d045_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
2,afrl:cemetery:0003,afrl_cemetery_s135_d045,afrl,cemetery,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_cemetery_s135_d045_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbccv3_afrl_cemetery_s135_d045_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/afrl_cemetery_s135_d045/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a01_1800_2700_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a01_1800_2700_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a01_1800_2700_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a01_1800_2700_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
3,aqualoc_archaeology:A01:0002,a01_1800_2700,aqualoc_archaeology,A01,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a01_1800_2700_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a01_1800_2700_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a01_1800_2700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
4,aqualoc_archaeology:A02:0000,a02_0_900,aqualoc_archaeology,A02,challenge_gt_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a02_0_900_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a02_0_900_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a02_0_900/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
