timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,xfeat_noharm_v4_r1_valid,xfeat_noharm_v4_r2_valid,xfeat_noharm_v4_r3_valid,common_valid,segment_id
1542883311.7800224,1,0,0,0,0,0,0,0,-1
1542883312.7800224,1,0,0,0,0,0,0,0,-1
1542883313.7800224,1,0,0,0,0,0,0,0,-1
1542883314.7800224,1,0,0,0,0,0,0,0,-1
1542883315.7800224,1,0,0,0,0,0,0,0,-1
1542883316.7800224,1,1,1,1,1,1,1,1,0
1542883317.7800224,1,1,1,1,1,1,1,1,0
1542883318.7800224,1,1,1,1,1,1,1,1,0
1542883319.7800224,1,1,1,1,1,1,1,1,0
1542883320.7800224,1,1,1,1,1,1,1,1,0
1542883321.7800224,1,1,1,1,1,1,1,1,0
1542883322.7800224,1,1,1,1,1,1,1,1,0
1542883323.7800224,1,1,1,1,1,1,1,1,0
1542883324.7800224,1,1,1,1,1,1,1,1,0
1542883325.7800224,1,1,1,1,1,1,1,1,0
1542883326.7800224,1,1,1,1,1,1,1,1,0
1542883327.7800224,1,1,1,1,1,1,1,1,0
1542883328.7800224,1,1,1,1,1,1,1,1,0
1542883329.7800224,1,1,1,1,1,1,1,1,0
1542883330.7800224,1,1,1,1,1,1,1,1,0
1542883331.7800224,1,1,1,1,1,1,1,1,0
1542883332.7800224,1,1,1,1,1,1,1,1,0
1542883333.7800224,1,1,1,1,1,1,1,1,0
1542883334.7800224,1,1,1,1,1,1,1,1,0
1542883335.7800224,1,1,1,1,1,1,1,1,0
1542883336.7800224,1,1,1,1,1,1,1,1,0
1542883337.7800224,1,1,1,1,1,1,1,1,0
1542883338.7800224,1,1,1,1,1,1,1,1,0
1542883339.7800224,1,1,1,1,1,1,1,1,0
1542883340.7800224,1,1,1,1,1,1,1,1,0
1542883341.7800224,1,1,1,1,1,1,1,1,0
1542883342.7800224,1,1,1,1,1,1,1,1,0
1542883343.7800224,1,1,1,1,1,1,1,1,0
1542883344.7800224,1,1,1,1,1,1,1,1,0
1542883345.7800224,1,1,1,1,1,1,1,1,0
1542883346.7800224,1,1,1,1,1,1,1,1,0
1542883347.7800224,1,1,1,1,1,1,1,1,0
1542883348.7800224,1,1,1,1,1,1,1,1,0
1542883349.7800224,1,1,1,1,1,1,1,1,0
1542883350.7800224,1,1,1,1,1,1,1,1,0
1542883351.7800224,1,1,1,1,1,1,1,1,0
1542883352.7800224,1,1,1,1,1,1,1,1,0
1542883353.7800224,1,1,1,1,1,1,1,1,0
1542883354.7800224,1,1,1,1,1,1,1,1,0
1542883355.7800224,1,1,1,1,1,1,1,1,0
