run_slug,arm,repeat,status,wall_s,peak_node_rss_bytes,feature_bag_sha256,binary_sha256,run_dir,receipt_emitted_at,exact_wall_clock_start,initialization_count,failure_detection_count,initialization_visual_imu_misalignment_count,initialization_sfm_solver_timing,reset_count_proxy,lost_tracking_count,initialization_log_first,initialization_finish_first_ros_clock_s,solver_calls,solver_near_time_limit_count,solver_at_or_above_time_limit_count,solver_total_s,solver_mean_s,solver_near_limit_fraction,solver_at_or_above_limit_fraction,solver_budget_histogram_json,solver_iteration_histogram_json,solver_termination_integer_histogram_json,exact_solver_stop_reason,solver_diagnostic_scope,max_solver_s,max_actual_eligible,received_complete,reference_start_sensor_s,poses,trajectory_coverage,trajectory_length_m,first_pose_sensor_s,first_pose_delay_from_reference_start_s,runability,received_original_ids,received_original_ids_unique_ids,eligible_original_ids,eligible_original_ids_unique_ids,residual_original_ids,residual_original_ids_unique_ids,sequence,batch,mapped_to,S_history_public_observations,S_history_received_observations,S_history_missing_received,S_history_eligible_id_times,S_history_residual_blocks_by_id_time,S_history_residual_unique_ids,attribution_scope
h02_0_900,B,1,COMPLETE,64.92079151398502,106086400,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat1,2026-09-11T12:35:27.914797+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789130076.902891340, 1523958590.289435458]: Initialization finish!",1523958590.289435458,419,214,175,13.074086054999999,0.031203069343675414,0.5107398568019093,0.41766109785202865,"{""0.032000000"": 314, ""0.040000000"": 105}","{""3"": 129, ""4"": 150, ""5"": 63, ""6"": 42, ""7"": 16, ""8"": 8, ""9"": 11}","{""0"": 291, ""1"": 128}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046488392,546,True,1523958586.9025872,419,0.9296472739775402,5.711412560780005,1523958590.0520192,3.149432024685666,PASS,157500,7705,157209,4325,1275270,4325,H02,DIRECT_NEW,B,,,,,,,
h02_0_900,B,2,COMPLETE,64.92224300198723,104816640,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat2,2026-09-11T12:36:33.234560+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789130142.130616485, 1523958590.259692179]: Initialization finish!",1523958590.259692179,419,357,344,14.770710575000015,0.03525229254176614,0.8520286396181385,0.8210023866348448,"{""0.032000000"": 315, ""0.040000000"": 104}","{""3"": 12, ""4"": 62, ""5"": 168, ""6"": 89, ""7"": 53, ""8"": 13, ""9"": 22}","{""0"": 77, ""1"": 342}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046875484,574,True,1523958586.9025872,419,0.9296472739775402,6.825808235681692,1523958590.0520192,3.149432024685666,PASS,157500,7705,155218,4327,1252909,4327,H02,DIRECT_NEW,B,,,,,,,
h02_0_900,B,3,COMPLETE,64.97150547301862,104001536,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat3,2026-09-11T12:37:38.581193+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789130207.390514679, 1523958590.269685168]: Initialization finish!",1523958590.269685168,419,309,268,14.229848326000008,0.03396145185202866,0.7374701670644391,0.639618138424821,"{""0.032000000"": 314, ""0.040000000"": 105}","{""3"": 1, ""4"": 163, ""5"": 185, ""6"": 39, ""7"": 17, ""8"": 7, ""9"": 7}","{""0"": 200, ""1"": 219}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046992317,573,True,1523958586.9025872,419,0.9296472739775402,6.174888837792087,1523958590.0520192,3.149432024685666,PASS,157500,7705,159328,4325,1295343,4325,H02,DIRECT_NEW,B,,,,,,,
h02_0_900,D,1,COMPLETE,65.12624652695376,102977536,b11abb6a60c703fb076ad22e38275aea2e09689efdf90f520e2180c8dea8e270,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat1,2026-09-11T12:38:44.189236+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1789130270.800882079, 1523958588.126650700]: Initialization finish!",1523958588.126650700,440,275,234,14.442623869000002,0.03282414515681819,0.625,0.5318181818181819,"{""0.032000000"": 331, ""0.040000000"": 109}","{""3"": 113, ""4"": 127, ""5"": 130, ""6"": 38, ""7"": 17, ""8"": 8, ""9"": 7}","{""0"": 253, ""1"": 187}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047781354,404,True,1523958586.9025872,440,0.9765856737070341,4.9125062250450915,1523958587.950760192,1.048173016635701,PASS,157500,3583,157656,2611,1402373,2611,H02,DIRECT_NEW,D,70663,70663,0,67730,651875,1237,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,D,2,COMPLETE,65.27350668702275,104157184,b11abb6a60c703fb076ad22e38275aea2e09689efdf90f520e2180c8dea8e270,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat2,2026-09-11T12:39:49.821419+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1789130336.206523982, 1523958588.147140400]: Initialization finish!",1523958588.147140400,440,272,240,14.386268313000011,0.032696064347727295,0.6181818181818182,0.5454545454545454,"{""0.032000000"": 331, ""0.040000000"": 109}","{""3"": 112, ""4"": 118, ""5"": 129, ""6"": 46, ""7"": 13, ""8"": 13, ""9"": 9}","{""0"": 253, ""1"": 187}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046540146,404,True,1523958586.9025872,440,0.9765856737070341,4.8786474375735365,1523958587.950760192,1.048173016635701,PASS,157500,3583,157773,2611,1404092,2611,H02,DIRECT_NEW,D,70663,70663,0,67806,652703,1237,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,D,3,COMPLETE,65.06733362498926,105209856,b11abb6a60c703fb076ad22e38275aea2e09689efdf90f520e2180c8dea8e270,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat3,2026-09-11T12:40:55.245142+00:00,Unknown,1,0,0,Unknown,0,Unknown,"[ INFO] [1789130401.829184735, 1523958588.137346810]: Initialization finish!",1523958588.137346810,440,282,237,14.502255733000009,0.032959672120454565,0.6409090909090909,0.5386363636363637,"{""0.032000000"": 332, ""0.040000000"": 108}","{""3"": 100, ""4"": 121, ""5"": 138, ""6"": 59, ""7"": 12, ""8"": 1, ""9"": 9}","{""0"": 249, ""1"": 191}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050058917,404,True,1523958586.9025872,440,0.9765856737070341,4.619076838103647,1523958587.950760192,1.048173016635701,PASS,157500,3583,158259,2610,1413112,2610,H02,DIRECT_NEW,D,70663,70663,0,67957,656420,1234,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,OLD_R,1,COMPLETE,64.87053965002997,105660416,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat1,2026-09-11T10:53:34.518497+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123963.342638343, 1523958590.239278594]: Initialization finish!",1523958590.239278594,419,253,219,13.635133201000002,0.03254208401193318,0.60381861575179,0.522673031026253,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 1, ""3"": 131, ""4"": 107, ""5"": 128, ""6"": 45, ""7"": 6, ""8"": 1}","{""0"": 257, ""1"": 162}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050696555,408,True,1523958586.9025872,419,0.9296472739775402,7.064055958905048,1523958590.0520192,3.149432024685666,PASS,157500,3474,152181,2508,1361445,2508,H02,SYSTEM_PROBE_1138fab,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,OLD_R,2,COMPLETE,64.94742954400135,105988096,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat2,2026-09-11T10:54:39.833649+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789124028.799436446, 1523958590.409205928]: Initialization finish!",1523958590.409205928,419,384,381,16.09010030699999,0.038401194050119304,0.9164677804295943,0.9093078758949881,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 2, ""3"": 131, ""4"": 230, ""5"": 52, ""6"": 3, ""7"": 1}","{""0"": 158, ""1"": 261}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050972957,408,True,1523958586.9025872,419,0.9296472739775402,7.057694540847725,1523958590.0520192,3.149432024685666,PASS,157500,3474,152174,2508,1361369,2508,H02,SYSTEM_PROBE_1138fab,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,OLD_R,3,COMPLETE,65.15427160699619,104673280,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat3,2026-09-11T10:55:45.381151+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789124094.120866875, 1523958590.390002968]: Initialization finish!",1523958590.390002968,419,390,387,16.23677066600001,0.03875124263961816,0.9307875894988067,0.9236276849642004,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 2, ""3"": 130, ""4"": 228, ""5"": 57, ""7"": 2}","{""0"": 158, ""1"": 261}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050739518,408,True,1523958586.9025872,419,0.9296472739775402,7.05838438809481,1523958590.0520192,3.149432024685666,PASS,157500,3474,152174,2508,1361369,2508,H02,SYSTEM_PROBE_1138fab,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,OLD_C,1,COMPLETE,65.0720909590018,90787840,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat1,2026-09-11T10:50:18.709785+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123768.255654363, 1523958591.105070317]: Initialization finish!",1523958591.105070317,414,5,5,3.114106633999994,0.007521996700483077,0.012077294685990338,0.012077294685990338,"{""0.032000000"": 316, ""0.040000000"": 98}","{""4"": 2, ""5"": 12, ""6"": 16, ""7"": 2, ""8"": 6, ""9"": 376}","{""0"": 35, ""1"": 379}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.042425099,365,True,1523958586.9025872,414,0.9184792529616629,3872.62431073978,1523958590.551970304,3.649383128620684,PASS,157500,4307,36142,2871,133030,2871,H02,SYSTEM_PROBE_1138fab,C,,,,,,,
