sequence,comparison,role,arm,repeat,batch,metric_status,replay_status,runability,received_complete,poses,trajectory_coverage,trajectory_length_m,initialization_count,failure_detection_count,reset_count_proxy,run_dir,fixed_se3_ape_median_m,fixed_se3_ape_rmse_m,fixed_se3_rpe_median_m,fixed_se3_rpe_rmse_m,matched_count,rpe_pairs,sim3_ape_median_m,sim3_ape_rmse_m,sim3_rpe_median_m,sim3_rpe_rmse_m,sim3_scale
H02,D_vs_B,PRIMARY,D,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.9125062250450915,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat1,0.28827785524726307,0.343237186350446,0.050880622525174446,0.0656713489555722,41,40,0.13759733017971953,0.18106148468760994,0.04193521942849444,0.058148496765873414,1.2571618596896414
H02,D_vs_B,PRIMARY,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.8786474375735365,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat2,0.2948509079277525,0.3503258083348596,0.051705927243455393,0.06635868537314968,41,40,0.13827749875347903,0.1830986243576173,0.04295623484408349,0.058588672485452215,1.2651134350286202
H02,D_vs_B,PRIMARY,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.619076838103647,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat3,0.351779128608502,0.41284196105415727,0.058520956117527896,0.07238358096244549,41,40,0.15337130185694864,0.200065296839751,0.04952905405528216,0.06230164334470614,1.340098330813654
H02,D_vs_B,PRIMARY,B,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,419,0.9296472739775402,5.711412560780005,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat1,0.11755401601323481,0.16693745744085564,0.017122346135366902,0.04994161467728601,41,40,0.09014026418391378,0.12820028322670568,0.017142290204849434,0.048267528366345167,1.0807403896917904
H02,D_vs_B,PRIMARY,B,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,419,0.9296472739775402,6.825808235681692,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat2,0.026406110106907667,0.05167482944302707,0.00492964373741551,0.025747904852374888,41,40,0.021385525946736678,0.05030620888598043,0.005138811384575166,0.02559787229368777,0.9918404324144124
H02,D_vs_B,PRIMARY,B,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,419,0.9296472739775402,6.174888837792087,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/B/repeat3,0.06136383097178945,0.10270248922542502,0.012590616472177105,0.03462396587502674,41,40,0.05600805029646862,0.0862220044290634,0.011929589279827735,0.03352994728991358,1.040476448095361
H02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.9125062250450915,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat1,0.28827785524726307,0.343237186350446,0.050880622525174446,0.0656713489555722,41,40,0.13759733017971953,0.18106148468760994,0.04193521942849444,0.058148496765873414,1.2571618596896414
H02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.8786474375735365,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat2,0.2948509079277525,0.3503258083348596,0.051705927243455393,0.06635868537314968,41,40,0.13827749875347903,0.1830986243576173,0.04295623484408349,0.058588672485452215,1.2651134350286202
H02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.619076838103647,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat3,0.351779128608502,0.41284196105415727,0.058520956117527896,0.07238358096244549,41,40,0.15337130185694864,0.200065296839751,0.04952905405528216,0.06230164334470614,1.340098330813654
H02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,OLD_R,1,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.064055958905048,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat1,0.01864950906053524,0.02666584584735137,0.0040527880983333995,0.007473698405586207,41,40,0.00866180338854839,0.010945777499876049,0.0038852534391588837,0.0065870063733448085,0.9833593271666609
