split,sequence,case,method,B_failures,visible_B_failures,invisible_B_failures,accepted,correct,wrong,invisible_accepted,visible_localization_error,correct_visible_rate,precision,invisible_error_rate,S0_correct,S0_correct_retention,correct_rate_delta_C0,correct_rate_delta_C1,original_S_only_correct,original_S_only_correct_retained,invisible_OUT_OF_FOV,accepted_OUT_OF_FOV,invisible_IMAGE_BORDER_GUARD,accepted_IMAGE_BORDER_GUARD,invisible_ARTIFICIAL_OCCLUSION,accepted_ARTIFICIAL_OCCLUSION,invisible_OCCLUSION_PATCH_GUARD,accepted_OCCLUSION_PATCH_GUARD,invisible_Unknown,accepted_Unknown,new_reject_UNRESOLVED_PATCH_OUTSIDE,new_reject_UNRESOLVED_NONFINITE_COORDINATE,new_reject_UNRESOLVED_NONFINITE_PATCH,new_reject_UNRESOLVED_LOW_VARIANCE,new_reject_NCC_BELOW_THRESHOLD
calibration,ALL,ALL,S0,4110,3211,899,3314,3204,110,110,0,0.9978199937714107,0.9668074834037417,0.12235817575083426,3204,1.0,0.5499844285269386,0.5546558704453441,1755,1755,337,0,110,0,430,92,22,18,0,0,,,,,
calibration,ALL,ALL,S1,4110,3211,899,3182,3174,8,8,0,0.9884771099345998,0.9974858579509742,0.008898776418242492,3204,0.9906367041198502,0.5406415446901277,0.5453129866085331,1755,1726,337,0,110,0,430,0,22,8,0,0,26,0,0,0,106
calibration,ALL,ALL,C0,4110,3211,899,1478,1438,40,28,12,0.4478355652444721,0.972936400541272,0.03114571746384872,3204,,0.0,0.004671441918405481,1755,,337,0,110,3,430,19,22,6,0,0,,,,,
calibration,ALL,ALL,C1,4110,3211,899,1433,1423,10,5,5,0.44316412332606664,0.9930216329378926,0.0055617352614015575,3204,,-0.004671441918405481,0.0,1755,,337,0,110,3,430,0,22,2,0,0,0,0,0,0,45
calibration,ALL,ALL,SU,4110,3211,899,3062,3044,18,18,0,0.9479912799750856,0.9941214892227302,0.020022246941045607,3204,0.9500624219725343,0.5001557147306135,0.504827156649019,1755,1633,337,0,110,0,430,14,22,4,0,0,,,,,
calibration,ALL,small,S0,73,38,35,38,38,0,0,0,1.0,1.0,0.0,38,1.0,0.868421052631579,0.868421052631579,33,33,4,0,31,0,0,0,0,0,0,0,,,,,
calibration,ALL,small,S1,73,38,35,37,37,0,0,0,0.9736842105263158,1.0,0.0,38,0.9736842105263158,0.8421052631578947,0.8421052631578947,33,32,4,0,31,0,0,0,0,0,0,0,1,0,0,0,0
calibration,ALL,small,C0,73,38,35,5,5,0,0,0,0.13157894736842105,1.0,0.0,38,,0.0,0.0,33,,4,0,31,0,0,0,0,0,0,0,,,,,
calibration,ALL,small,C1,73,38,35,5,5,0,0,0,0.13157894736842105,1.0,0.0,38,,0.0,0.0,33,,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0
calibration,ALL,small,SU,73,38,35,38,38,0,0,0,1.0,1.0,0.0,38,1.0,0.868421052631579,0.868421052631579,33,33,4,0,31,0,0,0,0,0,0,0,,,,,
calibration,ALL,large,S0,1782,1563,219,1562,1562,0,0,0,0.999360204734485,1.0,0.0,1562,1.0,0.6980166346769033,0.6980166346769033,1087,1087,190,0,29,0,0,0,0,0,0,0,,,,,
calibration,ALL,large,S1,1782,1563,219,1554,1554,0,0,0,0.9942418426103646,1.0,0.0,1562,0.9948783610755442,0.6928982725527831,0.6928982725527831,1087,1079,190,0,29,0,0,0,0,0,0,0,8,0,0,0,0
calibration,ALL,large,C0,1782,1563,219,475,471,4,0,4,0.30134357005758156,0.991578947368421,0.0,1562,,0.0,0.0,1087,,190,0,29,0,0,0,0,0,0,0,,,,,
calibration,ALL,large,C1,1782,1563,219,473,471,2,0,2,0.30134357005758156,0.9957716701902748,0.0,1562,,0.0,0.0,1087,,190,0,29,0,0,0,0,0,0,0,0,0,0,0,2
calibration,ALL,large,SU,1782,1563,219,1494,1494,0,0,0,0.9558541266794626,1.0,0.0,1562,0.9564660691421255,0.654510556621881,0.654510556621881,1087,1031,190,0,29,0,0,0,0,0,0,0,,,,,
calibration,ALL,illumination_blur,S0,543,476,67,476,476,0,0,0,1.0,1.0,0.0,476,1.0,0.6218487394957983,0.6533613445378151,289,289,39,0,28,0,0,0,0,0,0,0,,,,,
calibration,ALL,illumination_blur,S1,543,476,67,463,463,0,0,0,0.9726890756302521,1.0,0.0,476,0.9726890756302521,0.5945378151260504,0.6260504201680672,289,277,39,0,28,0,0,0,0,0,0,0,9,0,0,0,4
calibration,ALL,illumination_blur,C0,543,476,67,189,180,9,2,7,0.37815126050420167,0.9523809523809523,0.029850746268656716,476,,0.0,0.031512605042016806,289,,39,0,28,2,0,0,0,0,0,0,,,,,
calibration,ALL,illumination_blur,C1,543,476,67,170,165,5,2,3,0.34663865546218486,0.9705882352941176,0.029850746268656716,476,,-0.031512605042016806,0.0,289,,39,0,28,2,0,0,0,0,0,0,0,0,0,0,19
calibration,ALL,illumination_blur,SU,543,476,67,476,476,0,0,0,1.0,1.0,0.0,476,1.0,0.6218487394957983,0.6533613445378151,289,289,39,0,28,0,0,0,0,0,0,0,,,,,
calibration,ALL,outside_occluded,S0,1712,1134,578,1238,1128,110,110,0,0.9947089947089947,0.9111470113085622,0.1903114186851211,1128,1.0,0.30511463844797176,0.30511463844797176,346,346,104,0,22,0,430,92,22,18,0,0,,,,,
calibration,ALL,outside_occluded,S1,1712,1134,578,1128,1120,8,8,0,0.9876543209876543,0.9929078014184397,0.01384083044982699,1128,0.9929078014184397,0.2980599647266314,0.2980599647266314,346,338,104,0,22,0,430,0,22,8,0,0,8,0,0,0,102
calibration,ALL,outside_occluded,C0,1712,1134,578,809,782,27,26,1,0.689594356261023,0.9666254635352287,0.04498269896193772,1128,,0.0,0.0,346,,104,0,22,1,430,19,22,6,0,0,,,,,
calibration,ALL,outside_occluded,C1,1712,1134,578,785,782,3,3,0,0.689594356261023,0.9961783439490446,0.005190311418685121,1128,,0.0,0.0,346,,104,0,22,1,430,0,22,2,0,0,0,0,0,0,24
calibration,ALL,outside_occluded,SU,1712,1134,578,1054,1036,18,18,0,0.9135802469135802,0.9829222011385199,0.031141868512110725,1128,0.9184397163120568,0.2239858906525573,0.2239858906525573,346,280,104,0,22,0,430,14,22,4,0,0,,,,,
calibration,A02,ALL,S0,1372,1141,231,1230,1140,90,90,0,0.9991235758106923,0.926829268292683,0.38961038961038963,1140,1.0,0.39351446099912357,0.39351446099912357,450,450,42,0,17,0,163,81,9,9,0,0,,,,,
calibration,A02,ALL,S1,1372,1141,231,1138,1134,4,4,0,0.9938650306748467,0.9964850615114236,0.017316017316017316,1140,0.9947368421052631,0.38825591586327785,0.38825591586327785,450,444,42,0,17,0,163,0,9,4,0,0,5,0,0,0,87
calibration,A02,ALL,C0,1372,1141,231,711,691,20,20,0,0.6056091148115688,0.9718706047819972,0.08658008658008658,1140,,0.0,0.0,450,,42,0,17,1,163,14,9,5,0,0,,,,,
calibration,A02,ALL,C1,1372,1141,231,694,691,3,3,0,0.6056091148115688,0.9956772334293948,0.012987012987012988,1140,,0.0,0.0,450,,42,0,17,1,163,0,9,2,0,0,0,0,0,0,17
calibration,A02,ALL,SU,1372,1141,231,1144,1127,17,17,0,0.9877300613496932,0.9851398601398601,0.0735930735930736,1140,0.9885964912280701,0.38212094653812445,0.38212094653812445,450,443,42,0,17,0,163,13,9,4,0,0,,,,,
calibration,A02,small,S0,6,4,2,4,4,0,0,0,1.0,1.0,0.0,4,1.0,1.0,1.0,4,4,0,0,2,0,0,0,0,0,0,0,,,,,
calibration,A02,small,S1,6,4,2,3,3,0,0,0,0.75,1.0,0.0,4,0.75,0.75,0.75,4,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
calibration,A02,small,C0,6,4,2,0,0,0,0,0,0.0,,0.0,4,,0.0,0.0,4,,0,0,2,0,0,0,0,0,0,0,,,,,
calibration,A02,small,C1,6,4,2,0,0,0,0,0,0.0,,0.0,4,,0.0,0.0,4,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
calibration,A02,small,SU,6,4,2,4,4,0,0,0,1.0,1.0,0.0,4,1.0,1.0,1.0,4,4,0,0,2,0,0,0,0,0,0,0,,,,,
