level,group,status,image_pairs,queries,reference_confirmed,reference_pending,C0_accepted,C0_coverage,C0_correct_accepted,C0_wrong_accepted,C0_endpoint_error_median_px,C0_endpoint_error_p95_px,C0_within_2px_fraction,C0_invisible_false_accepts,S0_accepted,S0_coverage,S0_correct_accepted,S0_wrong_accepted,S0_endpoint_error_median_px,S0_endpoint_error_p95_px,S0_within_2px_fraction,S0_invisible_false_accepts,C1_accepted,C1_coverage,C1_correct_accepted,C1_wrong_accepted,C1_endpoint_error_median_px,C1_endpoint_error_p95_px,C1_within_2px_fraction,C1_invisible_false_accepts,S1_accepted,S1_coverage,S1_correct_accepted,S1_wrong_accepted,S1_endpoint_error_median_px,S1_endpoint_error_p95_px,S1_within_2px_fraction,S1_invisible_false_accepts,S1_only_accepted,C1_only_accepted,S1_only_correct,C1_only_correct,similar_endpoint_gate_difference
overall,ALL,REFERENCE_PENDING,12,92,0,92,85,0.9239130434782609,,,,,,,88,0.9565217391304348,,,,,,,85,0.9239130434782609,,,,,,,88,0.9565217391304348,,,,,,,4,1,,,1
sequence,A02,REFERENCE_PENDING,4,30,0,30,30,1.0,,,,,,,30,1.0,,,,,,,30,1.0,,,,,,,30,1.0,,,,,,,0,0,,,0
sequence,A08,REFERENCE_PENDING,4,30,0,30,30,1.0,,,,,,,30,1.0,,,,,,,30,1.0,,,,,,,30,1.0,,,,,,,0,0,,,0
sequence,H02,REFERENCE_PENDING,4,32,0,32,25,0.78125,,,,,,,28,0.875,,,,,,,25,0.78125,,,,,,,28,0.875,,,,,,,4,1,,,1
gap,t+1,REFERENCE_PENDING,6,46,0,46,46,1.0,,,,,,,46,1.0,,,,,,,46,1.0,,,,,,,46,1.0,,,,,,,0,0,,,0
gap,t+10,REFERENCE_PENDING,6,46,0,46,39,0.8478260869565217,,,,,,,42,0.9130434782608695,,,,,,,39,0.8478260869565217,,,,,,,42,0.9130434782608695,,,,,,,4,1,,,1
sequence_gap,A02_t+1,REFERENCE_PENDING,2,15,0,15,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,0,0,,,0
sequence_gap,A02_t+10,REFERENCE_PENDING,2,15,0,15,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,0,0,,,0
sequence_gap,A08_t+1,REFERENCE_PENDING,2,15,0,15,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,0,0,,,0
sequence_gap,A08_t+10,REFERENCE_PENDING,2,15,0,15,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,15,1.0,,,,,,,0,0,,,0
sequence_gap,H02_t+1,REFERENCE_PENDING,2,16,0,16,16,1.0,,,,,,,16,1.0,,,,,,,16,1.0,,,,,,,16,1.0,,,,,,,0,0,,,0
sequence_gap,H02_t+10,REFERENCE_PENDING,2,16,0,16,9,0.5625,,,,,,,12,0.75,,,,,,,9,0.5625,,,,,,,12,0.75,,,,,,,4,1,,,1
pair,A02_s040_d01,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,A02_s040_d10,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,A02_s120_d01,REFERENCE_PENDING,1,7,0,7,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,0,0,,,0
pair,A02_s120_d10,REFERENCE_PENDING,1,7,0,7,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,0,0,,,0
pair,A08_s040_d01,REFERENCE_PENDING,1,7,0,7,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,0,0,,,0
pair,A08_s040_d10,REFERENCE_PENDING,1,7,0,7,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,7,1.0,,,,,,,0,0,,,0
pair,A08_s120_d01,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,A08_s120_d10,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,H02_s040_d01,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,H02_s040_d10,REFERENCE_PENDING,1,8,0,8,4,0.5,,,,,,,7,0.875,,,,,,,4,0.5,,,,,,,7,0.875,,,,,,,3,0,,,1
pair,H02_s120_d01,REFERENCE_PENDING,1,8,0,8,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,8,1.0,,,,,,,0,0,,,0
pair,H02_s120_d10,REFERENCE_PENDING,1,8,0,8,5,0.625,,,,,,,5,0.625,,,,,,,5,0.625,,,,,,,5,0.625,,,,,,,1,1,,,0
