pair_id,query_id,sequence,source_offset,target_offset,source_raw,target_raw,gap_frames,source_stamp_ns,target_stamp_ns,delta_time_s,source_image,target_image,width,height,grid_cell,cell_status,source_x,source_y,source_local_id,old_track_id,point_origin,blind_sheet
A02_s040_d01,A02_s040_q1,A02,40,41,40,41,1,1542828793735744064,1542828793786838688,0.051094624,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_41.png,968,608,1,SELECTED,223.5066680908203,290.13995361328125,325,381,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d10,A02_s040_q1,A02,40,50,40,50,10,1542828793735744064,1542828794237599904,0.50185584,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_50.png,968,608,1,SELECTED,223.5066680908203,290.13995361328125,325,381,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d01,A02_s040_q2,A02,40,41,40,41,1,1542828793735744064,1542828793786838688,0.051094624,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_41.png,968,608,2,SELECTED,432.3924255371094,161.4003143310547,212,229,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d10,A02_s040_q2,A02,40,50,40,50,10,1542828793735744064,1542828794237599904,0.50185584,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_50.png,968,608,2,SELECTED,432.3924255371094,161.4003143310547,212,229,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d01,A02_s040_q3,A02,40,41,40,41,1,1542828793735744064,1542828793786838688,0.051094624,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_41.png,968,608,3,SELECTED,589.1279907226562,149.20542907714844,24,25,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d10,A02_s040_q3,A02,40,50,40,50,10,1542828793735744064,1542828794237599904,0.50185584,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_50.png,968,608,3,SELECTED,589.1279907226562,149.20542907714844,24,25,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d01,A02_s040_q4,A02,40,41,40,41,1,1542828793735744064,1542828793786838688,0.051094624,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_41.png,968,608,4,SELECTED,860.539794921875,158.4137725830078,307,345,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d10,A02_s040_q4,A02,40,50,40,50,10,1542828793735744064,1542828794237599904,0.50185584,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_50.png,968,608,4,SELECTED,860.539794921875,158.4137725830078,307,345,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d01,A02_s040_q5,A02,40,41,40,41,1,1542828793735744064,1542828793786838688,0.051094624,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_41.png,968,608,5,SELECTED,218.66510009765625,374.3399963378906,341,418,TRACKED_FROM_SAVED_B,blind/A02_s040.png
A02_s040_d10,A02_s040_q5,A02,40,50,40,50,10,1542828793735744064,1542828794237599904,0.50185584,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_40.png,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_screening_v1/natural_inputs/A02_50.png,968,608,5,SELECTED,218.66510009765625,374.3399963378906,341,418,TRACKED_FROM_SAVED_B,blind/A02_s040.png
