pair_id,query_id,sequence,source_raw,target_raw,gap_frames,source_x,source_y,blind_sheet,reference_status,target_x,target_y,uncertainty_px,annotator_identity,annotation_kind,human_confirmed,notes
A02_s040_d01,A02_s040_q1,A02,40,41,1,223.5066680908203,290.13995361328125,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q1,A02,40,50,10,223.5066680908203,290.13995361328125,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q2,A02,40,41,1,432.3924255371094,161.4003143310547,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q2,A02,40,50,10,432.3924255371094,161.4003143310547,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q3,A02,40,41,1,589.1279907226562,149.20542907714844,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q3,A02,40,50,10,589.1279907226562,149.20542907714844,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q4,A02,40,41,1,860.539794921875,158.4137725830078,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q4,A02,40,50,10,860.539794921875,158.4137725830078,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q5,A02,40,41,1,218.66510009765625,374.3399963378906,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q5,A02,40,50,10,218.66510009765625,374.3399963378906,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q6,A02,40,41,1,368.5417175292969,467.2356872558594,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q6,A02,40,50,10,368.5417175292969,467.2356872558594,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q7,A02,40,41,1,601.5047607421875,470.1269226074219,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q7,A02,40,50,10,601.5047607421875,470.1269226074219,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d01,A02_s040_q8,A02,40,41,1,854.6212158203125,464.056884765625,blind/A02_s040.png,PENDING,,,,,,False,
A02_s040_d10,A02_s040_q8,A02,40,50,10,854.6212158203125,464.056884765625,blind/A02_s040.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q2,A02,120,121,1,334.49542236328125,176.6469268798828,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q2,A02,120,130,10,334.49542236328125,176.6469268798828,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q3,A02,120,121,1,601.791259765625,142.24929809570312,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q3,A02,120,130,10,601.791259765625,142.24929809570312,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q4,A02,120,121,1,860.728515625,171.12721252441406,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q4,A02,120,130,10,860.728515625,171.12721252441406,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q5,A02,120,121,1,150.21888732910156,426.7960205078125,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q5,A02,120,130,10,150.21888732910156,426.7960205078125,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q6,A02,120,121,1,369.4951171875,470.82489013671875,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q6,A02,120,130,10,369.4951171875,470.82489013671875,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q7,A02,120,121,1,596.1143188476562,443.31805419921875,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q7,A02,120,130,10,596.1143188476562,443.31805419921875,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d01,A02_s120_q8,A02,120,121,1,835.2723388671875,447.668212890625,blind/A02_s120.png,PENDING,,,,,,False,
A02_s120_d10,A02_s120_q8,A02,120,130,10,835.2723388671875,447.668212890625,blind/A02_s120.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q2,A08,2740,2741,1,384.0303039550781,157.22914123535156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q2,A08,2740,2750,10,384.0303039550781,157.22914123535156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q3,A08,2740,2741,1,595.56103515625,154.6140899658203,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q3,A08,2740,2750,10,595.56103515625,154.6140899658203,blind/A08_s040.png,PENDING,,,,,,False,
