sequence,raw_index,stamp_ns,track_id,previous_x,previous_y,B_failure,C_x,C_y,C_fb,C_accepted,S_x,S_y,S_fb,S_accepted,category,C_offline_steps,S_offline_steps,C_termination,S_termination,visual_identity,physical_correctness,S_info_0,S_info_1,S_info_2,S_info_3,C_offline_displacement_px,S_offline_displacement_px
A02,1,1542828791787420320,144,239.0,592.0,fb_fail,238.17543029785156,593.3756713867188,0.050139519468722304,True,241.44422817230225,597.8230400085449,1.3032122094442928,False,C_only,0,0,border_fail,not_accepted,Unknown,Unknown,0.7130601406097412,-0.7183398008346558,0.1920883059501648,-0.10312724113464355,0.0,
A02,1,1542828791787420320,239,405.0,602.0,ncc_fail,404.3805847167969,603.44580078125,0.0519049819369965,False,404.3773074746132,603.416813492775,0.020847441037215798,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.207163333892822,6.197629928588867,3.27487850189209,-0.030000073835253716,,
A02,1,1542828791787420320,253,335.0,604.0,ncc_fail,334.2838439941406,605.535888671875,0.06772878533589138,False,334.336038172245,605.5094726085663,0.02850081169180124,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-5.98236608505249,5.974246978759766,3.168274402618408,-0.02708335593342781,,
A02,1,1542828791787420320,261,672.0,599.0,border_fail,671.3753662109375,600.0223999023438,0.06311460144962752,False,671.4167885184288,600.0637791156769,0.03011577280839914,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.21129035949707,6.209221839904785,3.266458511352539,-0.0348748080432415,,
A02,2,1542828791836239008,350,245.0,603.0,ncc_fail,247.5717010498047,611.1168823242188,1.791307890371511,False,244.2333700656891,604.7984429597855,0.14252007620446372,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-2.425292730331421,2.452211618423462,2.280625820159912,-0.04023487865924835,,
A02,2,1542828791836239008,351,404.0,603.0,ncc_fail,403.38592529296875,604.4451904296875,0.03428035625033396,False,403.353355050087,604.4551261663437,0.030022442668496338,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.193661212921143,6.184096813201904,3.268970489501953,-0.03120242990553379,,
A02,2,1542828791836239008,353,340.0,604.0,ncc_fail,339.307373046875,605.5404052734375,0.05155430678093938,False,339.3073005080223,605.5310883522034,0.03923692759022461,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.08072566986084,6.0718994140625,3.2140045166015625,-0.02994965761899948,,
A02,3,1542828791887907424,355,248.0,603.0,forward_fail,nan,nan,nan,False,247.2219944000244,604.6504006385803,0.02222640057443776,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-5.444563388824463,5.438581466674805,2.9688148498535156,-0.028811229392886162,,
A02,4,1542828791935959872,140,697.1766967773438,599.9476318359375,border_fail,696.5280151367188,600.9462890625,0.07090774874324239,False,696.5879083533916,601.002706456057,0.01816369381999885,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.379839734155883,6.372242387021814,3.3243836713724555,-0.032859233044626374,,
A02,4,1542828791935959872,155,311.9493713378906,599.6527099609375,border_fail,311.3375549316406,601.336669921875,0.12554980970108676,False,311.26101722331055,601.2451862027248,0.020588614163771727,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.107263840950836,6.098147114568466,3.2256882999794874,-0.030547493950554512,,
A02,4,1542828791935959872,297,446.18927001953125,599.0762329101562,border_fail,445.5973815917969,600.5582885742188,0.06174982139864665,False,445.59539019310705,600.4813711827777,0.015389631129269235,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.178278396842865,6.174547944683365,3.262740172738863,-0.03245234466349495,,
A02,5,1542828791986278080,256,419.538818359375,598.5579833984375,border_fail,418.9613342285156,600.0789184570312,0.03542328455980605,False,418.9728602333582,600.0228829177047,0.02315383751526619,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-6.456844856238433,6.451945303320869,3.384043361118117,-0.03349028815647992,,
A02,5,1542828791986278080,263,635.5278930664062,599.5592651367188,border_fail,635.0226440429688,600.7018432617188,0.012896339999194817,False,635.0121048701935,600.7230335957621,0.021748757630428463,False,neither,0,0,not_accepted,not_accepted,Unknown,Unknown,-5.884825126290021,5.878587721847586,3.1324245332964065,-0.03390930890126806,,
