sequence,raw_index,queries,B_s,C_raw_s,preprocess_s,forward_gpu_s,backward_gpu_s,restore_transfer_s,peak_allocated_bytes,peak_reserved_bytes,network_height,network_width,sampling_s,fb_checks_s
A02,1,4,0.051121937984135,0.001929625985212624,0.029533978027757257,0.15987221599789336,0.13639302999945357,0.0086121010244824,312287232,427819008,304,484,0.0002208439982496202,9.309203596785665e-05
A02,2,3,0.05022556200856343,0.0018862049910239875,0.012302468996495008,0.128096395987086,0.12776941998163238,0.010380863037426025,312287232,427819008,304,484,0.00021855399245396256,9.485200280323625e-05
A02,3,1,0.0603975509875454,0.0010732299997471273,0.014922917005605996,0.12923734699143097,0.12972230598097667,0.004543714981991798,312287232,427819008,304,484,0.000199153961148113,8.817098569124937e-05
A02,4,3,0.05010441900230944,0.0021135190036147833,0.012536611990071833,0.12949560303241014,0.12961846502730623,0.008901805966161191,312287232,427819008,304,484,0.0002130339853465557,9.266100823879242e-05
A02,5,5,0.05083548300899565,0.0019848569645546377,0.013295067008584738,0.12954131298465654,0.1295043519930914,0.004224349046126008,312287232,427819008,304,484,0.0002125839819200337,9.493198012933135e-05
A02,6,5,0.04847507900558412,0.0020238079596310854,0.012611423968337476,0.12801000499166548,0.12914554600138217,0.005356048990506679,312287232,427819008,304,484,0.00020902400137856603,9.396194946020842e-05
A02,7,3,0.052839919982943684,0.0018668349948711693,0.012344907969236374,0.1277505600010045,0.12958493403857574,0.004245437972713262,312287232,427819008,304,484,0.00020846398547291756,9.359198156744242e-05
A02,8,2,0.05294492200482637,0.0019091149442829192,0.012691245996393263,0.12810917699243873,0.1282214589882642,0.005372728977818042,312287232,427819008,304,484,0.00020933395717293024,9.568198584020138e-05
A02,9,2,0.04846640001051128,0.0017775330343283713,0.012614553968887776,0.12931496900273487,0.1297568780137226,0.004319378989748657,312287232,427819008,304,484,0.00020730402320623398,9.413098450750113e-05
A02,10,1,0.05374025698984042,0.001753523014485836,0.015169761958532035,0.129300429020077,0.12947422300931066,0.006002900016028434,312287232,427819008,304,484,0.0002106839674524963,8.41420260258019e-05
A02,11,1,0.04825286497361958,0.0018244339735247195,0.012637923995498568,0.12926670897286385,0.1289365029660985,0.007742452959064394,312287232,427819008,304,484,0.00019763398449867964,8.757197065278888e-05
A02,14,1,0.048446219007018954,0.0017449019942432642,0.012711696035694331,0.12832900101784617,0.1295829850132577,0.004027443996164948,312287232,427819008,304,484,0.00019578298088163137,8.595199324190617e-05
A02,15,1,0.04793855897150934,0.0017191520310007036,0.012651394994463772,0.12935261003440246,0.13029351801378652,0.004107325046788901,312287232,427819008,304,484,0.00019612401956692338,8.837197674438357e-05
A02,16,1,0.048249386018142104,0.0017815519822761416,0.012791157991159707,0.1294141300022602,0.12958953494671732,0.011282849998679012,312287232,427819008,304,484,0.00019516400061547756,8.756096940487623e-05
A02,19,2,0.04806125204777345,0.001802312966901809,0.01264794502640143,0.12795881397323683,0.1293213589815423,0.00401335401693359,312287232,427819008,304,484,0.00020740402396768332,9.26509965211153e-05
A02,20,3,0.04831288702553138,0.0018646849785000086,0.012262956995982677,0.12931037897942588,0.1311849739868194,0.004110036010388285,312287232,427819008,304,484,0.0002098039840348065,9.364105062559247e-05
A02,21,2,0.04794586997013539,0.0018859150004573166,0.01266978500643745,0.12805135600501671,0.12869825802044943,0.004215537977870554,312287232,427819008,304,484,0.00020862399833276868,9.264197433367372e-05
A02,22,2,0.04825085500488058,0.002076858014333993,0.015695501992013305,0.1294165119761601,0.12954456399893388,0.004291729012038559,312287232,427819008,304,484,0.0002061030245386064,9.419198613613844e-05
A02,23,3,0.04900599899701774,0.0018256140174344182,0.011794038990046829,0.1294555120402947,0.13000346202170476,0.004422972036991268,312287232,427819008,304,484,0.00021319399820640683,9.27910441532731e-05
A02,24,2,0.04977070394670591,0.0027209310210309923,0.011908050975762308,0.12781955098034814,0.12795440398622304,0.004266330040991306,312287232,427819008,304,484,0.00020707398653030396,9.280198719352484e-05
A02,25,2,0.04989322600886226,0.001894165005069226,0.015450525970663875,0.12839844304835424,0.12811699695885181,0.011321558966301382,312287232,427819008,304,484,0.00020187400514259934,9.342195698991418e-05
A02,26,3,0.05098608700791374,0.0018589039682410657,0.012381470005493611,0.12787208199733868,0.13018298603128642,0.0076624820358119905,312287232,427819008,304,484,0.00020522403065115213,9.291101014241576e-05
A02,27,2,0.04801122099161148,0.00191982596879825,0.012492912006564438,0.1294382709893398,0.12989169999491423,0.004318070015870035,312287232,427819008,304,484,0.00020891398889943957,9.263202082365751e-05
A02,28,2,0.04855942097492516,0.0018156839651055634,0.012511471984907985,0.12975160696078092,0.12861343601252884,0.005417941021732986,312287232,427819008,304,484,0.00021406396990641952,9.395199595019221e-05
A02,29,2,0.050691280979663134,0.001964955998118967,0.011934622016269714,0.12890400097239763,0.12898572301492095,0.004432162037119269,312287232,427819008,304,484,0.0002067339955829084,9.575195144861937e-05
A02,30,2,0.05044799600727856,0.0018541640019975603,0.014708172995597124,0.12855033500818536,0.1308148470125161,0.007807065965607762,312287232,427819008,304,484,0.00020777294412255287,9.089201921597123e-05
A02,31,2,0.048424548003822565,0.0019140460062772036,0.012703795975539833,0.13106195197906345,0.13021087599918246,0.004252249025739729,312287232,427819008,304,484,0.00020648399367928505,9.434204548597336e-05
A02,32,3,0.04851972096366808,0.0018112229881808162,0.011457222979515791,0.1299802819848992,0.13058198301587254,0.004746688005980104,312287232,427819008,304,484,0.000261825043708086,0.00012094195699319243
A02,33,2,0.05957135499920696,0.0020486380090005696,0.01290567999240011,0.13017039495753124,0.1303963499958627,0.008262653020210564,312287232,427819008,304,484,0.00021055398974567652,9.406195022165775e-05
A02,34,1,0.051683118974324316,0.0018371639889664948,0.012516771967057139,0.13081523700384423,0.13029674696736038,0.004236779001075774,312287232,427819008,304,484,0.0001943330280482769,8.969201007857919e-05
A02,35,1,0.05388800002401695,0.0018716849735938013,0.014478367986157537,0.12973071803571656,0.13112604297930375,0.007962437986861914,312287232,427819008,304,484,0.00019814400002360344,9.129103273153305e-05
A02,36,2,0.05144853499950841,0.001824474020395428,0.013293056981638074,0.12865355698158965,0.1298724799999036,0.009341083001345396,312287232,427819008,304,484,0.00021385395666584373,9.211100405082107e-05
A02,37,3,0.048940378008410335,0.0019427459919825196,0.012545512989163399,0.12916362698888406,0.13011449394980446,0.004086984961759299,312287232,427819008,304,484,0.00020678399596363306,9.13020339794457e-05
A02,38,3,0.04845379904145375,0.0018161240150220692,0.01309765299083665,0.12881093000760302,0.13080350699601695,0.004220967995934188,312287232,427819008,304,484,0.00022426398936659098,9.238196071237326e-05
A02,40,1,0.05128052196232602,0.0018534850096330047,0.013279385981149971,0.12993986101355404,0.12949907302390784,0.008039859007112682,312287232,427819008,304,484,0.00020868401043117046,8.887203875929117e-05
A02,43,1,0.06233825703384355,0.001881834992673248,0.012520302028860897,0.12849136401200667,0.129537682980299,0.004204008961096406,312287232,427819008,304,484,0.0001977540086954832,9.126204531639814e-05
A02,44,3,0.049521128996275365,0.0020223180181346834,0.012690456002019346,0.13022111699683592,0.13015910499962047,0.007502818945795298,312287232,427819008,304,484,0.00021385401487350464,0.00010113196913152933
A02,46,1,0.048206634004600346,0.0017475520144216716,0.012719996040686965,0.12864799704402685,0.12965317600173876,0.009020588011480868,312287232,427819008,304,484,0.00019829400116577744,8.737103780731559e-05
A02,47,1,0.050381134962663054,0.0018667439580895007,0.013137714006006718,0.12866337702143937,0.12977956800023094,0.0044204430305399,312287232,427819008,304,484,0.00020167301408946514,8.656101999804378e-05
A02,49,1,0.048006681026890874,0.0017502819537185133,0.0123106490354985,0.128212750016246,0.12949671305250376,0.007709942990913987,312287232,427819008,304,484,0.0001964240218512714,8.752098074182868e-05
A02,52,1,0.048072812031023204,0.0017792930011637509,0.012429090042132884,0.130217655969318,0.12993699102662504,0.004282487963791937,312287232,427819008,304,484,0.00019735301611945033,8.650199742987752e-05
A02,53,1,0.048669012961909175,0.0017983230063691735,0.013572341995313764,0.12973562703700736,0.12951954401796684,0.00928318197838962,312287232,427819008,304,484,0.00020918401423841715,8.912099292501807e-05
A02,55,1,0.05042644595960155,0.0017732320120558143,0.012765606981702149,0.12955283297924325,0.13025752699468285,0.004174188012257218,312287232,427819008,304,484,0.00019640399841591716,8.763099322095513e-05
A02,56,1,0.05029561300761998,0.0018154439749196172,0.012420450046192855,0.13021509599639103,0.12972847797209397,0.004313261015340686,312287232,427819008,304,484,0.00020006299018859863,9.462202433496714e-05
A02,58,2,0.049127920996397734,0.0018367539742030203,0.012327189033385366,0.13035884901182726,0.13051428203471005,0.005568692984525114,312287232,427819008,304,484,0.00021332403412088752,9.427196346223354e-05
A02,59,1,0.06032295897603035,0.0030513469828292727,0.018251079018227756,0.13038781902287155,0.13020445697475225,0.004562623973470181,312287232,427819008,304,484,0.00020331400446593761,9.136099833995104e-05
A02,60,1,0.05273673898773268,0.0017299819737672806,0.012523651996161789,0.12911687599262223,0.13069509499473497,0.008198241994250566,312287232,427819008,304,484,0.0001979130320250988,8.810200961306691e-05
A02,64,2,0.04982077400200069,0.0018974959966726601,0.012220715987496078,0.12945253303041682,0.128711668017786,0.005480051971971989,312287232,427819008,304,484,0.0002104739542119205,9.475101251155138e-05
A02,66,1,0.050397534971125424,0.001792833034414798,0.01445589802460745,0.13034300896106288,0.12988940998911858,0.004141056968364865,312287232,427819008,304,484,0.00019917404279112816,8.751096902415156e-05
A02,67,2,0.04876892501488328,0.001914345019031316,0.012468970962800086,0.12921485799597576,0.12858078599674627,0.006196564994752407,312287232,427819008,304,484,0.00020425301045179367,9.775202488526702e-05
A02,68,3,0.050170531030744314,0.0018489349749870598,0.014188612985890359,0.1286090060020797,0.12966019497253,0.004324160981923342,312287232,427819008,304,484,0.00020938401576131582,9.824096923694015e-05
A02,69,3,0.04978348303120583,0.0019517469918355346,0.01125010900432244,0.1297973080072552,0.13050380197819322,0.004356461053248495,312287232,427819008,304,484,0.00020867300918325782,9.92819550447166e-05
A02,70,3,0.05137022299459204,0.0019272560020908713,0.013216725026722997,0.13013275497360155,0.13006650295574218,0.008123811043333262,312287232,427819008,304,484,0.00020994397345930338,9.225099347531796e-05
A02,71,2,0.04954144899966195,0.0018286240519955754,0.012158666038885713,0.12989020004170015,0.13003634399501607,0.005596803035587072,312287232,427819008,304,484,0.00023715500719845295,0.00010221201227977872
A02,72,3,0.06219568400410935,0.0030645469669252634,0.016660208988469094,0.13042232097359374,0.13013924501137808,0.004353149968665093,312287232,427819008,304,484,0.00021081400336697698,9.422103175893426e-05
A02,73,4,0.04890463798074052,0.0019429459935054183,0.012766926956828684,0.12956292397575453,0.12964358599856496,0.004574264050461352,312287232,427819008,304,484,0.00020765396766364574,9.290099842473865e-05
A02,74,3,0.04891411797143519,0.0018672140431590378,0.012264327029697597,0.1301905260188505,0.13018538599135354,0.00885797303635627,312287232,427819008,304,484,0.00021019403357058764,9.473197860643268e-05
A02,75,3,0.050600868999026716,0.002969235007185489,0.01341926900204271,0.13025311700766906,0.1298324500094168,0.007127111020963639,312287232,427819008,304,484,0.00023167399922385812,9.340199176222086e-05
A02,76,3,0.050319704052526504,0.001964777009561658,0.013629462977405638,0.13028229802148417,0.12983340997016057,0.004388221015688032,312287232,427819008,304,484,0.00021139398450031877,9.356200462207198e-05
A02,77,2,0.05353278300026432,0.001844025042373687,0.012862898001912981,0.12966220697853714,0.13025536702480167,0.004126777057535946,312287232,427819008,304,484,0.0002071839990094304,9.118195157498121e-05
A02,78,2,0.051158429007045925,0.001968957018107176,0.013081123004667461,0.13070397597039118,0.12982195796212181,0.0042771800071932375,312287232,427819008,304,484,0.00021007301984354854,9.265204425901175e-05
A02,79,1,0.050559268973302096,0.0018229930428788066,0.012722065963316709,0.13026971701765433,0.1300993449985981,0.004278068954590708,312287232,427819008,304,484,0.0001976040075533092,8.687202353030443e-05
A02,80,6,0.0513713940163143,0.0019829170196317136,0.012785247003193945,0.1299935220158659,0.12979776895372197,0.0044292910024523735,312287232,427819008,304,484,0.00021883397130295634,0.00011796201579272747
A02,81,2,0.050804892962332815,0.0019012459670193493,0.012022231996525079,0.1303752399981022,0.12998144299490377,0.004392681003082544,312287232,427819008,304,484,0.0002128040068782866,9.308097651228309e-05
A02,82,2,0.050971435965038836,0.0018317140056751668,0.012459710997063667,0.12958224501926452,0.12842159299179912,0.005514662945643067,312287232,427819008,304,484,0.00021399400429800153,9.6782052423805e-05
A02,83,1,0.05084071302553639,0.001776393037289381,0.01316049403976649,0.12852102500619367,0.12850064499070868,0.005058334034401923,312287232,427819008,304,484,0.000204422976821661,9.188201511278749e-05
A02,84,2,0.05425928795011714,0.0022850920213386416,0.012608474004082382,0.12963696499355137,0.12874216900672764,0.005120185960549861,312287232,427819008,304,484,0.00021138397278264165,9.530200622975826e-05
A02,85,4,0.05188604298746213,0.0022189209703356028,0.013380748976487666,0.1286416370421648,0.13027561799390242,0.004470521991606802,312287232,427819008,304,484,0.00021473399829119444,9.67920059338212e-05
A02,86,3,0.05065173003822565,0.002049728005658835,0.011987932026386261,0.1301698160241358,0.1304069299949333,0.0040244749980047345,312287232,427819008,304,484,0.00020858400966972113,9.604200022295117e-05
A02,87,4,0.05115583899896592,0.002214431995525956,0.01201538200257346,0.13051640300545841,0.12994280201382935,0.004302959016058594,312287232,427819008,304,484,0.00020994397345930338,9.37319709919393e-05
A02,88,1,0.04934311500983313,0.001846864994149655,0.012551922991406173,0.1312359349685721,0.12946969200856984,0.004556105996016413,312287232,427819008,304,484,0.00019846303621307015,8.933199569582939e-05
A02,89,2,0.0504138550022617,0.0019707660540007055,0.011664266989100724,0.12850230501499027,0.12911658600205556,0.005095203989185393,312287232,427819008,304,484,0.0002185039920732379,9.946199133992195e-05
A02,90,1,0.05781253200257197,0.0024736960185691714,0.013318707002326846,0.13040458998875692,0.12876270996639505,0.0055393329821527,312287232,427819008,304,484,0.00019667402375489473,8.816097397357225e-05
A02,91,3,0.05062842997722328,0.0018897450063377619,0.012256937043275684,0.12980886799050495,0.12829045101534575,0.00930853298632428,312287232,427819008,304,484,0.00022152403835207224,9.544199565425515e-05
A02,93,3,0.05103966704336926,0.0018255839822813869,0.01259082299657166,0.12969839700963348,0.13010573497740552,0.0047596480580978096,312287232,427819008,304,484,0.00021107401698827744,9.480200242251158e-05
A02,94,1,0.05339763103984296,0.001948787015862763,0.011470273020677269,0.13085640803910792,0.13011643500067294,0.009800233005080372,312287232,427819008,304,484,0.0001990229939110577,8.875195635482669e-05
A02,95,1,0.05097361496882513,0.001972477009985596,0.012026902986690402,0.12866424798266962,0.13017941603902727,0.0080455900169909,312287232,427819008,304,484,0.00019845302449539304,8.519197581335902e-05
A02,97,4,0.05172172002494335,0.0019925670349039137,0.011557525023818016,0.13002002303255722,0.129621795960702,0.004493493004702032,312287232,427819008,304,484,0.00021168397506698966,9.424099698662758e-05
A02,98,2,0.04862205300014466,0.0018379639950580895,0.014227253966964781,0.12901804398279637,0.12885300198104233,0.005752455967012793,312287232,427819008,304,484,0.00020897400099784136,9.342201519757509e-05
A02,99,3,0.05205720604863018,0.001979577005840838,0.011373400979209691,0.12831898097647354,0.13062674400862306,0.004291668010409921,312287232,427819008,304,484,0.00021453399676829576,9.634200250729918e-05
A02,100,3,0.050486076972447336,0.0019341259612701833,0.01283548801438883,0.12961241597076878,0.1299370220513083,0.008104089996777475,312287232,427819008,304,484,0.00020863395184278488,9.426200995221734e-05
A02,101,5,0.04989899700740352,0.002012457000091672,0.012265987053979188,0.13079439697321504,0.1301091740024276,0.004107636981643736,312287232,427819008,304,484,0.0002102340222336352,9.375199442729354e-05
A02,102,3,0.04953078995458782,0.0018956349813379347,0.01241228001890704,0.13031129800947383,0.13043143099639565,0.004267828946467489,312287232,427819008,304,484,0.00020774401491507888,9.367195889353752e-05
A02,103,3,0.050266572972759604,0.0019523960072547197,0.012756505981087685,0.1299913629773073,0.1301803449750878,0.011574976029805839,312287232,427819008,304,484,0.00020693399710580707,9.195099119096994e-05
A02,104,4,0.047971141000743955,0.001948536024428904,0.012576373992487788,0.13056592299835756,0.1298738699988462,0.004221219045575708,312287232,427819008,304,484,0.00021240400383248925,9.304197737947106e-05
A02,105,3,0.04856348200701177,0.002094617986585945,0.012641254987102002,0.129543503979221,0.12944878300186247,0.008957765996456146,312287232,427819008,304,484,0.00021145399659872055,9.168201358988881e-05
A02,106,2,0.04975014296360314,0.0019554669852368534,0.01233142800629139,0.12882925098529086,0.12857766600791365,0.006389228976331651,312287232,427819008,304,484,0.00020986399613320827,9.365094592794776e-05
A02,107,1,0.04842030897270888,0.001954275998286903,0.014399377047084272,0.12913976598065346,0.1298971200012602,0.004033915989566594,312287232,427819008,304,484,0.0001951140002347529,8.44610040076077e-05
A02,109,2,0.04885532701155171,0.0026079490198753774,0.012596674030646682,0.12842535297386348,0.13046626199502498,0.004148836014792323,312287232,427819008,304,484,0.00020800402853637934,9.44010098464787e-05
A02,110,2,0.048406149027869105,0.001954586012288928,0.012912030040752143,0.1301756749744527,0.1298913800274022,0.004361152008641511,312287232,427819008,304,484,0.00020614400273188949,9.702198440209031e-05
A02,111,2,0.05084068397991359,0.0019308559712953866,0.01190087100258097,0.13071536598727107,0.1301737559842877,0.004005265072919428,312287232,427819008,304,484,0.00021357397781684995,0.00011035200441256166
A02,112,6,0.048675454047042876,0.0021932710078544915,0.012379730003885925,0.12882403994444758,0.13067492505069822,0.008861884998623282,312287232,427819008,304,484,0.0002076429664157331,9.285204578191042e-05
A02,113,5,0.04831436701351777,0.001996026956476271,0.012348799034953117,0.12864762800745666,0.12874318001559004,0.008694500953424722,312287232,427819008,304,484,0.00021224399097263813,9.242200758308172e-05
A02,114,2,0.048399699036963284,0.001890945015475154,0.011206457973457873,0.13027670700103045,0.13009849400259554,0.004013564961496741,312287232,427819008,304,484,0.00020276400027796626,9.698199573904276e-05
A02,115,1,0.05073395202634856,0.002694570051971823,0.013619811972603202,0.1300976150087081,0.1294175009825267,0.01132809097180143,312287232,427819008,304,484,0.00019567395793274045,8.43909801915288e-05
A02,116,4,0.049015819968190044,0.0020901180105283856,0.012403949978761375,0.12854601599974558,0.1301887360168621,0.00434524001320824,312287232,427819008,304,484,0.00022913399152457714,9.902199963107705e-05
A02,117,5,0.0492300940095447,0.0020228279754519463,0.011904871033038944,0.13078267802484334,0.12926550896372646,0.011118285998236388,312287232,427819008,304,484,0.0002100240089930594,9.439198765903711e-05
A02,118,1,0.04808568302541971,0.0019268159521743655,0.012340547982603312,0.12991007103119045,0.13084434904158115,0.004694957926403731,312287232,427819008,304,484,0.00020545395091176033,9.18920268304646e-05
A02,119,3,0.05047192599158734,0.0019811869715340436,0.012404459994286299,0.12997823196928948,0.1299821920110844,0.004396962991449982,312287232,427819008,304,484,0.00021403399296104908,9.340199176222086e-05
A02,121,2,0.050737191981170326,0.0019843769841827452,0.014047040953300893,0.13022128702141345,0.12988770997617394,0.004056806035805494,312287232,427819008,304,484,0.0002238539746031165,9.726203279569745e-05
A02,122,3,0.04843344900291413,0.001903256052173674,0.012699515034910291,0.12971583800390363,0.13049959199270234,0.0077623940305784345,312287232,427819008,304,484,0.000210744037758559,9.755196515470743e-05
A02,123,2,0.04835549701238051,0.0018932049861177802,0.012129854992963374,0.1299797529936768,0.12985969003057107,0.004172357032075524,312287232,427819008,304,484,0.00020701397443190217,9.090197272598743e-05
A02,126,3,0.04826762602897361,0.001961696019861847,0.012373890029266477,0.12972502800403163,0.12992685195058584,0.004165646911133081,312287232,427819008,304,484,0.00020546402083709836,9.338103700429201e-05
A02,127,5,0.04922568402253091,0.0020828479900956154,0.012238816998433322,0.13059719401644543,0.12981988897081465,0.011343600985128433,312287232,427819008,304,484,0.00020466302521526814,9.74519643932581e-05
A02,128,4,0.049307116016279906,0.002016266982536763,0.013099054049234837,0.1298889210447669,0.13111577299423516,0.004582865978591144,312287232,427819008,304,484,0.00021102401660755277,9.312201291322708e-05
A02,129,2,0.05023721297038719,0.001941645983606577,0.012378469982650131,0.12946656200801954,0.13156859198352322,0.004430091998074204,312287232,427819008,304,484,0.0002793549792841077,0.00013584195403382182
A02,130,1,0.05302727501839399,0.001887204998638481,0.012645384995266795,0.13091256999177858,0.1296985269873403,0.007768684066832066,312287232,427819008,304,484,0.00019942299695685506,8.778204210102558e-05
A02,131,2,0.05340125097427517,0.0019704060396179557,0.016703750006854534,0.12852474598912522,0.1306147240102291,0.007174521975684911,312287232,427819008,304,484,0.00020687398500740528,9.497202700003982e-05
A02,132,3,0.05167824897216633,0.0022823219769634306,0.013338388002011925,0.12844320404110476,0.12975902803009376,0.004142017045523971,312287232,427819008,304,484,0.0002119939890690148,9.173195576295257e-05
A02,133,5,0.050062288995832205,0.002834273036569357,0.014853804954327643,0.12929016997804865,0.12985150003805757,0.00804582901764661,312287232,427819008,304,484,0.00021369400201365352,9.32919792830944e-05
A02,134,5,0.05391196103300899,0.0019887269590981305,0.01669365999987349,0.12960954499430954,0.130433761049062,0.008179252967238426,312287232,427819008,304,484,0.00022127397824078798,9.513198165223002e-05
A02,135,6,0.05068276997189969,0.002240732021164149,0.011144256975967437,0.12859442696208134,0.12893850303953514,0.005591582041233778,312287232,427819008,304,484,0.0002124439924955368,9.429198689758778e-05
A02,136,2,0.05095773603534326,0.0018410240299999714,0.012329008954111487,0.13008374499622732,0.1295038039679639,0.008165301056578755,312287232,427819008,304,484,0.00021036399994045496,9.156198939308524e-05
A02,137,4,0.0522189189796336,0.002098349970765412,0.011515552992932498,0.1283049409976229,0.13022383803036064,0.004266499017830938,312287232,427819008,304,484,0.0002072540228255093,9.370205225422978e-05
A02,138,2,0.05196574499132112,0.002064798027276993,0.011935580987483263,0.12834891199599952,0.1283842230332084,0.008758632990065962,312287232,427819008,304,484,0.0002084140432998538,9.379198309034109e-05
A02,140,2,0.05288155103335157,0.001991858007386327,0.012110104027669877,0.12945964303798974,0.13002374401548877,0.0069222679594531655,312287232,427819008,304,484,0.00021007400937378407,9.520200546830893e-05
A02,141,1,0.05168000905541703,0.0017040219972841442,0.01205318298889324,0.13061766495229676,0.13018921698676422,0.0042362979729659855,312287232,427819008,304,484,0.00019834295380860567,8.805200923234224e-05
A02,142,3,0.04850321001140401,0.001905625977087766,0.015614530013408512,0.12987492000684142,0.12870371900498867,0.011570664995815605,312287232,427819008,304,484,0.0002057940000668168,9.812199277803302e-05
A02,144,3,0.052003075019456446,0.0018522639875300229,0.012348129006568342,0.1302548770327121,0.1301594260148704,0.00425830896710977,312287232,427819008,304,484,0.00020686397328972816,9.234203025698662e-05
A02,145,7,0.05464545398717746,0.002142820041626692,0.014369426993653178,0.13074805698124692,0.13011550501687452,0.011888229986652732,312287232,427819008,304,484,0.00021725398255512118,9.492202661931515e-05
A02,146,3,0.05691488698357716,0.0021023890003561974,0.012619323970284313,0.12845775397727266,0.13086735899560153,0.004244069918058813,312287232,427819008,304,484,0.0002097439719364047,9.314203634858131e-05
A02,147,2,0.04896058898884803,0.0019753670203499496,0.01230097800726071,0.13026088802143931,0.13037398003507406,0.007749482989311218,312287232,427819008,304,484,0.00020414299797266722,9.451201185584068e-05
A02,148,3,0.04856023099273443,0.002358344034291804,0.012995692028198391,0.13054920302238315,0.13027457799762487,0.004289759963285178,312287232,427819008,304,484,0.00021396396914497018,9.414099622517824e-05
A02,149,4,0.051167479949072,0.002003037021495402,0.012061184039339423,0.13010661501903087,0.1308008180349134,0.004324200039263815,312287232,427819008,304,484,0.0002117329859174788,0.00010529201244935393
A02,150,2,0.050865454017184675,0.0019427159568294883,0.012066424009390175,0.13012331497156993,0.13027690898161381,0.004262918955646455,312287232,427819008,304,484,0.00021188397658988833,9.490200318396091e-05
A02,151,5,0.05068458104506135,0.0020279180025681853,0.011393402004614472,0.13061146502150223,0.1302662380039692,0.004180608026217669,312287232,427819008,304,484,0.00020920397946611047,9.18410369195044e-05
A02,152,2,0.05148070497671142,0.0019171249587088823,0.012341529014520347,0.1288107510190457,0.13077463797526434,0.004281899018678814,312287232,427819008,304,484,0.0002125939936377108,9.624200174584985e-05
A02,154,4,0.050776022020727396,0.0020100679830648005,0.01198050199309364,0.12895132397534326,0.12920526799280196,0.0060829330468550324,312287232,427819008,304,484,0.00021074397955089808,9.509199298918247e-05
A02,155,4,0.05050161696271971,0.0020838589989580214,0.012525553000159562,0.12903448496945202,0.13036399998236448,0.0060381320072337985,312287232,427819008,304,484,0.00021340401144698262,9.301200043410063e-05
A02,156,4,0.0493335549836047,0.001944157003890723,0.011710307036992162,0.13095605099806562,0.13018009695224464,0.004300019063521177,312287232,427819008,304,484,0.00021505402401089668,9.589199908077717e-05
A02,157,2,0.05061360000399873,0.00200274697272107,0.012587543984409422,0.13027874799445271,0.13037889101542532,0.0078797850292176,312287232,427819008,304,484,0.00020500400569289923,9.187200339511037e-05
A02,158,2,0.054293307999614626,0.0018680740031413734,0.011713257990777493,0.12905494502047077,0.13065316498978063,0.004200588969979435,312287232,427819008,304,484,0.00020522403065115213,9.961199248209596e-05
A02,159,4,0.04837920697173104,0.00200941797811538,0.01612380996812135,0.1305120019824244,0.13046832097461447,0.004156958020757884,312287232,427819008,304,484,0.00021126394858583808,9.31419781409204e-05
A02,160,3,0.050350564008113,0.0018016329850070179,0.011444852978456765,0.13044933194760233,0.1305259540094994,0.004310499003622681,312287232,427819008,304,484,0.00021194398868829012,9.541201870888472e-05
A02,161,2,0.05129906296497211,0.0019363259780220687,0.012382020009681582,0.13013672502711415,0.1302676280029118,0.008392204996198416,312287232,427819008,304,484,0.00020402303198352456,9.245198452845216e-05
A02,162,5,0.05055123899364844,0.002139509015250951,0.012350989039987326,0.13033835898386315,0.13098581100348383,0.004287589981686324,312287232,427819008,304,484,0.00020957301603630185,9.389198385179043e-05
A02,163,6,0.05094775598263368,0.0021651900024153292,0.012704145978204906,0.13001156301470473,0.1308727089781314,0.004350181028712541,312287232,427819008,304,484,0.00021481403382495046,9.747198782861233e-05
A02,164,3,0.0507414520252496,0.002009337011259049,0.012388249044306576,0.12974292901344597,0.13025167700834572,0.004545524017885327,312287232,427819008,304,484,0.00020599400158971548,9.4162009190768e-05
A02,165,5,0.04837470798520371,0.002053768024779856,0.012818538001738489,0.12893391301622614,0.13072628702502698,0.004070805967785418,312287232,427819008,304,484,0.00020606396719813347,9.32219554670155e-05
A02,166,2,0.04967531200964004,0.0019199760281480849,0.012790126958861947,0.13008600496686995,0.13038187002530321,0.004270030010957271,312287232,427819008,304,484,0.00020671403035521507,9.417202090844512e-05
A02,167,4,0.059223998978268355,0.0028305320302024484,0.014680191990919411,0.1301362660015002,0.13092355005210266,0.008060690015554428,312287232,427819008,304,484,0.00020868401043117046,9.413203224539757e-05
A02,169,3,0.0534052710281685,0.0019226860022172332,0.012709606031421572,0.13042889995267615,0.12883947201771662,0.005453291989397258,312287232,427819008,304,484,0.00021114398259669542,9.79619799181819e-05
A02,170,4,0.04970172297907993,0.00204214797122404,0.0129072800045833,0.12985923001542687,0.13134159799665213,0.011665707046631724,312287232,427819008,304,484,0.00020707398653030396,9.235099423676729e-05
