run_slug,arm,repeat,status,wall_s,peak_node_rss_bytes,feature_bag_sha256,binary_sha256,run_dir,receipt_emitted_at,exact_wall_clock_start,initialization_count,failure_detection_count,initialization_visual_imu_misalignment_count,initialization_sfm_solver_timing,reset_count_proxy,lost_tracking_count,initialization_log_first,initialization_finish_first_ros_clock_s,solver_calls,solver_near_time_limit_count,solver_at_or_above_time_limit_count,solver_total_s,solver_mean_s,solver_near_limit_fraction,solver_at_or_above_limit_fraction,solver_budget_histogram_json,solver_iteration_histogram_json,solver_termination_integer_histogram_json,exact_solver_stop_reason,solver_diagnostic_scope,max_solver_s,max_actual_eligible,received_complete,reference_start_sensor_s,poses,trajectory_coverage,trajectory_length_m,first_pose_sensor_s,first_pose_delay_from_reference_start_s,runability,received_original_ids,received_original_ids_unique_ids,eligible_original_ids,eligible_original_ids_unique_ids,residual_original_ids,residual_original_ids_unique_ids,sequence,mapped_to,S_history_public_observations,S_history_received_observations,S_history_missing_received,S_history_eligible_id_times,S_history_residual_blocks_by_id_time,S_history_residual_unique_ids,attribution_scope
h02_0_900,B,1,COMPLETE,64.87125846196432,104579072,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat1,2026-09-11T10:47:02.646098+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789123571.586211090, 1523958590.279429258]: Initialization finish!",1523958590.279429258,419,254,207,13.405776774000017,0.03199469397136042,0.6062052505966588,0.49403341288782815,"{""0.032000000"": 314, ""0.040000000"": 105}","{""3"": 73, ""4"": 192, ""5"": 76, ""6"": 45, ""7"": 19, ""8"": 6, ""9"": 8}","{""0"": 290, ""1"": 129}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.048392663,529,True,1523958586.9025872,419,0.9296472739775402,5.801459405051064,1523958590.0520192,3.149432024685666,PASS,157500,7705,158040,4325,1281811,4325,H02,B,,,,,,,
h02_0_900,B,2,COMPLETE,64.8195247760159,105910272,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat2,2026-09-11T10:48:07.856919+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789123636.822374004, 1523958590.269701724]: Initialization finish!",1523958590.269701724,419,338,287,14.438951696999998,0.03446050524343675,0.8066825775656324,0.684964200477327,"{""0.032000000"": 314, ""0.040000000"": 105}","{""4"": 160, ""5"": 203, ""6"": 31, ""7"": 10, ""8"": 6, ""9"": 9}","{""0"": 203, ""1"": 216}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047207666,573,True,1523958586.9025872,419,0.9296472739775402,6.169726030262359,1523958590.0520192,3.149432024685666,PASS,157500,7705,159183,4325,1294190,4325,H02,B,,,,,,,
h02_0_900,B,3,COMPLETE,64.96254433400463,106496000,607114fde2be71c6d9021f17b8c8379df808b44e739851dd355a17905fc62034,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat3,2026-09-11T10:49:13.220551+00:00,Unknown,1,0,12,Unknown,0,Unknown,"[ INFO] [1789123702.127787061, 1523958590.269583735]: Initialization finish!",1523958590.269583735,419,306,260,14.140977142000002,0.033749348787589506,0.7303102625298329,0.6205250596658711,"{""0.032000000"": 314, ""0.040000000"": 105}","{""4"": 234, ""5"": 124, ""6"": 28, ""7"": 15, ""8"": 7, ""9"": 11}","{""0"": 261, ""1"": 158}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050024911,571,True,1523958586.9025872,419,0.9296472739775402,6.12187809759045,1523958590.0520192,3.149432024685666,PASS,157500,7705,157758,4325,1282858,4325,H02,B,,,,,,,
h02_0_900,C,1,COMPLETE,65.0720909590018,90787840,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat1,2026-09-11T10:50:18.709785+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123768.255654363, 1523958591.105070317]: Initialization finish!",1523958591.105070317,414,5,5,3.114106633999994,0.007521996700483077,0.012077294685990338,0.012077294685990338,"{""0.032000000"": 316, ""0.040000000"": 98}","{""4"": 2, ""5"": 12, ""6"": 16, ""7"": 2, ""8"": 6, ""9"": 376}","{""0"": 35, ""1"": 379}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.042425099,365,True,1523958586.9025872,414,0.9184792529616629,3872.62431073978,1523958590.551970304,3.649383128620684,PASS,157500,4307,36142,2871,133030,2871,H02,C,,,,,,,
h02_0_900,C,2,COMPLETE,64.96878497296711,90066944,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat2,2026-09-11T10:51:24.058953+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123833.595152746, 1523958591.043823340]: Initialization finish!",1523958591.043823340,414,4,3,3.1096423820000005,0.007511213483091789,0.00966183574879227,0.007246376811594203,"{""0.032000000"": 321, ""0.040000000"": 93}","{""1"": 2, ""2"": 1, ""3"": 1, ""4"": 4, ""5"": 13, ""6"": 14, ""7"": 3, ""8"": 7, ""9"": 369}","{""0"": 42, ""1"": 372}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050434941,365,True,1523958586.9025872,414,0.9184792529616629,3829.002768053363,1523958590.551970304,3.649383128620684,PASS,157500,4307,36772,2872,135929,2872,H02,C,,,,,,,
h02_0_900,C,3,COMPLETE,64.92181179497857,90427392,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat3,2026-09-11T10:52:29.326027+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123898.967025755, 1523958591.053991202]: Initialization finish!",1523958591.053991202,414,4,3,3.1660510060000004,0.007647466198067634,0.00966183574879227,0.007246376811594203,"{""0.032000000"": 316, ""0.040000000"": 98}","{""4"": 2, ""5"": 12, ""6"": 16, ""7"": 2, ""8"": 6, ""9"": 376}","{""0"": 35, ""1"": 379}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.041261671,365,True,1523958586.9025872,414,0.9184792529616629,3872.62431073978,1523958590.551970304,3.649383128620684,PASS,157500,4307,36142,2871,133030,2871,H02,C,,,,,,,
h02_0_900,R,1,COMPLETE,64.87053965002997,105660416,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat1,2026-09-11T10:53:34.518497+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123963.342638343, 1523958590.239278594]: Initialization finish!",1523958590.239278594,419,253,219,13.635133201000002,0.03254208401193318,0.60381861575179,0.522673031026253,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 1, ""3"": 131, ""4"": 107, ""5"": 128, ""6"": 45, ""7"": 6, ""8"": 1}","{""0"": 257, ""1"": 162}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050696555,408,True,1523958586.9025872,419,0.9296472739775402,7.064055958905048,1523958590.0520192,3.149432024685666,PASS,157500,3474,152181,2508,1361445,2508,H02,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,R,2,COMPLETE,64.94742954400135,105988096,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat2,2026-09-11T10:54:39.833649+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789124028.799436446, 1523958590.409205928]: Initialization finish!",1523958590.409205928,419,384,381,16.09010030699999,0.038401194050119304,0.9164677804295943,0.9093078758949881,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 2, ""3"": 131, ""4"": 230, ""5"": 52, ""6"": 3, ""7"": 1}","{""0"": 158, ""1"": 261}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050972957,408,True,1523958586.9025872,419,0.9296472739775402,7.057694540847725,1523958590.0520192,3.149432024685666,PASS,157500,3474,152174,2508,1361369,2508,H02,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
h02_0_900,R,3,COMPLETE,65.15427160699619,104673280,b9327dded750569f530fa417ab822fd21ebcd54b3fb0ba429d5cb80c24e208a0,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat3,2026-09-11T10:55:45.381151+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789124094.120866875, 1523958590.390002968]: Initialization finish!",1523958590.390002968,419,390,387,16.23677066600001,0.03875124263961816,0.9307875894988067,0.9236276849642004,"{""0.032000000"": 311, ""0.040000000"": 108}","{""2"": 2, ""3"": 130, ""4"": 228, ""5"": 57, ""7"": 2}","{""0"": 158, ""1"": 261}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050739518,408,True,1523958586.9025872,419,0.9296472739775402,7.05838438809481,1523958590.0520192,3.149432024685666,PASS,157500,3474,152174,2508,1361369,2508,H02,R,27802,27802,0,26990,262801,369,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
a02_0_900,B,1,COMPLETE,64.80439112999011,105066496,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/B/repeat1,2026-09-11T10:56:50.555053+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789124159.304058330, 1542828794.930304166]: Initialization finish!",1542828794.930304166,421,304,292,16.76126355999999,0.03981297757719712,0.7220902612826603,0.6935866983372921,"{""0.032000000"": 119, ""0.040000000"": 302}","{""3"": 177, ""4"": 130, ""5"": 51, ""6"": 2, ""7"": 11, ""8"": 22, ""9"": 28}","{""0"": 226, ""1"": 195}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.055673677,407,True,1542828791.736012,421,0.9333598441532135,4.040064904243044,1542828794.685281536,2.9492695539956912,PASS,157500,2221,165268,1692,1399729,1692,A02,B,,,,,,,
