sequence,comparison,arm,repeat,metric_status,replay_status,runability,received_complete,poses,trajectory_coverage,trajectory_length_m,initialization_count,failure_detection_count,reset_count_proxy,run_dir,fixed_se3_ape_median_m,fixed_se3_ape_rmse_m,fixed_se3_rpe_median_m,fixed_se3_rpe_rmse_m,matched_count,rpe_pairs,sim3_ape_median_m,sim3_ape_rmse_m,sim3_rpe_median_m,sim3_rpe_rmse_m,sim3_scale
H02,R_vs_B,R,1,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.064055958905048,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat1,0.01864950906053524,0.02666584584735137,0.0040527880983333995,0.007473698405586207,41,40,0.00866180338854839,0.010945777499876049,0.0038852534391588837,0.0065870063733448085,0.9833593271666609
H02,R_vs_B,R,2,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.057694540847725,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat2,0.018591844731629614,0.026601521621978364,0.0040443469684997395,0.007467405130587168,41,40,0.008602953357180082,0.010928565149632086,0.003890734685072895,0.00658579148820453,0.9834015895043647
H02,R_vs_B,R,3,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.05838438809481,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat3,0.01859430781607604,0.02660118792409959,0.004044552399382881,0.007466962407198583,41,40,0.00860146729554288,0.010928176247887939,0.0038883773699079547,0.006585324922817563,0.9834017179320498
H02,R_vs_B,B,1,PASS,COMPLETE,PASS,True,419,0.9296472739775402,5.801459405051064,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat1,0.09809421437337439,0.15060188240268702,0.014498008195131825,0.048375748857044806,41,40,0.07818579424378633,0.12207272392546781,0.014831142361966958,0.047147992218211976,1.065646342347129
H02,R_vs_B,B,2,PASS,COMPLETE,PASS,True,419,0.9296472739775402,6.169726030262359,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat2,0.06264100975059146,0.10370446736608972,0.01264770187002982,0.03480997150892122,41,40,0.05656879891623329,0.08678413377940149,0.012058717847166164,0.03369274629377019,1.04121256428842
H02,R_vs_B,B,3,PASS,COMPLETE,PASS,True,419,0.9296472739775402,6.12187809759045,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/B/repeat3,0.07085549491068541,0.11130149882053911,0.013547032452408434,0.03653824708656528,41,40,0.05968713565193427,0.09118883707235005,0.012883202049530886,0.035283904543313115,1.0465737044453514
H02,R_vs_C,R,1,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.064055958905048,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat1,0.01864950906053524,0.02666584584735137,0.0040527880983333995,0.007473698405586207,41,40,0.00866180338854839,0.010945777499876049,0.0038852534391588837,0.0065870063733448085,0.9833593271666609
H02,R_vs_C,R,2,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.057694540847725,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat2,0.018591844731629614,0.026601521621978364,0.0040443469684997395,0.007467405130587168,41,40,0.008602953357180082,0.010928565149632086,0.003890734685072895,0.00658579148820453,0.9834015895043647
H02,R_vs_C,R,3,PASS,COMPLETE,PASS,True,419,0.9296472739775402,7.05838438809481,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/R/repeat3,0.01859430781607604,0.02660118792409959,0.004044552399382881,0.007466962407198583,41,40,0.00860146729554288,0.010928176247887939,0.0038883773699079547,0.006585324922817563,0.9834017179320498
H02,R_vs_C,C,1,PASS,COMPLETE,PASS,True,414,0.9184792529616629,3872.62431073978,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat1,844.1804560616696,1030.0845002314297,74.01040725604118,117.12011175685754,41,40,0.25087365182333676,0.30090712593072927,0.12274428132900425,0.1464759789646799,0.0013621977096106397
