run_slug,arm,repeat,status,run_dir,all_three_common_support
a02_0_900,B,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/B/repeat1,Not evaluated.
a02_0_900,B,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/B/repeat2,Not evaluated.
a02_0_900,B,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/B/repeat3,Not evaluated.
a02_0_900,L-original,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-original/repeat1,Not evaluated.
a02_0_900,L-original,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-original/repeat2,Not evaluated.
a02_0_900,L-original,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-original/repeat3,Not evaluated.
a02_0_900,L-neutral,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-neutral/repeat1,Not evaluated.
a02_0_900,L-neutral,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-neutral/repeat2,Not evaluated.
a02_0_900,L-neutral,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a02_0_900/L-neutral/repeat3,Not evaluated.
a08_2700_3600,B,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/B/repeat1,Not evaluated.
a08_2700_3600,B,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/B/repeat2,Not evaluated.
a08_2700_3600,B,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/B/repeat3,Not evaluated.
a08_2700_3600,L-original,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-original/repeat1,Not evaluated.
a08_2700_3600,L-original,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-original/repeat2,Not evaluated.
a08_2700_3600,L-original,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-original/repeat3,Not evaluated.
a08_2700_3600,L-neutral,1,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-neutral/repeat1,Not evaluated.
a08_2700_3600,L-neutral,2,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-neutral/repeat2,Not evaluated.
a08_2700_3600,L-neutral,3,Not evaluated.,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_source_neutral_quality_v1/backend/a08_2700_3600/L-neutral/repeat3,Not evaluated.
