role,sequence,arm,status,source,group,observations,valid_labels,valid_tracks,epe_mean_px,epe_median_px,epe_p90_px,epe_p95_px,epe_sum_px,correction_all_mean_px,correction_all_median_px,correction_all_p90_px,correction_all_p95_px,correction_all_sum_px,over_1px_ratio,over_2px_ratio,zero_correction_ratio_all,temporal_pairs,temporal_mean_px,temporal_median_px,temporal_p90_px,temporal_p95_px,temporal_sum_px
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,all,201502,81830,19282,2.6145565509796143,0.8421688973903656,4.88014936447144,9.052715492248536,213949.16546671023,0.0,0.0,0.0,0.0,0.0,0.4575827935964805,0.2705975803495051,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,birth,49491,19282,19282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,nonbirth,152011,62548,7891,3.4205594062805176,1.3369483947753906,6.00557341575623,11.683223199844356,213949.16546671023,0.0,0.0,0.0,0.0,0.0,0.598644241222741,0.3540161156232014,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_0:100,33636,13851,4738,1.8965290784835815,0.48363861441612244,4.187894344329834,7.941324710845947,26268.824870312586,0.0,0.0,0.0,0.0,0.0,0.3614901451158761,0.20987654320987653,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_100:200,27985,14100,3936,3.120819568634033,0.8360326588153839,6.306463479995731,11.949167108535752,44003.5548624401,0.0,0.0,0.0,0.0,0.0,0.4593617021276596,0.2924113475177305,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_200:300,35000,14519,1801,3.665698289871216,1.312602162361145,4.970983409881593,9.606602001190174,53222.27660564752,0.0,0.0,0.0,0.0,0.0,0.5864728975824781,0.34224120118465456,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_300:400,35000,13379,2602,2.565490961074829,0.945796549320221,5.141274738311768,9.356364250183073,34323.70392380445,0.0,0.0,0.0,0.0,0.0,0.4845653636295687,0.2945661110695867,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_400:500,35000,12608,2200,1.8295700550079346,0.9857689142227173,3.793869948387149,5.703715205192566,23067.2183033186,0.0,0.0,0.0,0.0,0.0,0.49611357868020306,0.26221446700507617,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,block_500:600,34881,13373,4537,2.4724135398864746,0.47856253385543823,4.874334716796876,10.296462059020994,33063.586901186965,0.0,0.0,0.0,0.0,0.0,0.3519778658490989,0.21663052419053316,1.0,,,,,,
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,temporal_all,,,,,,,,,,,,,,,,,62548,0.7164923548698425,0.23633288592100143,1.212265205383303,2.44386429786682,44815.162185463356
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,temporal_birth_next,,,,,,,,,,,,,,,,,7891,1.6699109077453613,0.44321876764297485,3.1372175216674805,7.7604148387908936,13177.266855906462
validation,carwelding/Easy/P001,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/validation.npz,temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,54657,0.5788443684577942,0.2170839011669159,1.0448469161987306,1.9642341852188097,31637.895329556894
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",all,201502,81830,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",birth,49491,19282,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",nonbirth,152011,62548,7891,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_0:100,33636,13851,4738,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_100:200,27985,14100,3936,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_200:300,35000,14519,1801,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_300:400,35000,13379,2602,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_400:500,35000,12608,2200,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_500:600,34881,13373,4537,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_all,,,,,,,,,,,,,,,,,62548,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_birth_next,,,,,,,,,,,,,,,,,7891,,,,,
validation,carwelding/Easy/P001,P,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,54657,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",all,201502,81830,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",birth,49491,19282,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",nonbirth,152011,62548,7891,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_0:100,33636,13851,4738,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_100:200,27985,14100,3936,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_200:300,35000,14519,1801,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_300:400,35000,13379,2602,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_400:500,35000,12608,2200,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_500:600,34881,13373,4537,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_all,,,,,,,,,,,,,,,,,62548,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_birth_next,,,,,,,,,,,,,,,,,7891,,,,,
validation,carwelding/Easy/P001,T,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,54657,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",all,201502,81830,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",birth,49491,19282,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",nonbirth,152011,62548,7891,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_0:100,33636,13851,4738,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_100:200,27985,14100,3936,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_200:300,35000,14519,1801,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_300:400,35000,13379,2602,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_400:500,35000,12608,2200,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_500:600,34881,13373,4537,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_all,,,,,,,,,,,,,,,,,62548,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_birth_next,,,,,,,,,,,,,,,,,7891,,,,,
validation,carwelding/Easy/P001,P-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,54657,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",all,201502,81830,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",birth,49491,19282,19282,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",nonbirth,152011,62548,7891,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_0:100,33636,13851,4738,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_100:200,27985,14100,3936,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_200:300,35000,14519,1801,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_300:400,35000,13379,2602,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_400:500,35000,12608,2200,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",block_500:600,34881,13373,4537,,,,,,,,,,,,,,,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_all,,,,,,,,,,,,,,,,,62548,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_birth_next,,,,,,,,,,,,,,,,,7891,,,,,
validation,carwelding/Easy/P001,T-anchor,MISSING_PREDICTIONS,"Not saved: original training/ contains checkpoint, curve and summary only",temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,54657,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,all,209862,166791,84061,0.4674683213233948,0.0,0.9963911771774292,1.6135649681091309,77969.51375817577,0.0,0.0,0.0,0.0,0.0,0.099531749315011,0.03670461835470739,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,birth,111694,84061,84061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,nonbirth,98168,82730,20588,0.9424574971199036,0.395972803235054,1.6230255603790287,2.6157733321189895,77969.51375817577,0.0,0.0,0.0,0.0,0.0,0.2006648132479149,0.07399975824972803,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_0:100,35000,18385,9849,0.4874115586280823,0.0,1.3166149854660034,2.0628504276275628,8961.060882766964,0.0,0.0,0.0,0.0,0.0,0.14419363611639924,0.051944519989121564,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_100:200,34862,23694,17563,0.3178311884403229,0.0,0.5614768207073213,1.0965962290763824,7530.69253488211,0.0,0.0,0.0,0.0,0.0,0.055836920739427705,0.024900818772685067,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_200:300,35000,30163,16439,0.45004168152809143,0.0,1.0510234594345091,1.650014495849609,13574.606683862046,0.0,0.0,0.0,0.0,0.0,0.10529456619036567,0.037728342671484935,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_300:400,35000,31307,18832,0.4669114649295807,0.0,0.7744158506393434,1.389060127735134,14617.597316882457,0.0,0.0,0.0,0.0,0.0,0.07522279362442905,0.03175008783978024,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_400:500,35000,31752,8819,0.7353643178939819,0.24559463560581207,1.4738413214683534,2.301244235038755,23349.28610838484,0.0,0.0,0.0,0.0,0.0,0.1690602166792643,0.06298815822625346,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,block_500:600,35000,31490,12954,0.31553733348846436,0.09809820726513863,0.7231711149215698,1.044924086332321,9936.270231397357,0.0,0.0,0.0,0.0,0.0,0.05487456335344554,0.014131470308034296,1.0,,,,,,
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_all,,,,,,,,,,,,,,,,,82730,0.35196423530578613,0.15244202315807343,0.5065302670001987,0.7225188612937927,29118.00158567808
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_birth_next,,,,,,,,,,,,,,,,,20588,0.5695436000823975,0.18888255208730698,0.6075710892677304,0.8971192926168438,11725.764250050765
test,endofworld/Easy/P000,B,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/cache/test.npz,temporal_nonbirth_nonbirth,,,,,,,,,,,,,,,,,62142,0.27987900376319885,0.14309508353471756,0.46975532472133646,0.6711380153894423,17392.237335627316
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,all,209862,166791,84061,0.6257592439651489,0.2985116243362427,1.1647180318832397,1.689463496208191,104371.00750922563,0.3728737235069275,0.21914638578891754,0.9741921126842498,1.3770406424999233,78252.02966498816,0.12690133160662145,0.03594918191029492,0.1696257540669583,,,,,,
test,endofworld/Easy/P000,P,COMPUTED,/mnt/data/AQUA-FE_WS/experiments/temporal_refinement_tartanair_v1/evaluation/P_observations.npz,birth,111694,84061,84061,0.2446700930595398,0.1783621609210968,0.5452042818069458,0.7205248475074768,20567.214078079443,0.223348468542099,0.1566520258784294,0.5174116611480711,0.6929579854011534,24946.683553652372,0.01871260156315057,0.0007494557523703026,0.190645871756764,,,,,,
