sequence,group_type,group,arm,observations,valid_labels,valid_tracks,invalid_labels,invalid_reasons,epe_median_px,epe_p90_px,epe_p95_px,over_1px_ratio,over_2px_ratio,temporal_pairs,temporal_error_change_median_px,temporal_error_change_p95_px,zero_correction_ratio,correction_median_px,correction_p90_px,correction_p95_px,correction_axis_abs_max_px,patch_unavailable,baseline_error_outside_axis_2px
endofworld/Easy/P000,sequence,all,B,209862,166791,84061,43071,"{""depth_discontinuity"": 15464, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10018, ""out_of_view"": 2, ""prior_invalid"": 14657, ""unconfirmed_last_birth"": 300}",0.0,0.9963911771774292,1.6135649681091309,0.099531749315011,0.03670461835470739,82730,0.15244202315807343,0.7225188612937927,1.0,0.0,0.0,0.0,0.0,35598,5314
endofworld/Easy/P000,sequence,all,P,209862,166791,84061,43071,"{""depth_discontinuity"": 15464, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10018, ""out_of_view"": 2, ""prior_invalid"": 14657, ""unconfirmed_last_birth"": 300}",0.2985116243362427,1.1647180318832397,1.689463496208191,0.12690133160662145,0.03594918191029492,82730,0.18959278613328934,0.7418273866176606,0.1696257540669583,0.21914638578891754,0.9741921126842498,1.3770406424999233,1.9999785423278809,35598,5314
endofworld/Easy/P000,sequence,all,T,209862,166791,84061,43071,"{""depth_discontinuity"": 15464, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10018, ""out_of_view"": 2, ""prior_invalid"": 14657, ""unconfirmed_last_birth"": 300}",0.30392885208129883,1.1140674352645874,1.6312223672866821,0.11897524446762715,0.03438434927544052,82730,0.187479667365551,0.7326374173164377,0.1696257540669583,0.2279166504740715,0.8880741596221923,1.2657796382904039,1.9999768733978271,35598,5314
endofworld/Easy/P000,block,0:100,B,35000,18385,9849,16615,"{""depth_discontinuity"": 9302, ""invalid_or_sky_depth"": 321, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 373, ""prior_invalid"": 6617}",0.0,1.3166149854660034,2.0628504276275628,0.14419363611639924,0.051944519989121564,8536,0.19273214787244797,0.787563219666481,1.0,0.0,0.0,0.0,0.0,5635,822
endofworld/Easy/P000,block,0:100,P,35000,18385,9849,16615,"{""depth_discontinuity"": 9302, ""invalid_or_sky_depth"": 321, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 373, ""prior_invalid"": 6617}",0.3391640782356262,1.414790177345276,1.9732970714569085,0.17400054392167527,0.04868098993744901,8536,0.23850111663341522,0.8397808820009232,0.161,0.2204761728644371,1.1286062240600587,1.5591480553150083,1.9999785423278809,5635,822
endofworld/Easy/P000,block,0:100,T,35000,18385,9849,16615,"{""depth_discontinuity"": 9302, ""invalid_or_sky_depth"": 321, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 373, ""prior_invalid"": 6617}",0.33412250876426697,1.381918668746949,2.017521381378173,0.165787326624966,0.050856676638564045,8536,0.23896951228380203,0.8218910396099091,0.161,0.23814798146486282,1.0633961915969856,1.4518188834190358,1.9996131658554077,5635,822
endofworld/Easy/P000,block,100:200,B,34862,23694,17563,11168,"{""depth_discontinuity"": 2998, ""invalid_or_sky_depth"": 2128, ""official_mask_nonzero"": 3820, ""prior_invalid"": 2222}",0.0,0.5614768207073213,1.0965962290763824,0.055836920739427705,0.024900818772685067,6154,0.2533095180988312,1.0992121994495372,1.0,0.0,0.0,0.0,0.0,5220,528
endofworld/Easy/P000,block,100:200,P,34862,23694,17563,11168,"{""depth_discontinuity"": 2998, ""invalid_or_sky_depth"": 2128, ""official_mask_nonzero"": 3820, ""prior_invalid"": 2222}",0.22500324994325638,0.7887283742427826,1.1886308372020717,0.06752764412931545,0.02059593145944121,6154,0.2636043429374695,1.076951295137405,0.14973323389363777,0.1805984303355217,0.6965733766555786,1.0223771333694458,1.999206781387329,5220,528
endofworld/Easy/P000,block,100:200,T,34862,23694,17563,11168,"{""depth_discontinuity"": 2998, ""invalid_or_sky_depth"": 2128, ""official_mask_nonzero"": 3820, ""prior_invalid"": 2222}",0.24249239265918732,0.7525022387504579,1.1153861224651334,0.06170338482316198,0.020764750569764498,6154,0.2658696621656418,1.0564685702323866,0.14973323389363777,0.19308748841285706,0.6513672411441804,0.9516643106937408,1.9922512769699097,5220,528
endofworld/Easy/P000,block,200:300,B,35000,30163,16439,4837,"{""depth_discontinuity"": 1211, ""invalid_or_sky_depth"": 26, ""official_mask_nonzero"": 2279, ""out_of_view"": 2, ""prior_invalid"": 1319}",0.0,1.0510234594345091,1.650014495849609,0.10529456619036567,0.037728342671484935,13759,0.1653386503458023,0.8279415369033791,1.0,0.0,0.0,0.0,0.0,6078,1008
