window_id,run_slug,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,1,38,37,1242.1402180555551,150.84547610337356,0.0014739965701136431,1.2705459607586629,0.22450090713183196,1.0337356570744305e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,2,38,37,1242.1351471928838,150.84391879853064,0.0014740068964680005,1.2705381976908894,0.22449970503260797,2.9496739203938027e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,3,38,37,1234.0668171109985,150.04745112022647,0.0014824875487269402,1.2725759210042678,0.22481228594951785,2.8594951784199907e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,1,38,37,0.732440571905845,0.0735633917026871,0.7531760257362387,0.04768177195401677,0.01851194873845847,4.280941550138806e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,2,38,37,0.7324143279267064,0.07358984883807583,0.7531806409211953,0.04754152852327155,0.01849770659610429,4.714767284502708e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,3,38,37,0.7321570744440984,0.07350895692983261,0.7532487610791159,0.047713281392242124,0.018478021558123347,2.8139224212547775e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,1,38,37,1.0824217962127323,0.11694168889554482,0.673407674750405,0.038487982138336485,0.026321061922052934,3.111044551695752e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,2,38,37,1.0823545694282526,0.11694077198954063,0.6734214011371522,0.03849692230515866,0.026327040093396693,4.305717473673809e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,3,38,37,1.0822924094657482,0.11694041620541369,0.6734341049659941,0.038507260288951156,0.026334479309244853,4.793092448530933e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,B,1,41,40,0.06030103054792109,0.03707107758848374,0.9509236943434553,0.0420301812096195,0.03559438179926981,3.817992698107453e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,B,2,41,40,0.06030103054792109,0.03707107758848374,0.9509236943434553,0.0420301812096195,0.03559438179926981,3.817992698107453e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,B,3,41,40,0.06030103054792109,0.03707107758848374,0.9509236943434553,0.0420301812096195,0.03559438179926981,3.817992698107453e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,1,41,40,0.042309945213765555,0.026580977257985916,0.9693238658632768,0.03296079096540619,0.025829987323960205,2.090345938079996e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,2,41,40,74.95033740704366,8.856556737571726,0.009854852098605229,0.3837503973399432,0.07806213843955424,4.07043657446593e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,3,41,40,53.05237472217308,6.980129235902349,0.013964400761455942,0.3731637619272849,0.10163228696068675,2.8696068676836717e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,1,41,40,0.042257902422335195,0.026681258618196212,0.9693818621513323,0.03293559173320464,0.025927822633173458,4.0826679535699295e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,2,41,40,0.042257902422335195,0.026681258618196212,0.9693818621513323,0.03293559173320464,0.025927822633173458,4.0826679535699295e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,3,41,40,0.048111800467348115,0.027149380745192287,0.9551373507766091,0.02763848041777524,0.025861445217572342,4.804177752421035e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,1,41,40,0.0563971099897619,0.026862001990089424,0.9462155202370616,0.030163533560873167,0.02519563196963077,4.66439126833168e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,2,41,40,0.042257902422335195,0.026681258618196212,0.9693818621513323,0.03293559173320464,0.025927822633173458,4.0826679535699295e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,3,41,40,0.044228568170579845,0.030567301859287115,0.9616211687013794,0.028923364944439804,0.029373730678525993,4.318294201527406e-07
