window,group,event_frame_zero_based,metric_frame_index,timestamp_ns,track_id,source_code,source_label,backend_visible_age_at_event,backend_visible_future_including_event,backend_visible_full_lifetime,quality_at_event,u,v,left_censored,right_censored,matching
a09_6000_6800,positive,2,5,1542889046271565680,947,2,gftt,1,1,1,0.8490132093429565,770.0,566.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,2,5,1542889046271565680,948,2,gftt,1,1,1,0.8507817387580872,237.0,515.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,3,7,1542889046371444368,1160,2,gftt,1,1,1,0.8506397604942322,446.0,362.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,4,9,1542889046471564144,1364,2,gftt,1,2,2,0.8549254536628723,413.0,405.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,4,9,1542889046471564144,1365,2,gftt,1,1,1,0.8512824177742004,660.0,468.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,4,9,1542889046471564144,1366,2,gftt,1,1,1,0.8528456091880798,489.0,484.0,False,True,exact_pixel_coordinate
a09_6000_6800,positive,4,9,1542889046471564144,1367,2,gftt,1,1,1,0.8512513041496277,346.0,489.0,False,True,exact_pixel_coordinate
a06_s045_d045,positive,2,5,1542883357072892992,652,1,klt,1,2,2,0.800000011920929,648.8780517578125,203.00961303710938,False,True,exact_track_id
a06_s045_d045,positive,3,7,1542883357172986784,794,1,klt,1,1,1,0.800000011920929,572.7362670898438,442.1468200683594,False,True,exact_track_id
a06_s045_d045,positive,3,7,1542883357172986784,801,1,klt,1,5,5,0.800000011920929,459.08642578125,371.93658447265625,False,True,exact_track_id
a06_s045_d045,positive,3,7,1542883357172986784,817,1,klt,1,31,31,0.800000011920929,551.8206176757812,243.66763305664062,False,True,exact_track_id
a06_s045_d045,positive,3,7,1542883357172986784,825,1,klt,1,6,6,0.800000011920929,824.6080322265625,310.3767395019531,False,True,exact_track_id
a06_s045_d045,positive,3,7,1542883357172986784,850,1,klt,1,1,1,0.800000011920929,702.7210083007812,281.627685546875,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,934,1,klt,1,1,1,0.800000011920929,727.3348999023438,328.2260437011719,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,958,1,klt,1,1,1,0.800000011920929,312.87176513671875,560.2369995117188,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,961,1,klt,1,1,1,0.800000011920929,299.1130065917969,571.9066772460938,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,975,1,klt,1,1,1,0.800000011920929,718.5503540039062,542.946044921875,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,977,1,klt,1,1,1,0.800000011920929,319.2158203125,433.0146789550781,False,True,exact_track_id
a06_s045_d045,positive,4,9,1542883357273861504,988,1,klt,1,3,3,0.800000011920929,937.5390625,263.1361083984375,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,80,1,klt,2,9,10,0.800000011920929,565.6912231445312,508.8706970214844,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,123,1,klt,2,7,8,0.800000011920929,565.2671508789062,527.7994384765625,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,259,1,klt,2,16,17,0.800000011920929,302.1329650878906,459.5526123046875,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,277,1,klt,2,34,35,0.800000011920929,457.7509460449219,252.9108428955078,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,284,1,klt,2,1,2,0.800000011920929,323.8027038574219,562.8602294921875,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,289,1,klt,2,1,2,0.800000011920929,300.029296875,509.6778869628906,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,308,1,klt,2,6,7,0.800000011920929,418.590087890625,543.5968017578125,True,True,exact_track_id
