run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,0,1,,,,,,,,,,,,200,69624,7,7,0,7,0,0,29,20,20,403,0,403,0,403,0,0,349,55.5,0.327534,0.993815,0.993815,0.94,349,0.833333,,0,,,disabled:200,online_seed_microburst_no_extend:94;disabled:82;online_seed_microburst_no_extend:online_seed_basic:21;online_seed_basic:2;online_seed_ok:1,disabled:200,healthy:177;low_grid_coverage:23,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe/features.bag,source_channels_audited,69624,7,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a02_3600_4000_probe,external_hybrid_xfeat_every2_jul15screen_a02_3600_4000_probe,0,1,,,,,,,,,,,,200,69211,19,19,0,19,0,0,140,24,24,813,0,813,0,813,0,0,347,30.75,0.25878,0.993094,0.993094,0.94,346.5,0.75,,0,,,disabled:200,online_seed_microburst_no_extend:online_seed_basic:71;disabled:70;online_seed_microburst_no_extend:56;online_seed_basic:3,disabled:200,low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:105;underwater_degradation+flat_regions+low_grid_texture:48;low_grid_coverage+underwater_degradation:47,planar_near_wall:107;severe_low_texture:49;degraded_texture:44,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a02_3600_4000_probe/features.bag,source_channels_audited,69211,19,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a02_3920_4200_probe_oldcontract_densecap,external_hybrid_xfeat_every2_jul15explore_a02_3920_4200_probe_oldcontract_densecap,0,1,,,,,,,,,,,,140,49000,0,0,0,0,0,0,228,92,92,92,0,982,0,982,0,0,350,4,0.175435,0.991728,0.991728,,344.5,0.75,,0,,,disabled:140,online_seed_low_grid_start:classical=340:grid=0.708:online_seed_basic:online_seed_mirror_only_after_reject:100;online_seed_low_grid_start:classical=340:grid=0.708:online_seed_mirror_only_after_reject:34;online_seed_basic:online_seed_mirror_only_after_reject:2;online_seed_mirror_only_after_reject:2;disabled:1;online_seed_basic:1,disabled:140,low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:127;underwater_degradation+flat_regions+low_grid_texture:13,severe_low_texture:140,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a02_3920_4200_probe_oldcontract_densecap/features.bag,source_channels_audited,49000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_2800_3200_probe,external_hybrid_xfeat_every2_jul15screen_a03_2800_3200_probe,0,1,,,,,,,,,,,,200,69037,8,8,0,8,0,0,51,26,26,1001,0,1001,0,1001,0,0,350,74.5,0.285271,0.993505,0.993505,0.94,350,0.916667,,0,,,disabled:200,disabled:125;online_seed_microburst_no_extend:43;online_seed_microburst_no_extend:online_seed_basic:29;online_seed_ok:2;online_seed_basic:1,disabled:200,underwater_degradation:76;underwater_degradation+flat_regions+low_grid_texture:48;low_grid_coverage:26;healthy:26;low_grid_coverage+underwater_degradation:24,degraded_texture:104;planar_near_wall:96,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_2800_3200_probe/features.bag,source_channels_audited,69037,8,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_3200_3600_probe,external_hybrid_xfeat_every2_jul15screen_a03_3200_3600_probe,0,1,,,,,,,,,,,,200,69193,50,50,0,50,0,0,26,18,18,825,0,825,0,825,0,0,348,38.75,0.300298,0.993582,0.993582,0.94,348,0.833333,,0,,,disabled:200,online_seed_microburst:134;disabled:45;online_seed_microburst:online_seed_basic:8;online_seed_budget:7;online_seed_ok:5;online_seed_basic:1,disabled:200,low_grid_coverage:59;underwater_degradation+flat_regions+low_grid_texture:45;healthy:35;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:30;underwater_degradation:27;low_grid_coverage+underwater_degradation:4,degraded_texture:123;severe_low_texture:52;planar_near_wall:25,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_3200_3600_probe/features.bag,source_channels_audited,69193,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_5600_6000_probe,external_hybrid_xfeat_every2_jul15screen_a03_5600_6000_probe,0,1,,,,,,,,,,,,200,68444,50,50,0,50,0,0,94,42,42,1602,0,1602,0,1602,0,0,341,56,0.298164,0.993496,0.993496,0.94,341,0.791667,,0,,,disabled:200,online_seed_microburst:94;online_seed_microburst:online_seed_basic:50;disabled:43;online_seed_budget:8;online_seed_ok:4;online_seed_basic:1,disabled:200,low_grid_coverage:74;underwater_degradation+flat_regions+low_grid_texture:44;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:30;underwater_degradation:29;low_grid_coverage+underwater_degradation:12;healthy:11,degraded_texture:115;planar_near_wall:57;severe_low_texture:28,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_5600_6000_probe/features.bag,source_channels_audited,68444,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_2000_2400_probe,external_hybrid_xfeat_every2_jul15screen_a05_2000_2400_probe,0,1,,,,,,,,,,,,200,68546,12,12,0,12,0,0,89,49,49,1524,0,1524,0,1524,0,0,343,79,0.325748,0.993901,0.993901,0.94,343,0.791667,,0,,,disabled:200,online_seed_microburst_no_extend:110;disabled:48;online_seed_microburst_no_extend:online_seed_basic:38;online_seed_basic:4,disabled:200,low_grid_coverage:104;healthy:79;low_grid_coverage+underwater_degradation:13;underwater_degradation:4,degraded_texture:196;planar_near_wall:4,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_2000_2400_probe/features.bag,source_channels_audited,68546,12,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_550_900_probe,external_hybrid_xfeat_every2_jul15screen_a05_550_900_probe,0,1,,,,,,,,,,,,175,60730,8,8,0,8,0,0,60,30,30,550,0,550,0,550,0,0,347,12,0.253335,0.992591,0.992591,0.94,347,0.833333,,0,,,disabled:175,online_seed_microburst_no_extend:122;online_seed_microburst_no_extend:online_seed_basic:28;disabled:21;online_seed_basic:4,disabled:175,healthy:127;low_grid_coverage:41;low_grid_coverage+flat_regions+low_grid_texture:4;flat_regions+low_grid_texture:1;illumination_nonuniformity:1;low_grid_coverage+illumination_nonuniformity:1,degraded_texture:162;planar_near_wall:13,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_550_900_probe/features.bag,source_channels_audited,60730,8,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_4700_4860_probe,external_hybrid_xfeat_every2_jul15screen_a08_4700_4860_probe,0,1,,,,,,,,,,,,80,27514,50,50,0,50,0,0,29,20,20,506,0,506,0,506,0,0,345,81,0.425222,0.994773,0.994773,0.94,345,0.833333,,0,,,disabled:80,online_seed_microburst:42;disabled:14;online_seed_microburst:online_seed_basic:12;online_seed_basic:online_seed_budget:7;online_seed_basic:5,disabled:80,healthy:68;low_grid_coverage:12,normal:58;degraded_texture:22,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_4700_4860_probe/features.bag,source_channels_audited,27514,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_6800_7200_probe,external_hybrid_xfeat_every2_jul15screen_a08_6800_7200_probe,0,1,,,,,,,,,,,,200,68910,11,11,0,11,0,0,41,18,18,1135,0,1135,0,1135,0,0,347,95.75,0.339869,0.994044,0.994044,0.94,347,0.791667,,0,,,disabled:200,online_seed_microburst_no_extend:135;disabled:55;online_seed_microburst_no_extend:online_seed_basic:6;online_seed_basic:4,disabled:200,low_grid_coverage:91;healthy:84;underwater_degradation:21;low_grid_coverage+underwater_degradation:4,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_6800_7200_probe/features.bag,source_channels_audited,68910,11,0,1,0,0,0,missing_ape
