run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a02_2000_2400_probe,external_hybrid_xfeat_every2_jul15screen2_a02_2000_2400_probe,0,1,,,,,,,,,,,,200,69213,1,1,0,1,0,0,124,45,45,832,0,832,0,832,0,0,348.5,9.25,0.251675,0.992367,0.992367,0.94,348.5,0.833333,,0,,,disabled:200,disabled:84;online_seed_microburst_no_extend:online_seed_basic:71;online_seed_microburst_no_extend:38;online_seed_basic:7,disabled:200,underwater_degradation+flat_regions+low_grid_texture:50;healthy:40;underwater_degradation+flat_regions+illumination_nonuniformity+low_grid_texture:34;underwater_degradation:28;low_grid_coverage+underwater_degradation+flat_regions+illumination_nonuniformity+low_grid_texture:20;low_grid_coverage:18;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:5;low_grid_coverage+underwater_degradation:5,degraded_texture:94;severe_low_texture:74;planar_near_wall:19;normal:13,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a02_2000_2400_probe/features.bag,source_channels_audited,69213,1,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_3600_4000_probe,external_hybrid_xfeat_every2_jul15screen2_a03_3600_4000_probe,0,1,,,,,,,,,,,,200,69516,11,11,0,11,0,0,12,10,10,494,0,494,0,494,0,0,349,41.25,0.313813,0.993564,0.993564,0.94,349,0.833333,,0,,,disabled:200,online_seed_microburst_no_extend:100;disabled:86;online_seed_microburst_no_extend:online_seed_basic:11;online_seed_basic:3,disabled:200,underwater_degradation+flat_regions+low_grid_texture:71;underwater_degradation:55;low_grid_coverage:47;healthy:24;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:3,planar_near_wall:102;degraded_texture:98,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_3600_4000_probe/features.bag,source_channels_audited,69516,11,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_5200_5600_probe,external_hybrid_xfeat_every2_jul15screen2_a03_5200_5600_probe,0,1,,,,,,,,,,,,200,67391,2,2,0,2,0,0,205,77,77,2686,0,2686,0,2686,0,0,337,26.25,0.306603,0.993488,0.993488,0.94,337,0.75,,0,,,disabled:200,online_seed_microburst_no_extend:90;disabled:54;online_seed_microburst_no_extend:online_seed_basic:52;online_seed_basic:4,disabled:200,low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:75;healthy:48;low_grid_coverage+underwater_degradation:32;low_grid_coverage:28;underwater_degradation:17,degraded_texture:135;severe_low_texture:44;planar_near_wall:21,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_5200_5600_probe/features.bag,source_channels_audited,67391,2,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_1200_1600_probe,external_hybrid_xfeat_every2_jul15screen2_a05_1200_1600_probe,0,1,,,,,,,,,,,,200,69647,9,9,0,9,0,0,78,29,29,382,0,382,0,382,0,0,349,4,0.292729,0.992064,0.992064,0.94,349,0.875,,0,,,disabled:200,online_seed_microburst_no_extend:100;disabled:70;online_seed_microburst_no_extend:online_seed_basic:25;online_seed_basic:5,disabled:200,healthy:148;illumination_nonuniformity:25;low_grid_coverage:15;low_grid_coverage+illumination_nonuniformity:12,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_1200_1600_probe/features.bag,source_channels_audited,69647,9,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_2400_2800_probe,external_hybrid_xfeat_every2_jul15screen2_a05_2400_2800_probe,0,1,,,,,,,,,,,,200,69292,13,13,0,13,0,0,30,12,12,725,0,725,0,725,0,0,349,43,0.278451,0.993445,0.993445,0.94,349,0.833333,,0,,,disabled:200,online_seed_microburst_no_extend:106;disabled:66;online_seed_microburst_no_extend:online_seed_basic:25;online_seed_basic:3,disabled:200,healthy:132;low_grid_coverage:40;flat_regions+low_grid_texture:22;low_grid_coverage+underwater_degradation:4;underwater_degradation:2,degraded_texture:164;planar_near_wall:36,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_2400_2800_probe/features.bag,source_channels_audited,69292,13,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a08_8000_8400_probe,external_hybrid_xfeat_every2_jul15screen2_a08_8000_8400_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,75,0.352321,0.994132,0.994132,,350,0.916667,,0,,,disabled:200,disabled:200,disabled:200,healthy:167;underwater_degradation:33,degraded_texture:184;normal:13;planar_near_wall:3,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a08_8000_8400_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1200_1600_probe,external_hybrid_xfeat_every2_jul15screen3_a06_1200_1600_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,350,60.25,0.295402,0.993612,0.993612,,350,0.875,,0,,,disabled:200,disabled:200,disabled:200,healthy:94;underwater_degradation+flat_regions+low_grid_texture:61;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:18;underwater_degradation:14;low_grid_coverage:11;low_grid_coverage+underwater_degradation:2,degraded_texture:112;planar_near_wall:88,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1200_1600_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1600_2000_probe,external_hybrid_xfeat_every2_jul15screen3_a06_1600_2000_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,36.5,0.27175,0.993306,0.993306,,350,0.875,,0,,,disabled:200,disabled:200,disabled:200,healthy:93;underwater_degradation:52;underwater_degradation+flat_regions+low_grid_texture:47;flat_regions+low_grid_texture:5;low_grid_coverage+underwater_degradation:2;low_grid_coverage:1,planar_near_wall:138;degraded_texture:62,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1600_2000_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_400_800_probe,external_hybrid_xfeat_every2_jul15screen3_a06_400_800_probe,0,1,,,,,,,,,,,,200,69150,5,5,0,5,0,0,163,61,61,911,0,914,0,914,0,0,349,1,0.385204,0.966254,0.966254,0.94,349,0.833333,,0,,,disabled:200,disabled:79;online_seed_microburst_no_extend:73;online_seed_microburst_no_extend:online_seed_basic:36;online_seed_basic:10;online_seed_gftt_dominated:ratio=0.686:classical=347:grid=0.958:online_seed_mirror_refill:1;online_seed_ok:1,disabled:200,illumination_nonuniformity:54;flat_regions+low_grid_texture:49;healthy:45;low_grid_coverage+illumination_nonuniformity:31;low_grid_coverage:17;flat_regions+illumination_nonuniformity+low_grid_texture:2;low_grid_coverage+flat_regions+low_grid_texture:2,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_400_800_probe/features.bag,source_channels_audited,69150,5,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_800_1200_probe,external_hybrid_xfeat_every2_jul15screen3_a06_800_1200_probe,0,1,,,,,,,,,,,,200,69170,3,3,0,3,0,0,42,21,21,851,0,851,0,851,0,0,350,22,0.241635,0.992794,0.992794,0.94,350,0.833333,,0,,,disabled:200,disabled:115;online_seed_microburst_no_extend:41;online_seed_microburst_no_extend:online_seed_basic:40;online_seed_basic:4,disabled:200,healthy:68;illumination_nonuniformity:37;low_grid_coverage+illumination_nonuniformity:25;low_grid_coverage:25;underwater_degradation:22;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:6;underwater_degradation+flat_regions+low_grid_texture:5;low_grid_coverage+underwater_degradation:4,planar_near_wall:109;degraded_texture:91,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_800_1200_probe/features.bag,source_channels_audited,69170,3,0,1,0,0,0,missing_ape
