dataset,window,run_dir,feature_frames,xfeat_total,xfeat_frames,first_xfeat_frame,last_xfeat_frame,max_xfeat_per_frame,min_grid_on_xfeat_frames,candidate_total,confirmed_total,geometry_on_xfeat_frames
AQUALOC,A01_9200_9600,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,200,7,3,4,6,3,0.75,29,20,degraded_texture
AQUALOC,A02_3600_4000,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a02_3600_4000_probe,200,19,3,70,72,7,0.7916666666666666,140,24,planar_near_wall
AQUALOC,A02_3920_4200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a02_3920_4200_probe_oldcontract_densecap,140,0,0,,,0,,228,92,
AQUALOC,A03_2800_3200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_2800_3200_probe,200,8,3,125,127,3,0.7916666666666666,51,26,degraded_texture
AQUALOC,A03_3200_3600,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_3200_3600_probe,200,50,6,5,10,9,0.7916666666666666,26,18,degraded_texture
AQUALOC,A03_5600_6000,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_5600_6000_probe,200,50,5,6,10,12,0.7916666666666666,94,42,degraded_texture
AQUALOC,A05_2000_2400,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_2000_2400_probe,200,12,3,2,4,6,0.7916666666666666,89,49,degraded_texture
AQUALOC,A05_550_900,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_550_900_probe,175,8,3,10,12,4,0.8333333333333334,60,30,degraded_texture
AQUALOC,A08_4700_4860,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_4700_4860_probe,80,50,6,2,7,12,0.75,29,20,degraded_texture
AQUALOC,A08_6800_7200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_6800_7200_probe,200,11,3,2,4,4,0.8333333333333334,41,18,degraded_texture
AQUALOC,A08_7200_7600,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a08_7200_7600_probe_oldcontract_densecap,200,50,6,5,10,9,0.8333333333333334,0,0,degraded_texture
AQUALOC,A10_4960_5280,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a10_4960_5280_probe,160,5,3,32,34,2,0.7083333333333334,0,0,degraded_texture
CIRS,s0_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe,151,14,3,143,145,5,1.0,45,9,degraded_texture
CIRS,s1020_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s1020_d30_probe,150,0,0,,,0,,0,0,
CIRS,s120_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe,150,13,3,10,12,6,1.0,224,74,degraded_texture
CIRS,s150_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s150_d30_probe,150,0,0,,,0,,0,0,
CIRS,s180_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s180_d30_probe,150,8,3,16,18,5,1.0,150,17,degraded_texture|normal
CIRS,s210_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s210_d30_probe,150,0,0,,,0,,100,21,
CIRS,s240_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s240_d30_probe,150,0,0,,,0,,45,0,
CIRS,s270_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s270_d30_probe,150,0,0,,,0,,15,0,
CIRS,s300_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s300_d30_probe,150,7,3,136,138,3,1.0,129,4,degraded_texture
CIRS,s30_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s30_d30_probe,149,8,3,41,43,4,1.0,125,31,degraded_texture
CIRS,s330_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s330_d30_probe,150,0,0,,,0,,5,0,
CIRS,s360_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s360_d30_probe,150,0,0,,,0,,13,0,
CIRS,s390_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s390_d30_probe,150,6,3,125,127,2,1.0,57,4,degraded_texture
CIRS,s420_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s420_d30_probe,150,0,0,,,0,,99,0,
CIRS,s480_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s480_d30_probe,149,16,3,19,21,6,1.0,60,13,degraded_texture
CIRS,s510_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe,150,12,3,20,22,6,1.0,120,16,degraded_texture|normal
CIRS,s540_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s540_d30_probe,150,0,0,,,0,,0,0,
CIRS,s60_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s60_d30_probe,150,4,3,114,116,2,1.0,117,27,degraded_texture
CIRS,s630_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s630_d30_probe,150,2,2,43,44,1,1.0,6,3,degraded_texture
CIRS,s660_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s660_d30_probe,150,5,1,135,135,5,1.0,38,12,degraded_texture
CIRS,s690_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s690_d30_probe,150,34,8,106,113,9,1.0,251,13,degraded_texture
CIRS,s720_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s720_d30_probe,150,0,0,,,0,,16,0,
CIRS,s750_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s750_d30_probe,150,1,1,22,22,1,1.0,152,36,degraded_texture
CIRS,s780_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s780_d30_probe,150,0,0,,,0,,0,0,
CIRS,s810_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s810_d30_probe,150,5,1,106,106,5,1.0,45,20,normal
CIRS,s90_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s90_d30_probe,150,1,1,15,15,1,1.0,269,52,degraded_texture
CIRS,s990_d30,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s990_d30_probe,150,4,1,72,72,4,1.0,192,4,degraded_texture
NTNU,fjord3_s90_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15explore_ntnu_fjord3_s90_d10_probe_oldcontract_densecap,100,0,0,,,0,,19,3,
NTNU,fjord4_s20_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_fjord4_s20_d10_probe,100,9,3,5,7,3,0.7916666666666666,15,12,normal
NTNU,fjord4_s90_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_fjord4_s90_d10_probe,100,0,0,,,0,,65,37,
NTNU,fjord5_s69p85_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15explore_ntnu_fjord5_s69p85_d10_probe_oldcontract_densecap,100,0,0,,,0,,45,20,
NTNU,mclab1_s40_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15explore_ntnu_mclab1_s40_d10_probe_oldcontract_densecap,100,0,0,,,0,,93,36,
NTNU,mclab1_s90_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab1_s90_d10_probe,100,0,0,,,0,,18,3,
NTNU,mclab2_s120_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab2_s120_d10_probe,100,0,0,,,0,,77,27,
NTNU,mclab2_s160_d10,logs/ntnu_vins/external_hybrid_xfeat_every2_jul15screen_ntnu_mclab2_s160_d10_probe,100,0,0,,,0,,80,25,
AQUALOC,A02_2000_2400,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a02_2000_2400_probe,200,1,1,38,38,1,0.7916666666666666,124,45,degraded_texture
AQUALOC,A03_3600_4000,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_3600_4000_probe,200,11,3,19,21,5,0.7916666666666666,12,10,planar_near_wall
AQUALOC,A03_5200_5600,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_5200_5600_probe,200,2,1,55,55,2,0.7916666666666666,205,77,degraded_texture
AQUALOC,A05_1200_1600,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_1200_1600_probe,200,9,3,33,35,4,0.8333333333333334,78,29,degraded_texture
AQUALOC,A05_2400_2800,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_2400_2800_probe,200,13,3,17,19,5,0.75,30,12,degraded_texture
AQUALOC,A08_8000_8400,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a08_8000_8400_probe,200,0,0,,,0,,0,0,
