run_dir,frames,xfeat_total,xfeat_frames,first_xfeat_frame,last_xfeat_frame,max_xfeat_per_frame,min_grid_on_xfeat_frames,first_xfeat_age,candidate_total,confirmed_total,pre_basic_total,geometry_on_xfeat_frames
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a02_2000_2400_probe,200,1,1,38,38,1,0.7916666666666666,5.0,124,45,187,degraded_texture:1
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_3600_4000_probe,200,11,3,19,21,5,0.7916666666666666,3.0,12,10,308,planar_near_wall:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a03_5200_5600_probe,200,2,1,55,55,2,0.7916666666666666,6.0,205,77,2017,degraded_texture:1
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_1200_1600_probe,200,9,3,33,35,4,0.8333333333333334,4.0,78,29,117,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a05_2400_2800_probe,200,13,3,17,19,5,0.75,3.0,30,12,347,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen2_a08_8000_8400_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1200_1600_probe,200,0,0,,,0,,,15,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_1600_2000_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_400_800_probe,200,5,2,26,28,3,0.875,3.0,163,61,530,degraded_texture:2
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen3_a06_800_1200_probe,200,3,3,2,4,1,0.75,5.0,42,21,368,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_3600_4000_probe,200,0,0,,,0,,,5,5,118,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_4400_4800_probe,200,16,3,185,187,6,0.75,4.0,17,9,85,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_5600_6000_probe,200,8,3,116,118,3,0.7916666666666666,4.0,0,0,16,planar_near_wall:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_800_1200_probe,200,0,0,,,0,,,20,18,630,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_1600_2000_probe,200,50,4,4,7,18,0.75,3.0,170,78,2769,degraded_texture:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_3200_3600_probe,200,19,3,59,61,9,0.7916666666666666,4.0,29,11,244,degraded_texture:1;planar_near_wall:2
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_5600_6000_probe,200,50,3,2,4,20,0.75,3.0,54,39,1980,normal:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_8000_8400_probe,200,50,6,43,48,12,0.7916666666666666,5.0,212,98,3435,degraded_texture:4;planar_near_wall:2
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_0_400_probe,200,50,7,21,27,8,0.8333333333333334,4.0,182,76,1614,degraded_texture:7
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_1600_2000_probe,200,9,3,3,5,3,0.75,4.0,302,102,1294,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_2800_3200_probe,200,0,0,,,0,,,18,3,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_0_400_probe,200,50,4,3,6,18,0.7916666666666666,3.0,59,15,1310,degraded_texture:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_400_800_probe,200,50,7,150,156,8,0.7916666666666666,4.0,0,0,125,degraded_texture:7
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_5600_6000_probe,200,9,3,6,8,4,0.75,5.0,401,188,1847,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen7_a08_800_1200_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_400_800_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5200_5600_probe,200,50,4,5,8,16,0.7083333333333334,3.0,11,11,500,degraded_texture:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_5600_6000_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen8_a07_8400_8800_probe,200,50,5,2,6,13,0.6666666666666666,4.0,56,34,1030,degraded_texture:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a01_9200_9600_probe,200,7,3,4,6,3,0.75,3.0,29,20,184,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a02_3600_4000_probe,200,19,3,70,72,7,0.7916666666666666,4.0,140,24,210,planar_near_wall:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_2800_3200_probe,200,8,3,125,127,3,0.7916666666666666,4.0,51,26,593,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_3200_3600_probe,200,50,6,5,10,9,0.7916666666666666,4.0,26,18,722,degraded_texture:6
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a03_5600_6000_probe,200,50,5,6,10,12,0.7916666666666666,3.0,94,42,1126,degraded_texture:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_2000_2400_probe,200,12,3,2,4,6,0.7916666666666666,5.0,89,49,929,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a05_550_900_probe,175,8,3,10,12,4,0.8333333333333334,4.0,60,30,256,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_4700_4860_probe,80,50,6,2,7,12,0.75,4.0,29,20,196,degraded_texture:6
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a08_6800_7200_probe,200,11,3,2,4,4,0.8333333333333334,5.0,41,18,815,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a10_4960_5280_probe,160,5,3,32,34,2,0.7083333333333334,6.0,0,0,47,degraded_texture:3
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen10_a01_6400_6800_probe,200,30,9,132,140,6,0.75,4.0,13,0,186,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen10_a01_6800_7200_probe,200,50,5,3,7,15,0.7083333333333334,4.0,57,28,984,degraded_texture:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen10_a01_7200_7600_probe,200,50,5,1,5,15,0.7916666666666666,3.0,57,51,970,degraded_texture:5
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen10_a01_8800_9200_probe,200,28,9,4,12,7,0.6666666666666666,3.0,143,73,752,degraded_texture:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen11_a04_11200_11600_probe,200,15,12,163,174,2,0.7916666666666666,4.0,39,0,0,degraded_texture:8;severe_low_texture:4
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen11_a04_3200_3600_probe,200,27,9,3,11,7,0.7916666666666666,3.0,31,7,728,normal:9
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen11_a04_7600_8000_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen11_a04_8000_8400_probe,200,50,6,35,40,15,0.75,3.0,45,22,135,degraded_texture:6
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen12_a10_3200_3600_probe,200,0,0,,,0,,,0,0,0,
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul16screen12_a10_3600_4000_probe,200,19,9,88,96,3,0.625,3.0,74,46,642,degraded_texture:9
